Date,IWF,IWM,MTUM,SPY,VLUE,VXX,XRAY
2018-09-24,-0.513633080534489,-1.1384976525821595,-0.0,-0.9305254604550379,-0.9316088840736728,0.0,1.0
2018-09-25,-0.5133658448478281,-1.1389867244649148,-0.0,-0.9309130316987267,-0.9322225232547638,0.0,1.0
2018-09-26,-0.5121168279229587,-1.139207884980559,-0.0,-0.9325888416674203,-0.9372908942942401,0.0,1.0
2018-09-27,-0.5252837040399455,-1.12932364956877,-0.0,-0.9408987743985474,-0.9437585111211985,0.0,1.0
2018-09-28,-0.5246675441383379,-1.1297145191303952,-0.0,-0.9406345027912676,-0.9435846230654019,0.0,1.0
2018-10-01,-0.5256229857927466,-1.1287277018746311,-0.0,-0.9411284099677727,-0.9435341110253733,0.0,1.0
2018-10-02,-0.5283626792521329,-1.118442548556907,-0.0,-0.9443637683790161,-0.9468596841532039,0.0,1.0
2018-10-03,-0.5273658912619598,-1.1098716727882827,-0.0,-0.9462658141749422,-0.950981725842289,0.0,1.0
2018-10-04,-0.5343286291237463,-1.101919499024368,-0.0,-0.9551663112038844,-0.9464083132912828,0.0,1.0
2018-10-05,-0.5178829479768786,-1.093027456647399,-0.0,-0.955879696531792,-0.9491058526011561,0.0,1.0
2018-10-08,-0.5134988713318284,-1.0889390519187359,-0.0,-0.9629345372460497,-0.9493002257336344,0.0,1.0
2018-10-09,-0.5138612967310817,-1.0893082896875563,-0.0,-0.962931190175185,-0.9489795918367346,0.0,1.0
2018-10-10,-0.5145319974726961,-1.088229984655655,-0.0,-0.9633089629027891,-0.9469717483527393,0.0,1.0
2018-10-11,-0.3971944064581587,-1.089373152763686,-0.0,-0.9414619083329657,-0.9832370197185584,0.0,1.0
2018-10-12,-0.40693827805345173,-1.0800905371289284,-0.0,-0.9139462000522329,-0.9518150953251502,0.0,1.0
2018-10-15,-0.3797605621584107,-1.1002429079552356,-0.0,-0.9070009542812527,-0.9505942569619156,0.0,1.0
2018-10-16,-0.37208796940194716,-1.1175678025034772,-0.0,-0.9065977051460361,-0.9500608484005564,0.0,1.0
