Date,IWF,IWM,JBSS,MTUM,SPY,VLUE,VXX
2018-09-24,-0.3904675988573147,-1.0540144339197113,1.0,-0.0,-0.6752368064952639,-0.6391144188843783,0.0
2018-09-25,-0.3930194988165458,-1.0525979637074048,1.0,-0.0,-0.6742683247548559,-0.6371491903670585,0.0
2018-09-26,-0.3924545317901698,-1.0524199609198857,1.0,-0.0,-0.674507740868781,-0.6383586352021644,0.0
2018-09-27,-0.39365496527125965,-1.048695325699268,1.0,-0.0,-0.6741505537826169,-0.6379200300356674,0.0
2018-09-28,-0.39393256739505894,-1.048471878050612,1.0,-0.0,-0.674175865435158,-0.638019073364872,0.0
2018-10-01,-0.39406000075094805,-1.04847369804378,1.0,-0.0,-0.6741636315848758,-0.6380805767281192,0.0
2018-10-02,-0.3948188473812653,-1.0463675614792567,1.0,-0.0,-0.6746010887929417,-0.6386709217195421,0.0
2018-10-03,-0.4017119915157943,-1.0703355806378305,1.0,-0.0,-0.6781304446632832,-0.6374138322854329,0.0
2018-10-04,-0.4091426403641882,-1.0628603945371775,1.0,-0.0,-0.6882018209408194,-0.6334218512898331,0.0
2018-10-05,-0.39151602068158664,-1.0549118768162433,1.0,-0.0,-0.6902290825376458,-0.6373551722836548,0.0
2018-10-08,-0.39056969973741296,-1.0598622369372457,1.0,-0.0,-0.7094036609963085,-0.6457358145907067,0.0
2018-10-09,-0.3824453813721732,-1.067228823303948,1.0,-0.0,-0.7215024913760061,-0.6617477960904561,0.0
2018-10-10,-0.38174846625766873,-1.0682515337423315,1.0,-0.0,-0.7216257668711658,-0.6627300613496933,0.0
2018-10-11,-0.29320941943127965,-1.0545393957345972,1.0,-0.0,-0.6878702606635071,-0.6669875592417062,0.0
2018-10-12,-0.2966796661442577,-1.045814046725225,1.0,-0.0,-0.6632284870794911,-0.6389911433465758,0.0
2018-10-15,-0.27269093815856404,-1.0658745730688175,1.0,-0.0,-0.657183344233704,-0.6377080154058571,0.0
2018-10-16,-0.26677577741407527,-1.077286779414439,1.0,-0.0,-0.6562284051645754,-0.6366975813784324,0.0
2018-10-17,-0.2437711637854215,-1.034147210835858,1.0,-0.0,-0.6464801283193726,-0.6400285154161468,0.0
2018-10-18,-0.2430679307149476,-1.032967424620429,1.0,-0.0,-0.6478366241357189,-0.6401739254401597,0.0
2018-10-19,-0.22518800974473047,-1.0217844154927092,1.0,-0.0,-0.6468947498499453,-0.6368322564700067,0.0
2018-10-22,-0.22567514954164158,-1.009131773616961,1.0,-0.0,-0.6577708561922628,-0.6468339645347396,0.0
2018-10-23,-0.23351891911060677,-1.0119862406468314,1.0,-0.0,-0.6546331430192559,-0.646122202914997,0.0
2018-10-24,-0.23129275814398637,-1.0076211406898017,1.0,-0.0,-0.6561979369749388,-0.6496047640991103,0.0
2018-10-25,-0.18742073693230504,-0.9556126820908312,1.0,-0.0,-0.6703684661525279,-0.6141902313624678,0.0
2018-10-26,-0.16574566905108995,-0.9407058344916432,1.0,-0.0,-0.6790860087466521,-0.6046377597721803,0.0
2018-10-29,-0.14658803706823925,-0.9470935130581297,1.0,-0.0,-0.669418702611626,-0.6067396798652064,0.0
2018-10-30,-0.1132448749872088,-0.962649657195484,1.0,-0.0,-0.6854384827915544,-0.6496913053859535,0.0
2018-10-31,-0.11836541388992254,-0.9386353641622408,1.0,-0.0,-0.6824870606542405,-0.6433814823585129,0.0
2018-11-01,-0.058002507312996235,-1.307898035938153,1.0,-0.0,-0.9335144170497284,-0.8794400334308399,0.0
2018-11-02,-0.06882641603593112,-1.261914663561507,1.0,-0.0,-0.9531730849205688,-0.8747816684687683,0.0
2018-11-05,-0.06225778222277785,-1.2862857857232155,1.0,-0.0,-0.9579114055923658,-0.8607325915739469,0.0
2018-11-06,-0.06813067755646304,-1.2906492207683975,1.0,-0.0,-0.9537878156513043,-0.8544462038503209,0.0
