Date,IWF,IWM,MTUM,SPY,UMC,VLUE,VXX
2018-09-24,-0.5565871282137456,-0.957528146529995,-0.03806083011258612,-0.8547302974290035,1.0,-0.7940682238279281,0.0
2018-09-25,-0.5610289172831203,-0.9554472091459314,-0.044174512441156694,-0.8526395427034298,1.0,-0.7897612642905179,0.0
2018-09-26,-0.5609079445145019,-0.955443463640185,-0.04363177805800757,-0.8529213955443464,1.0,-0.7905002101723413,0.0
2018-09-27,-0.5682239057239057,-0.944107744107744,-0.04781144781144781,-0.855976430976431,1.0,-0.7926346801346801,0.0
2018-09-28,-0.5699065105702014,-0.9436115556304219,-0.04817653499536764,-0.8564810915522615,1.0,-0.7931019961256632,0.0
2018-10-01,-0.5698462834280902,-0.9436091808801854,-0.048557591071804594,-0.8563065908612341,1.0,-0.7930511686670878,0.0
2018-10-02,-0.570346046981561,-0.9363896606887261,-0.05152816367769639,-0.8572029973899132,1.0,-0.7943504251915466,0.0
2018-10-03,-0.5738516199983081,-0.9519499196345488,-0.05363336435157771,-0.8581338296252433,1.0,-0.7921918619406142,0.0
2018-10-04,-0.5800143903161636,-0.9438777669615271,-0.05472552588140687,-0.8664240064333179,1.0,-0.7874042409108224,0.0
2018-10-05,-0.5890726218888511,-0.959001022843505,-0.051951926355267644,-0.87227241732015,1.0,-0.7895073303784521,0.0
2018-10-08,-0.5868798095319077,-0.9548063432677182,-0.0488924790612644,-0.8731771608349985,1.0,-0.7877216104757451,0.0
2018-10-09,-0.5857318991539475,-0.9552314952595552,-0.04570383912248629,-0.8748777688023468,1.0,-0.7899749160324816,0.0
2018-10-10,-0.5862904253962857,-0.9541455951723259,-0.04619438187922315,-0.8751009306871786,1.0,-0.7879818112277421,0.0
2018-10-11,-0.5185261086974342,-0.9342978932699402,-0.0,-0.849741782113288,1.0,-0.7960898434297894,0.0
2018-10-12,-0.5244050020169423,-0.9194029850746269,-0.0,-0.8238805970149253,1.0,-0.7661960467930616,0.0
2018-10-15,-0.4812732567545705,-0.9700695680310629,-0.0,-0.8205791943051287,1.0,-0.772730949684517,0.0
2018-10-16,-0.48596427269413045,-0.9659739944100133,-0.0,-0.8233888281281646,1.0,-0.7754688702556001,0.0
2018-10-17,-0.4549114973688407,-0.9124940200924893,-0.0,-0.8231542018816775,1.0,-0.7960851538829533,0.0
2018-10-18,-0.45396179766319733,-0.9105953662718826,-0.0,-0.8262551341867049,1.0,-0.7969055309646289,0.0
2018-10-19,-0.43944965010081843,-0.8972047602103349,-0.0,-0.8242992132210494,1.0,-0.7927489819317598,0.0
2018-10-22,-0.4397463839904894,-0.8838517931444422,-0.0,-0.8357836338418861,1.0,-0.8033683376263125,0.0
2018-10-23,-0.43506493506493504,-0.8903274639470957,-0.0,-0.8467054417974663,1.0,-0.8116484742251613,0.0
