Date,FLXN,IWF,IWM,MTUM,SPY,VLUE,VXX
2018-09-24,1.0,-0.8714808043875686,-1.7862888482632542,-0.12577696526508225,-1.1648385131017671,-1.145460085313833,0.0
2018-09-25,1.0,-0.8722665529633915,-1.7844307729792286,-0.12773344703660838,-1.1633672412742888,-1.1434488639824572,0.0
2018-09-26,1.0,-0.871968312004875,-1.7845825716026813,-0.12589884216940891,-1.164594759293114,-1.146800731261426,0.0
2018-09-27,1.0,-0.8789762340036563,-1.7701401584399759,-0.13059110298598417,-1.1664229128580135,-1.1477148080438757,0.0
2018-09-28,1.0,-0.9023758099352052,-1.7843258253625425,-0.13131749460043196,-1.1872261647639617,-1.1657513113236655,0.0
2018-10-01,1.0,-0.9069048649316932,-1.783828892872597,-0.13129752117203436,-1.1916300921060765,-1.1679545033071645,0.0
2018-10-02,1.0,-0.9073282537322679,-1.8022672365731276,-0.1280431146627021,-1.1905469863098557,-1.166449854426067,0.0
2018-10-03,1.0,-0.9065634674922601,-1.788173374613003,-0.12637770897832817,-1.1955417956656347,-1.1752941176470588,0.0
2018-10-04,1.0,-0.9060519448241581,-1.800360382751336,-0.12731452715297628,-1.195600845035417,-1.1841058779669442,0.0
2018-10-05,1.0,-0.8899332179074944,-1.7941503833786794,-0.10542913677961908,-1.2015211476626269,-1.1924313628493692,0.0
2018-10-08,1.0,-0.891289501458993,-1.7977897808406285,-0.0934997206183647,-1.2239399019060038,-1.2018997951201342,0.0
2018-10-09,1.0,-0.8892959145660002,-1.798894821805538,-0.08797963491866385,-1.2268098845150874,-1.2058860052154476,0.0
2018-10-10,1.0,-0.8939224459358688,-1.7977877206065125,-0.09197116579666915,-1.230487198608004,-1.2002237136465324,0.0
2018-10-11,1.0,-0.7801825766277733,-1.811196421014449,-0.0,-1.2092376518952905,-1.244967051568829,0.0
2018-10-12,1.0,-0.8062173678209206,-1.8155794274740444,-0.0,-1.1754786052931645,-1.2040448898757727,0.0
2018-10-15,1.0,-0.7540206433029285,-1.8719995199231876,-0.0,-1.167006721075372,-1.2079332693230915,0.0
