Date,IHC,IWF,IWM,MTUM,SPY,VLUE,VXX
2018-09-24,1.0,-0.38269223770879585,-1.049492339604789,-0.0,-0.6132683139852252,-0.5936897267003894,0.0
2018-09-25,1.0,-0.40582065297680603,-1.063598759048604,-0.0,-0.6254616634658,-0.5984266509085537,0.0
2018-09-26,1.0,-0.4090741014642804,-1.0673347137997338,-0.0,-0.6264605827540304,-0.5948084602869398,0.0
2018-09-27,1.0,-0.41882623364104843,-1.0576131687242798,-0.0,-0.6320023727431134,-0.5989693397100805,0.0
2018-09-28,1.0,-0.4169108103096607,-1.05985536806972,-0.0,-0.632301131095865,-0.599443723345077,0.0
2018-10-01,1.0,-0.41701067350961357,-1.0655286548402692,-0.0,-0.6340882888913683,-0.6023652794823161,0.0
2018-10-02,1.0,-0.4162349521076367,-1.0777086206253959,-0.0,-0.6324773582796019,-0.6005739629533003,0.0
2018-10-03,1.0,-0.4157851609058403,-1.073450536352801,-0.0,-0.633157032181168,-0.6022794994040525,0.0
2018-10-04,1.0,-0.4154884918118403,-1.0771067258551872,-0.0,-0.6326332674301489,-0.6051404483903459,0.0
2018-10-05,1.0,-0.39141282490504203,-1.0689655172413792,-0.0,-0.6435167945185074,-0.6199448871676473,0.0
2018-10-08,1.0,-0.38811762949693984,-1.0677339901477834,-0.0,-0.65371697268249,-0.6222943722943723,0.0
2018-10-09,1.0,-0.3898678414096916,-1.0687299335473757,-0.0,-0.6534383633241245,-0.6212200403195699,0.0
2018-10-10,1.0,-0.3970555180939537,-1.070690042706226,-0.0,-0.6604105791563647,-0.6180040458530006,0.0
2018-10-11,1.0,-0.3401145923991877,-1.0516391064693935,-0.0,-0.6275747026399767,-0.6070133449376269,0.0
2018-10-12,1.0,-0.34508249410756375,-1.0440682808370831,-0.0,-0.6028855081779873,-0.579137204485394,0.0
2018-10-15,1.0,-0.3239346363345082,-1.0617679518672791,-0.0,-0.5969596639253801,-0.5774858485528143,0.0
2018-10-16,1.0,-0.3204457260849443,-1.0673573284915805,-0.0,-0.595856029050518,-0.5764178148029478,0.0
