Date,IWF,IWM,MTUM,SPY,VALE,VLUE,VXX
2018-09-24,-0.5096818810511756,-0.841070193637621,-0.13818291839557398,-0.9298063623789765,1.0,-0.903570193637621,0.0
2018-09-25,-0.5088736905895593,-0.844472340057138,-0.13552939139468442,-0.9325599515193489,1.0,-0.907150896026318,0.0
2018-09-26,-0.517741935483871,-0.8594594594594595,-0.14476896251089802,-0.9377506538796861,1.0,-0.8994333042720141,0.0
2018-09-27,-0.517533147243545,-0.8614794138171668,-0.14458304256803906,-0.938023377529658,1.0,-0.8998168178646196,0.0
2018-09-28,-0.5138227715421234,-0.867668253482989,-0.14565226885618202,-0.9390749879896929,1.0,-0.9011660916277241,0.0
2018-10-01,-0.5144342053544132,-0.8668821242957593,-0.14582696423112199,-0.9392496833646329,1.0,-0.9009913962527842,0.0
2018-10-02,-0.5168858403599982,-0.8489667525885796,-0.15260605531041113,-0.9440779413692166,1.0,-0.9063742409017432,0.0
2018-10-03,-0.5240577917200547,-0.83382671320638,-0.14682101356426458,-0.9716785225113772,1.0,-0.9419431803119338,0.0
2018-10-04,-0.5320268955144651,-0.824957975758648,-0.14796956560205254,-0.9822171105016366,1.0,-0.9364328054498805,0.0
2018-10-05,-0.5231060940118176,-0.8188111826439721,-0.13682864450127877,-0.9882264749977951,1.0,-0.9425434341652702,0.0
2018-10-08,-0.5206160616061606,-0.8142574257425743,-0.13245324532453245,-0.9915071507150715,1.0,-0.9416061606160616,0.0
2018-10-09,-0.5176501696707946,-0.8172843858798643,-0.12238332378476048,-0.9987660305848134,1.0,-0.9509497157463311,0.0
2018-10-10,-0.5248772721241873,-0.8184069700588209,-0.12768121710671795,-1.0058820927866967,1.0,-0.945734377073106,0.0
2018-10-11,-0.47233676975945016,-0.802233676975945,-0.061254295532646046,-0.9960051546391752,1.0,-0.9637027491408934,0.0
2018-10-12,-0.49554465998720953,-0.7991473033468344,-0.05602217011298231,-0.9759539543807291,1.0,-0.9368151780004264,0.0
2018-10-15,-0.4829816201497617,-0.8165418652144316,-0.03773825731790333,-0.977067733151804,1.0,-0.9402654867256637,0.0
2018-10-16,-0.47984644913627644,-0.8390275111964172,-0.023075282576242268,-0.980678182981446,1.0,-0.942674344209853,0.0
2018-10-17,-0.45742440832140147,-0.7896487829529184,-0.0,-0.9907773940874253,1.0,-0.9733849911564053,0.0
2018-10-18,-0.4571440670788516,-0.7908867620902855,-0.0,-1.0056322520538663,1.0,-0.9811128991276362,0.0
2018-10-19,-0.45016920473773264,-0.7885363790186125,-0.0,-1.0085871404399323,1.0,-0.9827834179357022,0.0
2018-10-22,-0.4500274922810134,-0.7779046652286089,-0.0,-1.0139576195914224,1.0,-0.9876919172693821,0.0
2018-10-23,-0.46853951743541644,-0.7907323727513001,-0.0,-1.0125330377696309,1.0,-0.991133088924887,0.0
2018-10-24,-0.46879952032206945,-0.8017473981755108,-0.0,-1.018030750781618,1.0,-0.9942609961882736,0.0
2018-10-25,-0.4302291847983754,-0.7414729164076423,-0.0,-1.0168676696091838,1.0,-0.955820796551867,0.0
2018-10-26,-0.4065843958837276,-0.7248575294165882,-0.0,-1.0244352425074823,1.0,-0.94399573613218,0.0
2018-10-29,-0.36523887973640856,-0.7612850082372323,-0.0,-1.0190280065897859,1.0,-0.9730642504118616,0.0
2018-10-30,-0.40461075843635147,-0.7790260608085533,-0.0,-1.0338706982960242,1.0,-0.9589041095890412,0.0
2018-10-31,-0.4086199751346871,-0.7552009946125156,-0.0,-1.0290509738914215,1.0,-0.9513468711147949,0.0
