Date,IWF,IWM,MTUM,SPY,TWTR,VLUE,VXX
2018-09-24,-1.3714309224059904,-2.4379165638114046,-0.5924463095531967,-1.5423352258701555,1.0,-1.2842919443758742,0.0
2018-09-25,-1.3744859351867085,-2.434117453528541,-0.5979601908208587,-1.5392334265504195,1.0,-1.2793222569501563,0.0
2018-09-26,-1.3768724279835391,-2.437283950617284,-0.6018106995884774,-1.5394238683127572,1.0,-1.2750617283950618,0.0
2018-09-27,-1.380549161460046,-2.4232982571522523,-0.6051463334429463,-1.5384741861229858,1.0,-1.2735120026307136,0.0
2018-09-28,-1.3799112280124939,-2.4224889035015615,-0.6057866184448463,-1.5379746835443038,1.0,-1.2734670392898242,0.0
2018-10-01,-1.390830235439901,-2.429491945477076,-0.6068566707971912,-1.5509293680297396,1.0,-1.2829409334985542,0.0
2018-10-02,-1.3915269634156413,-2.418118754645305,-0.6110331158642333,-1.5524816252374265,1.0,-1.2851597984969858,0.0
2018-10-03,-1.3903928689336413,-2.4027731924727633,-0.6091119181247937,-1.5571970947507427,1.0,-1.293991416309013,0.0
2018-10-04,-1.3904149138002144,-2.3993235997690343,-0.6097500618658748,-1.5569578487173141,1.0,-1.292419368143199,0.0
2018-10-05,-1.3660655737704919,-2.387377049180328,-0.5809016393442623,-1.5631967213114755,1.0,-1.2991803278688525,0.0
2018-10-08,-1.363375665710774,-2.3836132732486686,-0.57083162638263,-1.574600573535436,1.0,-1.3009422367882015,0.0
2018-10-09,-1.360842484838551,-2.38559252581544,-0.5631044091132601,-1.579003442058679,1.0,-1.3069168988690378,0.0
2018-10-10,-1.3710314196413884,-2.390031255140648,-0.5704063168284257,-1.5894061523276855,1.0,-1.3041618687284093,0.0
2018-10-11,-1.2555520800750706,-2.3425868001251176,-0.43572098842664997,-1.514544885830466,1.0,-1.2713481388802004,0.0
2018-10-12,-1.2860800744878957,-2.349084419615146,-0.4235723153320919,-1.4790502793296092,1.0,-1.2213687150837989,0.0
2018-10-15,-1.263247335084196,-2.3799629229105514,-0.3896956588907771,-1.4731963540862043,1.0,-1.218368608064267,0.0
2018-10-16,-1.259855936798079,-2.4106575788087676,-0.3716210982882813,-1.479281233057083,1.0,-1.2239175896522345,0.0
