Date,IWF,IWM,MTUM,SPY,VLUE,VRT,VXX
2019-04-01,-0.0,-0.0,-0.0,-0.21458384802423708,-0.08568790877293354,1.0,0.0
2019-04-02,-0.0,-0.0,-0.0,-0.21999092500162054,-0.0764374149218902,1.0,0.0
2019-04-03,-0.0,-0.0,-0.0,-0.22101646570724753,-0.07549591598599767,1.0,0.0
2019-04-04,-0.0,-0.0,-0.0,-0.22004046482672757,-0.076909109773812,1.0,0.0
2019-04-05,-0.0,-0.0,-0.0,-0.22422315926046057,-0.07321440155692507,1.0,0.0
2019-04-08,-0.0,-0.0,-0.0,-0.22442565680965182,-0.07427176270438046,1.0,0.0
2019-04-09,-0.0,-0.0,-0.0,-0.22445082425076968,-0.07461775289364632,1.0,0.0
2019-04-10,-0.0,-0.0,-0.0,-0.22387768887041465,-0.07510651563961343,1.0,0.0
2019-04-11,-0.0,-0.0,-0.0,-0.22441134070158575,-0.07434055872306712,1.0,0.0
2019-04-12,-0.0,-0.0,-0.0,-0.22464699998701013,-0.07432809841133757,1.0,0.0
2019-04-15,-0.0,-0.0,-0.0,-0.2241139725458111,-0.0745704601238945,1.0,0.0
2019-04-16,-0.0,-0.0,-0.0,-0.2274371048729089,-0.0733928246221089,1.0,0.0
2019-04-17,-0.0,-0.0,-0.0,-0.22819045141147393,-0.07270716794588265,1.0,0.0
2019-04-18,-0.0,-0.0,-0.0,-0.22921789817453192,-0.0718997618954682,1.0,0.0
2019-04-22,-0.0,-0.0,-0.0,-0.22919675736164785,-0.0720224850685092,1.0,0.0
2019-04-23,-0.0,-0.0,-0.0,-0.22709158157949574,-0.0752630756407585,1.0,0.0
2019-04-24,-0.0,-0.0,-0.0,-0.22884118828408231,-0.07524582040113717,1.0,0.0
2019-04-25,-0.0,-0.0,-0.0,-0.23126271319042402,-0.07265425337714494,1.0,0.0
2019-04-26,-0.0,-0.0,-0.0,-0.2297660345861916,-0.07437596181434049,1.0,0.0
2019-04-29,-0.0,-0.0,-0.0,-0.2321957585644372,-0.07286133768352365,1.0,0.0
2019-04-30,-0.0,-0.0,-0.0,-0.2331454075640122,-0.07189465716597498,1.0,0.0
2019-05-01,-0.0,-0.0,-0.0,-0.23256967560864175,-0.07282814437699889,1.0,0.0
2019-05-02,-0.0,-0.0,-0.0,-0.23123264092633886,-0.0727353336202063,1.0,0.0
2019-05-03,-0.0,-0.0,-0.0,-0.23156988574111753,-0.07275525643032295,1.0,0.0
2019-05-06,-0.0,-0.0,-0.0,-0.23118405627198121,-0.07140810212322521,1.0,0.0
2019-05-07,-0.0,-0.0,-0.0,-0.2310916166651482,-0.07046634821881792,1.0,0.0
2019-05-08,-0.0,-0.0,-0.0,-0.22749931310593868,-0.08087032748492103,1.0,0.0
2019-05-09,-0.0,-0.0,-0.0,-0.2289475061495787,-0.07947349139058985,1.0,0.0
2019-05-10,-0.0,-0.0,-0.0,-0.228636566127722,-0.08160163517727523,1.0,0.0
