Date,IWF,IWM,MTUM,SPY,VLUE,VMI,VXX
2018-09-24,-0.22394078170454218,-0.6901408450704225,-0.0,-0.4719029925977131,-0.49422506408594713,1.0,0.0
2018-09-25,-0.22541821427543116,-0.6892401600875299,-0.00046068353920128993,-0.47122167516051944,-0.4929313869453802,1.0,0.0
2018-09-26,-0.22455564197850952,-0.6888485581770518,-0.0,-0.4718405208423357,-0.4955492178722669,1.0,0.0
2018-09-27,-0.22323311093781592,-0.6953181411200647,-0.0,-0.4729515062241863,-0.49675071484273464,1.0,0.0
2018-09-28,-0.22267791127541592,-0.6958179297597042,-0.0,-0.4729089648798521,-0.49676524953789275,1.0,0.0
2018-10-01,-0.22273175828641087,-0.7038079758518605,-0.0,-0.4753294247402333,-0.5005514599175712,1.0,0.0
2018-10-02,-0.2256405786996688,-0.6882807506827029,-0.004473882981813956,-0.4806228574748707,-0.5061007495206553,1.0,0.0
2018-10-03,-0.2256012547926107,-0.6869989543394912,-0.0045602416637620545,-0.48082955733705124,-0.5066225165562914,1.0,0.0
2018-10-04,-0.2256696298878624,-0.6871477543431526,-0.004909650804717913,-0.4806228574748707,-0.5067979780373016,1.0,0.0
2018-10-05,-0.2113079729025534,-0.6808812460193387,-0.0,-0.4870013317121186,-0.5158357941057263,1.0,0.0
2018-10-08,-0.2124024712126925,-0.6836151637323433,-0.0,-0.4872813759897903,-0.5171563651129738,1.0,0.0
2018-10-09,-0.2089305402425579,-0.6836302442987291,-0.0,-0.4888295711715893,-0.52001972958858,1.0,0.0
2018-10-10,-0.20772582050537322,-0.6854196921289574,-0.0,-0.4889050246877723,-0.5223932616903862,1.0,0.0
2018-10-11,-0.15239983010052385,-0.6784935579781962,-0.0,-0.4704516494407476,-0.5303412147812544,1.0,0.0
2018-10-12,-0.1467923569755299,-0.6794614885269962,-0.0,-0.46778245039654537,-0.528350879173605,1.0,0.0
2018-10-15,-0.13311743170937762,-0.6903125880033792,-0.0,-0.4645451985356237,-0.5281329203041397,1.0,0.0
2018-10-16,-0.1269389136443116,-0.7024930904168312,-0.0,-0.46367533419820633,-0.5271306898302216,1.0,0.0
2018-10-17,-0.11656390369109727,-0.6838992271852243,-0.0,-0.4599503389783221,-0.5295315682281059,1.0,0.0
