Date,IBUY,IWF,IWM,MTUM,SPY,VLUE,VXX
2018-09-24,1.0,-0.3538449913100426,-0.48545376690763464,-0.2543512757865041,-0.25848215410191183,-0.1666960529961462,0.0
2018-09-25,1.0,-0.35425218464327984,-0.484927850109547,-0.2551058953889547,-0.2580271474980483,-0.16600770606159815,0.0
2018-09-26,1.0,-0.35486714519581913,-0.48568190404231204,-0.2564664399949628,-0.25767535574864625,-0.16388364185870796,0.0
2018-09-27,1.0,-0.35809619743137744,-0.47884663812641654,-0.2584739360362629,-0.2584739360362629,-0.1643414756988164,0.0
2018-09-28,1.0,-0.35757636807776577,-0.4791357123070337,-0.2585811780704626,-0.2585308116547886,-0.16452189679921428,0.0
2018-10-01,1.0,-0.35890134811641683,-0.47816555373566844,-0.2581831926420562,-0.259695098903868,-0.16487337785057327,0.0
2018-10-02,1.0,-0.3585352936726099,-0.48389781353239353,-0.2564244823846872,-0.25894635967013846,-0.16407333619146094,0.0
2018-10-03,1.0,-0.3679473955647241,-0.5274626095925735,-0.2584837545126354,-0.2642083548220732,-0.1605724600309438,0.0
2018-10-04,1.0,-0.3687711067000078,-0.5255084942383543,-0.25864246861385376,-0.2654223917919105,-0.15962465520352662,0.0
2018-10-05,1.0,-0.3671390725070089,-0.5249877826075774,-0.25674528665860746,-0.264975951027547,-0.1582602433190154,0.0
2018-10-08,1.0,-0.36774359634444587,-0.5263225640365555,-0.2572789290771013,-0.26456429398893033,-0.1584245076586433,0.0
2018-10-09,1.0,-0.3704381443298969,-0.5271134020618556,-0.2624484536082474,-0.2624742268041237,-0.15481958762886597,0.0
2018-10-10,1.0,-0.369858064516129,-0.5294451612903226,-0.26082580645161285,-0.26278709677419354,-0.1577290322580645,0.0
2018-10-11,1.0,-0.36798747626135603,-0.5315403171996099,-0.2567366422008931,-0.258096802340502,-0.15195298465328747,0.0
2018-10-12,1.0,-0.37578792191947946,-0.5284160227734851,-0.2586925579503863,-0.24410329402196013,-0.13470923139487595,0.0
2018-10-15,1.0,-0.38729209780026064,-0.5168493395672058,-0.27048363608492376,-0.24657009274162645,-0.1336450269538336,0.0
2018-10-16,1.0,-0.39012029690299466,-0.5097517276682877,-0.2766828768876376,-0.24770923982595344,-0.13524443306885078,0.0
2018-10-17,1.0,-0.3870023419203747,-0.5015527950310559,-0.27436106302820484,-0.24638529681295182,-0.13623867223297015,0.0
2018-10-18,1.0,-0.3869218825565709,-0.5014126810395296,-0.2744673810675287,-0.24644284368875202,-0.13612645404332221,0.0
