Date,IWF,IWM,MT,MTUM,SPY,VLUE,VXX
2018-09-24,-0.4582826460841478,-0.8879567095935232,1.0,-0.16460421997567012,-0.8193716179369941,-0.8645916355551827,0.0
2018-09-25,-0.45881908915541386,-0.8870670133355699,1.0,-0.1656881657301015,-0.818543990606391,-0.8634571835947329,0.0
2018-09-26,-0.46553177144783414,-0.8977751559076352,1.0,-0.17377380751727625,-0.8214225518287545,-0.8552165852014159,0.0
2018-09-27,-0.4647786265985734,-0.9039800785041996,1.0,-0.17262482589794453,-0.8227324526231375,-0.8565399063014393,0.0
2018-09-28,-0.4607221376627769,-0.9110434635548791,1.0,-0.17364282090309488,-0.8242431929646542,-0.8582783696938948,0.0
2018-10-01,-0.4643038617886179,-0.9101880081300813,1.0,-0.17310298102981028,-0.8274051490514904,-0.8595020325203252,0.0
2018-10-02,-0.4667485598102338,-0.8922822771941714,1.0,-0.1797272111148763,-0.8323026092849881,-0.8647915960691291,0.0
2018-10-03,-0.4664041661374317,-0.8883525974850756,1.0,-0.17947415216562934,-0.8330581311655869,-0.8665481180405605,0.0
2018-10-04,-0.46877380045696876,-0.8832190911398833,1.0,-0.18024879411018024,-0.8357028010493357,-0.8632055513243632,0.0
2018-10-05,-0.45745129459391076,-0.8770346630682297,1.0,-0.16846588513114616,-0.8422872564729696,-0.8716791768575526,0.0
2018-10-08,-0.4566756574511126,-0.87618004045853,1.0,-0.1672285906945381,-0.8428017532029669,-0.8715441672285907,0.0
2018-10-09,-0.4559821315689663,-0.8763959711745122,1.0,-0.16557798474440558,-0.8436512284546336,-0.8726874288844872,0.0
2018-10-10,-0.457487149237381,-0.8747366647004298,1.0,-0.16735484958287689,-0.8445689727816634,-0.8692592904693688,0.0
2018-10-11,-0.4079536584363831,-0.8684934883529848,1.0,-0.10467934760281007,-0.8360379606425373,-0.8910480259644222,0.0
2018-10-12,-0.4207103958384134,-0.8611314313582052,1.0,-0.10095098756400878,-0.8145980655124767,-0.8666178980736406,0.0
2018-10-15,-0.40961460446247466,-0.877079107505071,1.0,-0.08539553752535496,-0.8150101419878296,-0.86973630831643,0.0
2018-10-16,-0.40957403651115615,-0.8771602434077079,1.0,-0.08535496957403652,-0.8149695740365113,-0.8696551724137931,0.0
2018-10-17,-0.39162768381911955,-0.834992603254568,1.0,-0.06645076166486745,-0.8174403262564471,-0.8877293990644117,0.0
2018-10-18,-0.39015515035188736,-0.8326935380678182,1.0,-0.06769833653230965,-0.8200575815738963,-0.8881158029430581,0.0
2018-10-19,-0.3799149206854054,-0.8237585973840099,1.0,-0.05740865900687791,-0.8239971375183875,-0.8906293483878663,0.0
2018-10-22,-0.3790508798471216,-0.8302810733338641,1.0,-0.06397802372800382,-0.820288239509515,-0.8875706664543355,0.0
2018-10-23,-0.38000477592931625,-0.8296585210538885,1.0,-0.06662421396163337,-0.8176788983523045,-0.8859746875746239,0.0
