Date,IWF,IWM,MTUM,SPY,TRST,VLUE,VXX
2018-09-24,-0.1842041246587561,-0.7666026975160147,-0.03286752979971349,-0.3749493202151526,1.0,-0.3442981863394329,0.0
2018-09-25,-0.18309553518146804,-0.7715781478869419,-0.028698529810665657,-0.3793739488960018,1.0,-0.34980741062225357,0.0
2018-09-26,-0.1831669740696539,-0.7717261581859607,-0.0289682109146143,-0.37924487360312464,1.0,-0.3492730823478355,0.0
2018-09-27,-0.1824039585655637,-0.7774938147413066,-0.027758897256735814,-0.3805225524047742,1.0,-0.3506158070743046,0.0
2018-09-28,-0.1818873875098556,-0.7777113183437101,-0.028112340610641363,-0.38044098855387287,1.0,-0.35067018297490554,0.0
2018-10-01,-0.18152031454783746,-0.7842398427260812,-0.028642420270860634,-0.38223569244211447,1.0,-0.3538117081695063,0.0
2018-10-02,-0.18227521221944454,-0.8096480865910277,-0.02184005933902915,-0.38139062113678196,1.0,-0.35202329606329497,0.0
2018-10-03,-0.1820253720687572,-0.8047119556263386,-0.02128068537536383,-0.3829425009610632,1.0,-0.3549343731121973,0.0
2018-10-04,-0.1809494960621248,-0.8106790769400231,-0.02120394338271741,-0.38161590571129594,1.0,-0.3593104587762296,0.0
2018-10-05,-0.17408962432425015,-0.8104881863834692,-0.014736148843335801,-0.38341428610630884,1.0,-0.36143355012211514,0.0
2018-10-08,-0.17366140004388855,-0.8105387316216809,-0.014154048716260697,-0.3834759710335747,1.0,-0.3612025455343428,0.0
2018-10-09,-0.17102549294612657,-0.8137942413992245,-0.004702582295190165,-0.3904793333883343,1.0,-0.3700464758133268,0.0
2018-10-10,-0.17251051893408131,-0.8127767235926628,-0.006380111651953909,-0.39144185023237904,1.0,-0.3669664219123835,0.0
2018-10-11,-0.12229637372356678,-0.8122805606925572,-0.0,-0.373643161534132,1.0,-0.37195465144327405,0.0
2018-10-12,-0.1175058672925112,-0.8151002773629187,-0.0,-0.36838596116919137,1.0,-0.3659590356304673,0.0
2018-10-15,-0.07653184790506176,-0.869944296439816,-0.0,-0.3686391647156966,1.0,-0.37587793654637924,0.0
2018-10-16,-0.06997627008952648,-0.8833459173767662,-0.0,-0.36808327041311617,1.0,-0.3751752777478158,0.0
2018-10-17,-0.05191176861879041,-0.8536838464199239,-0.0,-0.3679323098209296,1.0,-0.38724955431977226,0.0
2018-10-18,-0.05164156866918533,-0.8535624966742935,-0.0,-0.3681157877933273,1.0,-0.3872452508912893,0.0
2018-10-19,-0.040608063450099145,-0.8510244547257106,-0.0,-0.36703238598810317,1.0,-0.38508922670191675,0.0
2018-10-22,-0.04132952562271934,-0.8506795705748584,-0.0,-0.3670738801628854,1.0,-0.3851605055793538,0.0
2018-10-23,-0.039591383051923994,-0.8512676652728525,-0.0,-0.36913142433705604,1.0,-0.38649235166463775,0.0
2018-10-24,-0.03757370633808403,-0.8485681800153361,-0.0,-0.3696290224490335,1.0,-0.38840265475025776,0.0
2018-10-25,-0.019494136225955937,-0.8291091723405908,-0.0,-0.36857638439433554,1.0,-0.3716571310223419,0.0
2018-10-26,-0.009089275168819166,-0.8201401905153157,-0.0,-0.372223791306134,1.0,-0.36613859860836523,0.0
