Date,IWF,IWM,MBIN,MTUM,SPY,VLUE,VXX
2018-09-24,-0.4513808204486549,-1.3351952810796317,1.0,-0.0,-0.8193761730270801,-0.8626776298149968,0.0
2018-09-25,-0.4531529117541979,-1.3336012861736333,1.0,-0.0,-0.8182833154698106,-0.8608431582708109,0.0
2018-09-26,-0.45202348406758397,-1.3358580199883476,1.0,-0.0,-0.8227490700488505,-0.8710617129027921,0.0
2018-09-27,-0.4519386106623586,-1.3395261173936455,1.0,-0.0,-0.8238646562556093,-0.8721952970741339,0.0
2018-09-28,-0.449618320610687,-1.3431073192635832,1.0,-0.0,-0.8246070947462955,-0.8730579254602604,0.0
2018-10-01,-0.45033677593174676,-1.3421194431971262,1.0,-0.0,-0.8249214189492591,-0.8729681185451279,0.0
2018-10-02,-0.4507927952207699,-1.3440237164802586,1.0,-0.0,-0.8245070296006828,-0.8724790010331043,0.0
2018-10-03,-0.45357528818443804,-1.3528458213256485,1.0,-0.0,-0.8252431556195965,-0.8711725504322767,0.0
2018-10-04,-0.4595604791497793,-1.34454651895884,1.0,-0.0,-0.8327479059713591,-0.8664324957218769,0.0
2018-10-05,-0.43247725337277576,-1.3333333333333335,1.0,-0.0,-0.8388687194657344,-0.8774147281609967,0.0
2018-10-08,-0.42738366635376157,-1.3272540342407582,1.0,-0.0,-0.840686603191632,-0.874748558401502,0.0
2018-10-09,-0.4204061505357063,-1.3304343927915003,1.0,-0.0,-0.8474918187116152,-0.8845653830636123,0.0
2018-10-10,-0.4226614674375868,-1.3292994487024339,1.0,-0.0,-0.8489982519833266,-0.8810900452691498,0.0
2018-10-11,-0.3068515638500086,-1.3147572144461726,1.0,-0.0,-0.8059443580438915,-0.8924313115603941,0.0
2018-10-12,-0.3093308439767472,-1.3027114185089321,1.0,-0.0,-0.7731149488691815,-0.8580642423728095,0.0
2018-10-15,-0.2490751621186404,-1.4187665926796362,1.0,-0.0,-0.7919223571397485,-0.8924576750663706,0.0
