Date,IWF,IWM,MTUM,SPY,UIS,VLUE,VXX
2018-09-24,-0.8642811649586012,-1.4707312836546813,-0.4110358404261479,-1.0566267153031093,1.0,-0.9874355856638295,0.0
2018-09-25,-0.8638710051621135,-1.475146453221971,-0.4083869845136593,-1.0604953308972798,1.0,-0.9922858302882663,0.0
2018-09-26,-0.8702485592875021,-1.4850689795680774,-0.4159147796728564,-1.063740613539787,1.0,-0.9860876651725944,0.0
2018-09-27,-0.8703369609497759,-1.483792120118722,-0.4164581272187627,-1.0633765931443868,1.0,-0.9857999185241227,0.0
2018-09-28,-0.866787045666356,-1.4889328984156571,-0.4175209692451071,-1.0643639328984156,1.0,-0.9871854613233924,0.0
2018-10-01,-0.8673190051837613,-1.4878560195701556,-0.4177296289824684,-1.0645349175840175,1.0,-0.9870697186790145,0.0
2018-10-02,-0.8674403685775938,-1.49979588266169,-0.41529130460138797,-1.06350965183414,1.0,-0.9859450632763748,0.0
2018-10-03,-0.8718008784773059,-1.517364568081991,-0.41827232796486086,-1.0650073206442168,1.0,-0.9840702781844802,0.0
2018-10-04,-0.8713597933302019,-1.526068576796618,-0.4186824800375763,-1.0648778769375293,1.0,-0.9903710662282762,0.0
2018-10-05,-0.855740578439965,-1.5179666958808062,-0.40175284837861525,-1.0700555068653228,1.0,-0.9973122991527901,0.0
2018-10-08,-0.8533309978396684,-1.514100543002277,-0.3937642319145209,-1.0791732352425993,1.0,-0.998423541776143,0.0
2018-10-09,-0.8585888134799906,-1.5174935642405805,-0.4017669084952024,-1.078106716592558,1.0,-0.9947928855604962,0.0
2018-10-10,-0.8589893554801732,-1.5166101298397474,-0.40226927125979645,-1.0780793075213475,1.0,-0.9927476897882794,0.0
2018-10-11,-0.7813840596071348,-1.5062655226913522,-0.30283359674870175,-1.0486565816211333,1.0,-1.0054752765861368,0.0
2018-10-12,-0.7978711547035221,-1.4983838609005797,-0.2968123049487294,-1.014768167632635,1.0,-0.9650022291573787,0.0
2018-10-15,-0.7794142166398044,-1.5275940643583614,-0.269549269160229,-1.013449674873562,1.0,-0.9677096648696715,0.0
2018-10-16,-0.7762572318647085,-1.5443925233644857,-0.2580663106364041,-1.0153538050734312,1.0,-0.968902981753449,0.0
2018-10-17,-0.7485960416553078,-1.4830161932282866,-0.23275721062101304,-1.0079057848536066,1.0,-0.9799901859222508,0.0
2018-10-18,-0.7475468818142172,-1.481301788050589,-0.23348233754906236,-1.0091037941561274,1.0,-0.9799389446140429,0.0
2018-10-19,-0.7312368293078294,-1.4668503809369426,-0.21689090614362133,-1.010914788998757,1.0,-0.977467985086724,0.0
2018-10-22,-0.7308087638625913,-1.471787936164458,-0.2230998106572897,-1.008385177170679,1.0,-0.9757100351636462,0.0
2018-10-23,-0.7371301614826055,-1.4736100574401214,-0.2338246450634009,-1.0016256638127234,1.0,-0.9726346591524873,0.0
2018-10-24,-0.7374404504114336,-1.4718492854049372,-0.2273170203551321,-1.0027609354699005,1.0,-0.9742854049372023,0.0
2018-10-25,-0.6854910132847095,-1.39353998437093,-0.21760875227923937,-0.9966657983849961,1.0,-0.9164365720239646,0.0
2018-10-26,-0.6665122742010189,-1.3745561216612627,-0.194174257629561,-1.0063300910915547,1.0,-0.9048427770058154,0.0
2018-10-29,-0.6443283123270828,-1.3936878778563377,-0.17250742903986063,-0.9968746797827647,1.0,-0.9160774669535813,0.0
2018-10-30,-0.6440903734822481,-1.3935140119883191,-0.17244735898355448,-0.9968236077667912,1.0,-0.9163379271479071,0.0
2018-10-31,-0.654095102186433,-1.358391519290556,-0.17338565822333216,-0.9990316497630091,1.0,-0.9116762652260334,0.0
2018-11-01,-0.6374516194744347,-1.3817478101446323,-0.15359543695253616,-1.0034630270930942,1.0,-0.9163780810755754,0.0
2018-11-02,-0.6574041148082296,-1.333045466090932,-0.13822707645415291,-1.0341376682753365,1.0,-0.9171958343916687,0.0
2018-11-05,-0.6562055657119642,-1.3353646150721106,-0.1383810684541946,-1.0337700589071703,1.0,-0.9144322567540117,0.0
2018-11-06,-0.6571892770105605,-1.3356011372867589,-0.13835296506904957,-1.0327985377741673,1.0,-0.9132311129163282,0.0
2018-11-07,-0.6542070294669574,-1.3343814981995232,-0.1426180453415834,-1.0293655221382563,1.0,-0.9111933864178119,0.0
2018-11-08,-0.6221684072448413,-1.3539175621815247,-0.10085263104787852,-1.0310781494374652,1.0,-0.9370869280056505,0.0
2018-11-09,-0.6241414141414141,-1.3553535353535353,-0.10025252525252525,-1.0318181818181817,1.0,-0.9389898989898989,0.0
2018-11-12,-0.6241664982824814,-1.356284097797535,-0.09956556880177814,-1.0322287330773894,1.0,-0.9392806627601535,0.0
2018-11-13,-0.6489802256962419,-1.394709597266798,-0.09819857128067089,-1.063826483072782,1.0,-0.9707526659074439,0.0
2018-11-14,-0.6484791958132546,-1.397274470179802,-0.09762163842686149,-1.0654956215347946,1.0,-0.9727965179542981,0.0
2018-11-15,-0.6509047544978483,-1.4046767252553531,-0.09203090164359412,-1.0771504121947424,1.0,-0.9600767356250324,0.0
2018-11-16,-0.6470161999896487,-1.3911805807152837,-0.08405362041302211,-1.0798095336680298,1.0,-0.9736556078877906,0.0
2018-11-19,-0.6509370295384935,-1.389918496599699,-0.10148990292270156,-1.075585319005347,1.0,-0.9733686341691326,0.0
2018-11-20,-0.6333436660467039,-1.3871667699938004,-0.08054350072328993,-1.0799752014879107,1.0,-0.9852758834469931,0.0
2018-11-21,-0.6326781957202238,-1.3797403397136554,-0.08215733565967055,-1.072099348283471,1.0,-0.9649509929696722,0.0
