Date,IWF,IWM,MTUM,NOAH,SPY,VLUE,VXX
2018-09-24,-0.977121971030188,-1.6099905238933259,-0.36706376066061996,1.0,-1.4368485176661703,-1.377622850954379,0.0
2018-09-25,-0.9767347215627754,-1.6164959641863934,-0.3632910533812657,1.0,-1.4421759479074814,-1.3841144950145832,0.0
2018-09-26,-0.978827361563518,-1.6192318132464711,-0.367128121606949,1.0,-1.441843105320304,-1.3790716612377851,0.0
2018-09-27,-0.9817011182649951,-1.607522873602169,-0.37004405286343617,1.0,-1.4405964079972893,-1.3774313791934938,0.0
2018-09-28,-0.9848741775757986,-1.6070677609713084,-0.3706165637929865,1.0,-1.441836803906939,-1.3784847046055755,0.0
2018-10-01,-0.9845997286295795,-1.6079375848032564,-0.37137042062415193,1.0,-1.4415875169606513,-1.37876526458616,0.0
2018-10-02,-0.9848752034725992,-1.6033640803038525,-0.37364351600651113,1.0,-1.4415355398806295,-1.3790016277807924,0.0
2018-10-03,-0.9856803529012556,-1.607125890736342,-0.37461825585341024,1.0,-1.441194435018663,-1.3779436715303697,0.0
2018-10-04,-0.9864342399782948,-1.603676320965882,-0.37556806620090893,1.0,-1.4414976599063962,-1.3757037238011258,0.0
2018-10-05,-0.9952257536488882,-1.6237211840130952,-0.3689810394216342,1.0,-1.451234483699359,-1.3811894693766198,0.0
2018-10-08,-0.993121296737724,-1.620785942927195,-0.36593339235850986,1.0,-1.451202070421576,-1.3795545869372745,0.0
2018-10-09,-0.9899093202427219,-1.624258539578646,-0.35508283902638577,1.0,-1.4589895684188998,-1.389718415490557,0.0
2018-10-10,-0.9915491037960881,-1.6218223948749402,-0.3569822122265386,1.0,-1.4596878620595652,-1.3851973011654057,0.0
2018-10-11,-0.8923542571390972,-1.6090933017502302,-0.22292406895644162,1.0,-1.4363074088695882,-1.4191340965916568,0.0
2018-10-12,-0.9286041489431319,-1.613441528695766,-0.2145147568876382,1.0,-1.4073031869642039,-1.380276159937177,0.0
2018-10-15,-0.9197099366302998,-1.6251388253740118,-0.19879793558502643,1.0,-1.407656627686679,-1.3817207813418695,0.0
2018-10-16,-0.9183540169823644,-1.629000653167864,-0.19568909209666882,1.0,-1.407380796864794,-1.3813193990855648,0.0
2018-10-17,-0.8839994875736612,-1.5504739943633101,-0.16019728414040482,1.0,-1.405457340507302,-1.405137074045606,0.0
2018-10-18,-0.8895957843326264,-1.562688773215089,-0.15570978728873466,1.0,-1.407557354925776,-1.4107705160336739,0.0
2018-10-19,-0.8681948424068768,-1.5404011461318052,-0.1320598535498249,1.0,-1.4143903215536453,-1.4122890799108565,0.0
2018-10-22,-0.8839400153806716,-1.5289028454242501,-0.10003845167905664,1.0,-1.4509741092027684,-1.444885926685465,0.0
2018-10-23,-0.9073917840223246,-1.5535076903108573,-0.12272048802647803,1.0,-1.452073463560257,-1.4540203777013434,0.0
2018-10-24,-0.9070853880093434,-1.5541785621593562,-0.11640280301064106,1.0,-1.4545159615883727,-1.4562029587334544,0.0
2018-10-25,-0.8376190772679161,-1.4474192142456883,-0.09968246061889048,1.0,-1.4561359815702632,-1.3853433783699645,0.0
2018-10-26,-0.814191885089927,-1.4203547971272483,-0.07556319440181695,1.0,-1.461236265422626,-1.367012460867964,0.0
2018-10-29,-0.7804529053129278,-1.5037949483638173,-0.020841109866865746,1.0,-1.4816473808635064,-1.4344904815229564,0.0
2018-10-30,-0.7703215374090429,-1.5051309161017477,-0.013744635860439084,1.0,-1.483860936625412,-1.446172025623484,0.0
2018-10-31,-0.7803643099722135,-1.4594010497066996,-0.01617783266440259,1.0,-1.482000617474529,-1.43680148193887,0.0
2018-11-01,-0.7608508014796548,-1.4810727496917384,-0.0,1.0,-1.4838471023427866,-1.439457459926017,0.0
2018-11-02,-0.761628624305984,-1.4832819247378162,-0.0,1.0,-1.4838988278840224,-1.4402837754472548,0.0
2018-11-05,-0.7535489445747439,-1.508887791630663,-0.0,1.0,-1.4869769164300704,-1.4227255894334032,0.0
2018-11-06,-0.7598568519775406,-1.5135435305732092,-0.0,1.0,-1.4817671376565682,-1.415005861664713,0.0
2018-11-07,-0.7625302025896784,-1.520351898891023,-0.0,1.0,-1.4908617805588253,-1.4217210829564462,0.0
2018-11-08,-0.7063297350343475,-1.522325809617272,-0.0,1.0,-1.4716633954857703,-1.4330839057899902,0.0
2018-11-09,-0.705225711481845,-1.522325809617272,-0.0,1.0,-1.4732580961727184,-1.432715897939156,0.0
2018-11-12,-0.703337604490817,-1.489169564952102,-0.0,1.0,-1.483372994081396,-1.4258344011227042,0.0
2018-11-13,-0.6550265828902851,-1.4789753504108265,-0.0,1.0,-1.4877960367327212,-1.4198284195263413,0.0
2018-11-14,-0.6552494865289357,-1.4785550320164311,-0.0,1.0,-1.4876162860939954,-1.4194756554307117,0.0
