Date,IWF,IWM,MTUM,SPY,SSP,VLUE,VXX
2018-09-24,-0.4615902058388268,-1.1870487465805641,-0.0,-0.9006233463384009,1.0,-0.9352437329028208,0.0
2018-09-25,-0.4616798959594601,-1.186959056459931,-0.0,-0.9006233463384009,1.0,-0.9352437329028208,0.0
2018-09-26,-0.4641511127063891,-1.1895638908829862,-0.0,-0.90106783919598,1.0,-0.9319364680545585,0.0
2018-09-27,-0.46730312401954194,-1.1819730177939134,-0.0,-0.9011698265429609,1.0,-0.9316032450360808,0.0
2018-09-28,-0.47176079734219273,-1.1815120768609142,-0.0,-0.9031157403250427,1.0,-0.9331507587321541,0.0
2018-10-01,-0.47229954206698394,-1.1808835413486576,-0.0,-0.9032504265062405,1.0,-0.9330609679446888,0.0
2018-10-02,-0.47198130589134046,-1.1889183480878984,-0.0,-0.9016312407315867,1.0,-0.9312452253628724,0.0
2018-10-03,-0.4710294646065397,-1.1782698526769673,-0.0,-0.9048688465684513,1.0,-0.9373427955443765,0.0
2018-10-04,-0.47291171057946946,-1.1741999192064276,-0.0,-0.9065487678980206,1.0,-0.9348714035638943,0.0
2018-10-05,-0.44681041424353585,-1.1628343920551132,-0.0,-0.9154513733559989,1.0,-0.9483761295517581,0.0
2018-10-08,-0.4427780753436886,-1.1580074986609534,-0.0,-0.9164434922335298,1.0,-0.9462595965006249,0.0
2018-10-09,-0.43350262933165534,-1.1660748797698774,-0.0,-0.9302440559126253,1.0,-0.9647175153939503,0.0
2018-10-10,-0.4369014971002113,-1.165085644921998,-0.0,-0.9328328013307559,1.0,-0.9609764869846693,0.0
2018-10-11,-0.3383812010443864,-1.1463011314186249,-0.0,-0.8975630983463881,1.0,-0.9693646649260227,0.0
2018-10-12,-0.3405131725735862,-1.1360593838496524,-0.0,-0.872093023255814,1.0,-0.9420320947395521,0.0
2018-10-15,-0.3125374411638853,-1.1589216944801028,-0.0,-0.8657252888318357,1.0,-0.9418057338468121,0.0
2018-10-16,-0.30442796519353593,-1.1762613056710531,-0.0,-0.8649320588109219,1.0,-0.9408890222469888,0.0
2018-10-17,-0.2737001769613213,-1.1237465239740456,-0.0,-0.8603690907558776,1.0,-0.9555490014325441,0.0
2018-10-18,-0.2725739819576764,-1.1216592192901105,-0.0,-0.8644717983306636,1.0,-0.9567911643200405,0.0
2018-10-19,-0.24499366286438531,-1.1154203633291084,-0.0,-0.8883396704689481,1.0,-0.9760033798056612,0.0
2018-10-22,-0.24533885765019237,-1.102566270663341,-0.0,-0.8965458926986006,1.0,-0.9833847714877606,0.0
2018-10-23,-0.2579686770510589,-1.1089087899494927,-0.0,-0.8935953482449811,1.0,-0.9838292092865328,0.0
2018-10-24,-0.2550925140044135,-1.109913427261925,-0.0,-0.8941181463249024,1.0,-0.9846375827533527,0.0
