Date,IWF,IWM,MTUM,PHO,SPY,VLUE,VXX
2018-09-24,-0.19298438773038556,-0.3539735318080726,-0.08596657344813159,1.0,-0.2997159403694978,-0.26939422632285914,0.0
2018-09-25,-0.19224156931893324,-0.355389023583866,-0.08435089266034825,1.0,-0.3009698038351334,-0.27114833590478293,0.0
2018-09-26,-0.19184546517012502,-0.35515667379655563,-0.08293457408101611,1.0,-0.3016825067807449,-0.2735010694833403,0.0
2018-09-27,-0.19202275433258367,-0.354654495744587,-0.08312387000044097,1.0,-0.3016271993649954,-0.2734709176698858,0.0
2018-09-28,-0.19091931464861409,-0.35566385146309726,-0.08339764934177159,1.0,-0.3015943019691724,-0.2735451718891265,0.0
2018-10-01,-0.19071460079400088,-0.35613145125716805,-0.08356859285399205,1.0,-0.3014777238641376,-0.27366563740626376,0.0
2018-10-02,-0.19058548319466823,-0.36002913071304044,-0.08253702028115553,1.0,-0.3007966808642112,-0.27292388497782094,0.0
2018-10-03,-0.1903721843492841,-0.3558144152491892,-0.08193791779733933,1.0,-0.30238047962583003,-0.27570763562556533,0.0
2018-10-04,-0.19088061413570986,-0.3548927909644401,-0.08212741551222094,1.0,-0.3028986146651372,-0.2751477984646607,0.0
2018-10-05,-0.18634824295201655,-0.35202533315740864,-0.07793464397237983,1.0,-0.3050974183049655,-0.27765316444561733,0.0
2018-10-08,-0.18560414698969843,-0.35075889032881585,-0.07667977244272628,1.0,-0.3061260351000505,-0.2773519010696949,0.0
2018-10-09,-0.1863535511082797,-0.35078315502734997,-0.07831550273500143,1.0,-0.3053096373102524,-0.276026449331078,0.0
2018-10-10,-0.18556020250935507,-0.3535989434294519,-0.07622716266784064,1.0,-0.30589918556020257,-0.27988113581333923,0.0
2018-10-11,-0.17476509483208633,-0.35190099182182005,-0.06283713241691317,1.0,-0.3033539237863233,-0.2821689577170698,0.0
2018-10-12,-0.17277532464707546,-0.353511843908381,-0.05977421530028495,1.0,-0.3055489091423227,-0.2835794923107041,0.0
2018-10-15,-0.167234976000695,-0.3619659883152705,-0.05225550029320418,1.0,-0.30562734834828315,-0.2848207110744304,0.0
2018-10-16,-0.1660040409307176,-0.367420539225271,-0.048230463403506486,1.0,-0.3060027374046797,-0.28486389015620583,0.0
2018-10-17,-0.1642696239819789,-0.363650147288165,-0.04676399237567146,1.0,-0.3056879223704731,-0.2856523999306879,0.0
