Date,AEF,IWF,IWM,MTUM,SPY,VLUE,VXX
2018-09-24,1.0,-0.2712010563475168,-0.4645773262550864,-0.019294510765582473,-0.47341615241585605,-0.4662750276213318,0.0
2018-09-25,1.0,-0.27029435592762624,-0.46778287874696195,-0.016554145287604644,-0.4761544693491763,-0.46972724817715367,0.0
2018-09-26,1.0,-0.2711580539722845,-0.4689483778600178,-0.018314919365731108,-0.475836732488722,-0.4670304438261433,0.0
2018-09-27,1.0,-0.274679270762998,-0.4616340310600945,-0.020580688723835245,-0.4765968939905469,-0.46738690074274136,0.0
2018-09-28,1.0,-0.2770761783715081,-0.46112658535925793,-0.0205251629303118,-0.47746018010222013,-0.4680494334622353,0.0
2018-10-01,1.0,-0.27716480069230354,-0.4610579263345773,-0.0206879766347558,-0.47741900589539726,-0.4679809616528747,0.0
2018-10-02,1.0,-0.27859983228284685,-0.4495901750209646,-0.024995266048096952,-0.4805096437363054,-0.4714204560824519,0.0
2018-10-03,1.0,-0.28037027988164076,-0.4596194044031816,-0.02614219398973858,-0.4799522219507561,-0.4685777886364254,0.0
2018-10-04,1.0,-0.2832329153775172,-0.4548933398469305,-0.026678608261412363,-0.48366172718884004,-0.4655593551538837,0.0
2018-10-05,1.0,-0.2812322197837926,-0.45390013275894775,-0.022325178140832864,-0.48516621962123063,-0.4667154352596928,0.0
2018-10-08,1.0,-0.2798647734956051,-0.4513049357674104,-0.019661933739012847,-0.4874104124408383,-0.466260987153482,0.0
2018-10-09,1.0,-0.28312469517151684,-0.4526364276811359,-0.02533463393486154,-0.4856933831897252,-0.4627973771202515,0.0
2018-10-10,1.0,-0.2850792790350996,-0.4514161810543434,-0.027293671229163846,-0.4871120748068844,-0.4595202601978588,0.0
2018-10-11,1.0,-0.2537916820800084,-0.44239813982983667,-0.0,-0.47825397664218144,-0.4678169423452941,0.0
2018-10-12,1.0,-0.2524855066761103,-0.43716062013063667,-0.0,-0.47244301041420744,-0.46113690616720443,0.0
2018-10-15,1.0,-0.28092136870762824,-0.4245983024608979,-0.0054983184754177124,-0.48828270965675546,-0.4697859392515881,0.0
2018-10-16,1.0,-0.28140099842494465,-0.423182679729838,-0.006754051095864813,-0.48832056381643935,-0.4699538161723485,0.0
2018-10-17,1.0,-0.27560762741001293,-0.40866414535452644,-0.002776969664912327,-0.4859961386897993,-0.47166168575282325,0.0
