Date,CHTR,IWF,IWM,MTUM,SPY,VLUE,VXX
2018-09-24,1.0,-0.5037848352856599,-1.045629466739967,-0.0,-0.8818877658899649,-0.7974795957203873,0.0
2018-09-25,1.0,-0.5029202640934485,-1.0471051295073641,-0.0,-0.883020145589978,-0.7991789402403928,0.0
2018-09-26,1.0,-0.5017576553301428,-1.0468849265173015,-0.0,-0.8839947482105798,-0.8026767184786752,0.0
2018-09-27,1.0,-0.5045902610314338,-1.039852773194568,-0.0,-0.883910817785675,-0.8023014764987096,0.0
2018-09-28,1.0,-0.5065825678364306,-1.039241417262837,-0.0,-0.8844769927612919,-0.8028616179147441,0.0
2018-10-01,1.0,-0.5067733468800271,-1.0392007450681569,-0.0,-0.8844297688595376,-0.8028956057912116,0.0
2018-10-02,1.0,-0.5065237651444549,-1.044819113784631,-0.0,-0.8831652969584004,-0.8017029568753707,0.0
2018-10-03,1.0,-0.5072679360761646,-1.0297517851071065,-0.0,-0.8946361781706903,-0.8185991159469568,0.0
2018-10-04,1.0,-0.512409689757756,-1.0222694432639183,-0.0,-0.9010199745006374,-0.8141946451338716,0.0
2018-10-05,1.0,-0.4888870073239914,-1.0102451208670251,-0.0,-0.9092756445535752,-0.8251132466872697,0.0
2018-10-08,1.0,-0.4886734132192912,-1.0107549646441123,-0.0,-0.9095143328957954,-0.8252953381039082,0.0
2018-10-09,1.0,-0.48213831141281294,-1.0126007636826475,-0.0,-0.9147221043699619,-0.8332201951633433,0.0
2018-10-10,1.0,-0.4864130434782608,-1.0119735054347825,-0.0,-0.9181385869565216,-0.8293987771739131,0.0
2018-10-11,1.0,-0.40648072190319934,-0.9854388843314192,-0.0,-0.8842083675143562,-0.8255537325676785,0.0
2018-10-12,1.0,-0.4069927243330639,-0.9726354082457559,-0.0,-0.8625303152789006,-0.7998787388843978,0.0
2018-10-15,1.0,-0.39770801388104265,-0.9780082317811314,-0.0,-0.8606246469211524,-0.798845936566863,0.0
2018-10-16,1.0,-0.3884682350083006,-1.0004858889743693,-0.0,-0.8609952625824999,-0.799084909098271,0.0
