Date,IWF,IWM,MTUM,RHI,SPY,VLUE,VXX
2018-09-24,-0.3751851501686049,-0.5946550691752545,-0.256783587028458,1.0,-0.4735747376382717,-0.4512936875610602,0.0
2018-09-25,-0.3779584633323879,-0.5927956887586272,-0.2608174970848697,1.0,-0.4718099019885917,-0.44811068040717283,0.0
2018-09-26,-0.3783366424001765,-0.593268412593363,-0.26173142983202546,1.0,-0.4715262676877502,-0.44662947905833417,0.0
2018-09-27,-0.37856827777427693,-0.5923183565442056,-0.26198878316214,1.0,-0.47139076186275125,-0.44649946436448423,0.0
2018-09-28,-0.37428327050400734,-0.6042702822567871,-0.26258434441030193,1.0,-0.4757816707320936,-0.4509772864066905,0.0
2018-10-01,-0.37364065819092607,-0.6063536349513331,-0.2629276180209886,1.0,-0.475793411749786,-0.45169779017786377,0.0
2018-10-02,-0.3734583598219962,-0.6229815638906548,-0.2582644628099174,1.0,-0.47425301970756517,-0.44965034965034967,0.0
2018-10-03,-0.37436338171632294,-0.6288197097020627,-0.2590399796282149,1.0,-0.47345301757066466,-0.4474153297682709,0.0
2018-10-04,-0.3755250095456281,-0.6262568410334733,-0.25938653430062364,1.0,-0.47479954180985107,-0.44590810742013487,0.0
2018-10-05,-0.36451295714784154,-0.620103403431979,-0.24953214704856155,1.0,-0.4824436197544962,-0.455355726837314,0.0
2018-10-08,-0.3631353919239905,-0.6177038796516231,-0.24712589073634206,1.0,-0.4843705463182898,-0.45472684085510695,0.0
2018-10-09,-0.36289071159388164,-0.6177914304715457,-0.24657187193210248,1.0,-0.4845932165816892,-0.45501472590809766,0.0
2018-10-10,-0.3637054391185969,-0.61676059013487,-0.24767301969226874,1.0,-0.48496169188881155,-0.452858861520927,0.0
2018-10-11,-0.33330234287839344,-0.6146646832775504,-0.21073509359117393,1.0,-0.47709805379942977,-0.46324532044130406,0.0
2018-10-12,-0.33577113357711336,-0.6102080324493747,-0.20966106382324923,1.0,-0.4663061180591832,-0.4509418308084688,0.0
2018-10-15,-0.31546207618637023,-0.653404366704647,-0.1776244880362147,1.0,-0.4714686046869707,-0.4614910849013026,0.0
2018-10-16,-0.31535998029192586,-0.6537537722485681,-0.17734187349879907,1.0,-0.47145408634599995,-0.46147687380673774,0.0
2018-10-17,-0.30742965153501417,-0.6352550227127222,-0.17118380537178743,1.0,-0.4694673942867595,-0.4653211792323404,0.0
2018-10-18,-0.3098234467591179,-0.6400818620563259,-0.16903903720447186,1.0,-0.46881300018327327,-0.46679699431852895,0.0
2018-10-19,-0.30512445986245507,-0.6373927332481285,-0.16477998904509766,1.0,-0.4694479946442699,-0.46628324508550906,0.0
2018-10-22,-0.3039965856781392,-0.6439654909611926,-0.17077706307349938,1.0,-0.46608541901655337,-0.463677102704021,0.0
2018-10-23,-0.3122758620689655,-0.6486743295019157,-0.18219157088122606,1.0,-0.45992337164750957,-0.4620996168582376,0.0
2018-10-24,-0.3154358297794005,-0.6457521553707851,-0.1727364771576719,1.0,-0.46522259380848646,-0.46899641027214434,0.0
2018-10-25,-0.3369061964863322,-0.687543603729308,-0.1667723726771104,1.0,-0.4802118348449293,-0.4997780173780681,0.0
2018-10-26,-0.3345875359661049,-0.6839093179877952,-0.16492237645050115,1.0,-0.48079172858633445,-0.4976444177443324,0.0
2018-10-29,-0.32769002805889214,-0.6888615656231281,-0.15886377250228567,1.0,-0.4769696396481604,-0.5002679781834231,0.0
2018-10-30,-0.3164089618176081,-0.6920479646576206,-0.15026822341432627,1.0,-0.4813190280845692,-0.5155254023351215,0.0
2018-10-31,-0.3194413933783148,-0.676102306605994,-0.1518280244782677,1.0,-0.47939745802604744,-0.5114702651812334,0.0
2018-11-01,-0.31584394405068056,-0.6803926488113906,-0.1480273474252023,1.0,-0.4798657718120806,-0.5119801793890736,0.0
2018-11-02,-0.318745897283611,-0.6685005157700602,-0.14622862680128787,1.0,-0.4828232940514519,-0.509580819605514,0.0
2018-11-05,-0.31472160565229623,-0.6809328789820865,-0.1458404977021915,1.0,-0.48435301841373063,-0.5004220464563729,0.0
2018-11-06,-0.32151233699221315,-0.6862119648497357,-0.14244613315820745,1.0,-0.48178378209337963,-0.4953247646746099,0.0
2018-11-07,-0.32313617434323827,-0.6873532266649968,-0.13990042896953378,1.0,-0.4840780286188433,-0.49672793311832675,0.0
2018-11-08,-0.3113151750972763,-0.6903657587548638,-0.12790661478599222,1.0,-0.4808093385214008,-0.5024124513618677,0.0
2018-11-09,-0.30966395714597156,-0.6907097698464605,-0.12890466847301382,1.0,-0.48269955464200065,-0.5023825095767542,0.0
2018-11-12,-0.309714642133167,-0.6945579292062997,-0.12808358022766256,1.0,-0.4826446280991736,-0.5036332449711524,0.0
2018-11-13,-0.29442065413020546,-0.6984422515980885,-0.10901135728914542,1.0,-0.4937007385341029,-0.5074784335629615,0.0
2018-11-14,-0.2955250744786494,-0.6977408142999006,-0.10898709036742799,1.0,-0.4939486097318768,-0.507106504468719,0.0
2018-11-15,-0.2952980584330997,-0.698126667080206,-0.10824390546492153,1.0,-0.49441721977544817,-0.505458718441784,0.0
2018-11-16,-0.2950220073151075,-0.6963920401710991,-0.10826979108548758,1.0,-0.49398673361849854,-0.5059512739445787,0.0
2018-11-19,-0.29587027965523655,-0.6942084702672536,-0.1159546102808954,1.0,-0.4902027655484591,-0.5041545234699573,0.0
2018-11-20,-0.29437470943747096,-0.6959243762591043,-0.1130017046335038,1.0,-0.49099643576631025,-0.5050674105067411,0.0
