Date,COHU,IWF,IWM,MTUM,SPY,VLUE,VXX
2018-09-24,1.0,-0.7053135329814002,-1.2017859785879914,-0.1351324683013469,-0.9375894222704622,-0.9538211061226504,0.0
2018-09-25,1.0,-0.7348149637972646,-1.2229485116653258,-0.15733105390185034,-0.9534895414320192,-0.9595233306516492,0.0
2018-09-26,1.0,-0.7345737993462409,-1.2228815690218757,-0.15629871762635153,-0.9540357053055066,-0.9611264772441539,0.0
2018-09-27,1.0,-0.7385929648241205,-1.2121105527638192,-0.15944723618090453,-0.9542211055276382,-0.9608040201005025,0.0
2018-09-28,1.0,-0.7544740177439797,-1.2185551330798479,-0.15934093789607096,-0.9663371356147021,-0.9710012674271229,0.0
2018-10-01,1.0,-0.7602017187258786,-1.2510163124581897,-0.16255853445170587,-0.9824010703442597,-0.989708228271497,0.0
2018-10-02,1.0,-0.7614858260019551,-1.2375366568914956,-0.16772135617636466,-0.9852343468642281,-0.9929001389103257,0.0
2018-10-03,1.0,-0.7666356204077408,-1.2606333436820865,-0.1708579116216496,-0.9866501086619063,-0.9895477594949809,0.0
2018-10-04,1.0,-0.7770690728064718,-1.2507778469197262,-0.1724745903339556,-1.0011408421489318,-0.9841837792989006,0.0
2018-10-05,1.0,-0.7646815763648571,-1.2438407107070917,-0.15541552605753833,-1.0080574350498426,-0.9929755694437271,0.0
2018-10-08,1.0,-0.7632827813886309,-1.241720829464562,-0.15304859176725472,-1.008408129578046,-0.9919013721242133,0.0
2018-10-09,1.0,-0.7635285014186227,-1.2420944028888317,-0.15285014186226464,-1.0084085633221562,-0.9917461955119938,0.0
2018-10-10,1.0,-0.7633032258064516,-1.2439225806451613,-0.1512774193548387,-1.0090838709677419,-0.9937032258064517,0.0
2018-10-11,1.0,-0.6984111072126711,-1.242544233371761,-0.05297980051125257,-0.9955891935241342,-1.022755751591399,0.0
2018-10-12,1.0,-0.7116069661587177,-1.2325351276469425,-0.04408272313477142,-0.968038788838314,-0.9913912527211558,0.0
2018-10-15,1.0,-0.6919695772421969,-1.2666930067167128,-0.013384037929672068,-0.969083366258396,-0.9976293954958515,0.0
2018-10-16,1.0,-0.6895069657148504,-1.277442940420907,-0.005681256792807035,-0.9697658334156705,-0.9977768995158582,0.0
2018-10-17,1.0,-0.662703804347826,-1.2246700310559004,-0.0,-0.9603066770186335,-1.004803959627329,0.0
2018-10-18,1.0,-0.6616669093733313,-1.2223678462210572,-0.0,-0.964225037619533,-1.0058735012863453,0.0
2018-10-19,1.0,-0.6408070885100645,-1.2057690455552346,-0.0,-0.9647019165944332,-1.0042858518732545,0.0
2018-10-22,1.0,-0.6429467387109224,-1.21487842531841,-0.0,-0.9633828637591664,-1.0032323427248167,0.0
2018-10-23,1.0,-0.6451550668017171,-1.2146819080692617,-0.0,-0.9613659383591376,-1.002025756041094,0.0
2018-10-24,1.0,-0.6445486178233133,-1.2215832205683357,-0.0,-0.9635124685868934,-1.0031413106514595,0.0
2018-10-25,1.0,-0.6008324759143204,-1.1578430455523336,-0.0,-0.9598260218875689,-0.9583294359741839,0.0
2018-10-26,1.0,-0.5857261948869952,-1.1412097072989995,-0.0,-0.9581326417191552,-0.9462763986661726,0.0
2018-10-29,1.0,-0.5651733038348083,-1.147769174041298,-0.0,-0.9469026548672568,-0.9492994100294986,0.0
2018-10-30,1.0,-0.5511520737327189,-1.148294930875576,-0.0,-0.9477880184331797,-0.9610599078341014,0.0
2018-10-31,1.0,-0.5533113492717779,-1.1298891636896584,-0.0,-0.9426582394430705,-0.9541540716314005,0.0
