Date,IWF,IWM,MTUM,SPY,UNH,VLUE,VXX
2018-09-24,-0.27991179593281246,-0.38766231998475487,-0.10279585114202489,-0.4712383959927041,1.0,-0.4807666131271609,0.0
2018-09-25,-0.28157744332253765,-0.38625044226111094,-0.10546226492120948,-0.46985820428380914,1.0,-0.47848569795607326,0.0
2018-09-26,-0.281133156846156,-0.3870800469419503,-0.1011981114052564,-0.4732130673289484,1.0,-0.48655877295925326,0.0
2018-09-27,-0.2821373046395549,-0.38401112838556584,-0.10209202738455662,-0.47301093745738204,1.0,-0.4862668084990317,0.0
2018-09-28,-0.2829509180694622,-0.38370665429842027,-0.10220172973562873,-0.4731399885411835,1.0,-0.48631762747933316,0.0
2018-10-01,-0.2825992031002674,-0.3845859942142896,-0.10247803067518148,-0.472954533049506,1.0,-0.4864909120681185,0.0
2018-10-02,-0.28456727749406013,-0.37072944260862445,-0.1076002949449709,-0.4771281098943114,1.0,-0.49094682797607675,0.0
2018-10-03,-0.2843177411867508,-0.3635618907184403,-0.10646896589388602,-0.4802162693536495,1.0,-0.4961360967750744,0.0
2018-10-04,-0.2859482476252866,-0.3604651162790698,-0.10688939840593951,-0.4821760017469156,1.0,-0.49404956873021066,0.0
2018-10-05,-0.28059863945578234,-0.3557006802721089,-0.10117006802721087,-0.48541496598639455,1.0,-0.49820408163265306,0.0
2018-10-08,-0.27931503125849416,-0.3532209839630335,-0.09760804566458275,-0.48948083718401736,1.0,-0.49850502854036427,0.0
2018-10-09,-0.2789117495175713,-0.3532193623787133,-0.09667599815182236,-0.48995732883972504,1.0,-0.4991438588862012,0.0
2018-10-10,-0.28021306084735165,-0.3519036878006359,-0.0981601761013126,-0.49077370437807427,1.0,-0.49653504361768624,0.0
2018-10-11,-0.2568597154883052,-0.34439767702061913,-0.06779796472907454,-0.4872928765517609,1.0,-0.5075923064627843,0.0
2018-10-12,-0.2578887507604412,-0.33840294125426507,-0.06493506493506493,-0.4820271378316185,1.0,-0.5017853836591107,0.0
2018-10-15,-0.2502376425855513,-0.34941381495564006,-0.05420891423743135,-0.48249366286438533,1.0,-0.5041191381495564,0.0
2018-10-16,-0.24861966026470822,-0.35711832615644734,-0.04868834702665575,-0.48310569835944317,1.0,-0.5042665046363565,0.0
2018-10-17,-0.2521801552695948,-0.3665053706263958,-0.049744762309901096,-0.48582899074763375,1.0,-0.5044666595767308,0.0
2018-10-18,-0.25628972811281453,-0.374979969018749,-0.04607125687730357,-0.4857913572992896,1.0,-0.5076651888253833,0.0
2018-10-19,-0.2480616038236856,-0.36574614976101966,-0.03775889537971323,-0.4920870950610728,1.0,-0.511683483802443,0.0
2018-10-22,-0.24811451030380285,-0.3660505629912895,-0.03845336732526025,-0.49168791162099,1.0,-0.5113129381771829,0.0
2018-10-23,-0.2471076358413788,-0.36780233516848854,-0.03460198409532169,-0.49594404106492196,1.0,-0.5141892071597649,0.0
2018-10-24,-0.2498602571268865,-0.36447603077004975,-0.026032100934280922,-0.5008650749287976,1.0,-0.5205621656152678,0.0
2018-10-25,-0.23605520414031053,-0.34259501280777876,-0.023602906581629987,-0.5034763970934184,1.0,-0.5080506037952847,0.0
2018-10-26,-0.23503470591305253,-0.34124001878816346,-0.023093784249256302,-0.5034444966337873,1.0,-0.5066802358958301,0.0
2018-10-29,-0.23380009908993718,-0.3409476127148035,-0.020391666014759186,-0.5045242379201544,1.0,-0.5079402331221153,0.0
2018-10-30,-0.23331855753435374,-0.3409819822168913,-0.020103778258715548,-0.5046022267998227,1.0,-0.5084873927668118,0.0
2018-10-31,-0.23616226591274578,-0.3274887171240339,-0.02142449551278726,-0.5033459563210043,1.0,-0.5053431550552472,0.0
2018-11-01,-0.2334093737038573,-0.3308533803401078,-0.0185348403152219,-0.5037328909166321,1.0,-0.5057548734964745,0.0
2018-11-02,-0.24138198156325041,-0.3090092183747773,-0.012755958375293723,-0.5148346115113487,1.0,-0.5041960389392414,0.0
2018-11-05,-0.23857592812516137,-0.317137398667837,-0.01259875045179945,-0.5156709867300047,1.0,-0.4977539112924046,0.0
2018-11-06,-0.24217781908302358,-0.3198316811235027,-0.010997521685254027,-0.513863073110285,1.0,-0.49470776538620403,0.0
2018-11-07,-0.24214575212329298,-0.31982342463278,-0.011048868007331491,-0.5138239925652477,1.0,-0.4946949944497509,0.0
2018-11-08,-0.24702952316712498,-0.32107092824158145,-0.013075286670471644,-0.5182638924920874,1.0,-0.4948892232657085,0.0
2018-11-09,-0.2455812504866464,-0.3214721378701757,-0.0139635080069558,-0.5196864699317397,1.0,-0.49474421864050455,0.0
