Date,IWF,IWM,KEN,MTUM,SPY,VLUE,VXX
2018-09-24,-0.6130766019620121,-1.3477353370903777,1.0,-0.0,-1.1692235441452723,-1.0880296389062827,0.0
2018-09-25,-0.6272111700173219,-1.3534722586740855,1.0,-0.008083565167182824,-1.1733242349482966,-1.0870295522544748,0.0
2018-09-26,-0.6295187053383775,-1.3568726355611604,1.0,-0.011506935687263558,-1.173654897015553,-1.0827553593947037,0.0
2018-09-27,-0.631214666878005,-1.372589422518096,1.0,-0.010408411264331379,-1.1800602314154383,-1.0891319279336398,0.0
2018-09-28,-0.6287978863936592,-1.3747952443857332,1.0,-0.011466314398943196,-1.179762219286658,-1.0891941875825628,0.0
2018-10-01,-0.6316123571730851,-1.3743123148539989,1.0,-0.011426153195090985,-1.1822365636902241,-1.0902983495556495,0.0
2018-10-02,-0.6328576733329797,-1.391438119993634,1.0,-0.008434565805527558,-1.1821123547822396,-1.089862606758262,0.0
2018-10-03,-0.632916092075952,-1.3905272090803011,1.0,-0.00912273257664156,-1.1816590643895193,-1.0896891906226793,0.0
2018-10-04,-0.6330660151893356,-1.3940198629773222,1.0,-0.010409474746401826,-1.1811567263264113,-1.0922513144617345,0.0
2018-10-05,-0.6027702595128165,-1.3836437934511492,1.0,-0.0,-1.2027808735339385,-1.1178156344531127,0.0
2018-10-08,-0.5966062272030449,-1.3747422952899508,1.0,-0.0,-1.2018819051646668,-1.113020034889253,0.0
2018-10-09,-0.6095992346125226,-1.3855107898373553,1.0,-0.0,-1.2067077708089722,-1.1134261719995748,0.0
2018-10-10,-0.611816587853993,-1.3837734445566123,1.0,-0.0,-1.208118590935657,-1.109505339780033,0.0
2018-10-11,-0.4645293665042318,-1.3656835085919465,1.0,-0.0,-1.1663503462426263,-1.1329571685047448,0.0
2018-10-12,-0.4577323717948718,-1.334785657051282,1.0,-0.0,-1.1260516826923077,-1.089443108974359,0.0
2018-10-15,-0.4518663064144901,-1.337286100270189,1.0,-0.0,-1.125437806464525,-1.0889122385669967,0.0
2018-10-16,-0.46621655665843703,-1.3339043684184007,1.0,-0.0,-1.1377538166977377,-1.100670126467476,0.0
2018-10-17,-0.43485708692247454,-1.2638997650743933,1.0,-0.0,-1.1088488645262333,-1.0866288175411118,0.0
2018-10-18,-0.43689606121548047,-1.2700250159415314,1.0,-0.0,-1.1090891254230637,-1.0890763721979693,0.0
2018-10-19,-0.4090343144578913,-1.2818367448578116,1.0,-0.0,-1.159071666915683,-1.1303351760545843,0.0
2018-10-22,-0.4091180569380848,-1.2707047581126816,1.0,-0.0,-1.163149512243679,-1.1340832172008761,0.0
2018-10-23,-0.4106965174129353,-1.2701990049751242,1.0,-0.0,-1.1612935323383082,-1.1328855721393034,0.0
2018-10-24,-0.4069068322981366,-1.2632049689440994,1.0,-0.0,-1.1626335403726706,-1.1361987577639752,0.0
2018-10-25,-0.3436162708676228,-1.1583352927345403,1.0,-0.0,-1.1391018104867152,-1.0614624970608981,0.0
2018-10-26,-0.3142368335876451,-1.1297452258750635,1.0,-0.0,-1.1392241180006473,-1.0405974013964028,0.0
2018-10-29,-0.3022152627458205,-1.1293695021415742,1.0,-0.0,-1.1343434808639985,-1.0395615529866902,0.0
2018-10-30,-0.2757871376392806,-1.1369457672569234,1.0,-0.0,-1.1421240001849369,-1.0685653520736047,0.0
2018-10-31,-0.2881754111198121,-1.1026763093647796,1.0,-0.0,-1.14846377078631,-1.0670689575751993,0.0
2018-11-01,-0.2753629847454512,-1.1093548979966916,1.0,-0.0,-1.1451938981804815,-1.064877779819886,0.0
