Date,IWF,IWM,MTUM,NKX,SPY,VLUE,VXX
2018-09-24,-0.10197729769315268,-0.2391231982956626,-0.0,1.0,-0.17351286575014147,-0.14977863586431875,0.0
2018-09-25,-0.10200073238123773,-0.23915576417324147,-0.0,1.0,-0.17354106328439697,-0.14982189819900799,0.0
2018-09-26,-0.10189916609797099,-0.23908520448076695,-0.0,1.0,-0.1735381747365968,-0.14995256245942842,0.0
2018-09-27,-0.10453002263347093,-0.2348721874583944,-0.0,1.0,-0.17436093729197177,-0.1504626547729996,0.0
2018-09-28,-0.10472781754619609,-0.23492591976027966,-0.0,1.0,-0.1744964208423506,-0.1505909771932745,0.0
2018-10-01,-0.10470402131379569,-0.23518441428690368,-0.0,1.0,-0.17452335359254018,-0.1507284988760303,0.0
2018-10-02,-0.10477126578482658,-0.23596441541998464,-0.0,1.0,-0.17450771332422615,-0.15071802219038416,0.0
2018-10-03,-0.10477475676396109,-0.23550579768092766,-0.0,1.0,-0.17468012794882046,-0.15103958416633348,0.0
2018-10-04,-0.10695659418478713,-0.23247521452970094,-0.0,1.0,-0.17760559860034994,-0.14919603432475215,0.0
2018-10-05,-0.10468319559228649,-0.23059178864217197,-0.0,1.0,-0.1763915164791397,-0.14788077931560953,0.0
2018-10-08,-0.10341057792648789,-0.22881847244537945,-0.0,1.0,-0.1770552086266585,-0.14715674744496532,0.0
2018-10-09,-0.10582422865858714,-0.2296699106387917,-0.0,1.0,-0.17663345325530116,-0.14577979674055408,0.0
2018-10-10,-0.10485411096534202,-0.23121377684042713,-0.0,1.0,-0.1766776823820516,-0.14791504060315194,0.0
2018-10-11,-0.07930183413721348,-0.22220967559807073,-0.0,1.0,-0.16420125502089014,-0.14744075752931876,0.0
2018-10-12,-0.08485359375248518,-0.21745423313664053,-0.0,1.0,-0.1532454312662033,-0.13493868592241504,0.0
2018-10-15,-0.07397599150029337,-0.2267487036361618,-0.0,1.0,-0.15048920886126133,-0.13453640126226987,0.0
2018-10-16,-0.07377101173485569,-0.2271011734855693,-0.0,1.0,-0.15042816365366316,-0.13449096098953375,0.0
2018-10-17,-0.06671155863883364,-0.2133360477316504,-0.0,1.0,-0.14859764786945834,-0.1373537748406596,0.0
2018-10-18,-0.06610456369107323,-0.21223044132397195,-0.0,1.0,-0.15087449849548645,-0.1380077733199599,0.0
2018-10-19,-0.060205602832474066,-0.20591341077085534,-0.0,1.0,-0.1503354245605317,-0.13643704577924093,0.0
