Date,GPK,IWF,IWM,MTUM,SPY,VLUE,VXX
2018-09-24,1.0,-0.27210609773677386,-0.572379991350728,-0.006832924895487964,-0.5021190716448033,-0.5296525875738792,0.0
2018-09-25,1.0,-0.270893705807349,-0.5798075808508172,-0.0013909818013214327,-0.5084328271705112,-0.5373246783354585,0.0
2018-09-26,1.0,-0.269414506262744,-0.5816487037576463,-0.0,-0.5131080687445383,-0.548732886688028,0.0
2018-09-27,1.0,-0.2733308097720059,-0.5749934484465539,-0.0,-0.5141659144512709,-0.5493113589377748,0.0
2018-09-28,1.0,-0.27132618575923556,-0.5777881365808181,-0.0,-0.5145379326418832,-0.5497902342384338,0.0
2018-10-01,1.0,-0.27150890073711503,-0.5777175654808729,-0.0,-0.5145529236954811,-0.5497479824024707,0.0
2018-10-02,1.0,-0.2731404597500219,-0.5688896658217522,-0.001922908836640154,-0.5170876671619614,-0.5524284007808176,0.0
2018-10-03,1.0,-0.27282523225674926,-0.5627166030812243,-0.0011649241343157527,-0.5192940559746047,-0.5563095203424877,0.0
2018-10-04,1.0,-0.28293325526932084,-0.5562353629976581,-0.0018149882903981264,-0.5337529274004683,-0.5526639344262295,0.0
2018-10-05,1.0,-0.264245826389498,-0.5474373592959682,-0.0,-0.5447767739671958,-0.5672601818553928,0.0
2018-10-08,1.0,-0.26256167703132754,-0.5453563399608771,-0.0,-0.5452103588216403,-0.5664652126945199,0.0
2018-10-09,1.0,-0.2708998740000586,-0.5498578837870308,-0.0,-0.5456676531778357,-0.5638057842763794,0.0
2018-10-10,1.0,-0.2692137221877493,-0.560322666430281,-0.0,-0.5495966669621487,-0.575658186330999,0.0
2018-10-11,1.0,-0.2292689973995955,-0.5476162958682461,-0.0,-0.5343831262640855,-0.5780699219878648,0.0
2018-10-12,1.0,-0.23931575032896618,-0.5430230562389152,-0.0,-0.5183648950168774,-0.5599004519709365,0.0
