Date,IWF,IWM,MRUS,MTUM,SPY,VLUE,VXX
2018-09-24,-1.0153486560186988,-2.3533307362680174,1.0,-0.12481495909622127,-1.7308141799766263,-1.5668095052590574,0.0
2018-09-25,-1.0193131376061055,-2.348882485787711,1.0,-0.13168756327388834,-1.7269683046491708,-1.5607039950159645,0.0
2018-09-26,-1.0215832943743182,-2.351955742558828,1.0,-0.13557737260402056,-1.7268193860059218,-1.5558672276764842,0.0
2018-09-27,-1.023798413439104,-2.337766371130814,1.0,-0.13874630580183545,-1.724062840255094,-1.5528853631980089,0.0
2018-09-28,-1.0206859009254219,-2.339762034372813,1.0,-0.1402130803328408,-1.7233844000311065,-1.552764600668792,0.0
2018-10-01,-1.026406519354333,-2.3627958000313427,1.0,-0.14402131327378154,-1.7353863030872902,-1.567152483936687,0.0
2018-10-02,-1.0332103321033208,-2.333280992384392,1.0,-0.1570228468242129,-1.7476642851534896,-1.5800423961686425,0.0
2018-10-03,-1.0313627097381215,-2.319272385134076,1.0,-0.15587266739846323,-1.7491767288693745,-1.5849145366159636,0.0
2018-10-04,-1.0335512325746241,-2.335118531936678,1.0,-0.15838387020556036,-1.75183114121446,-1.5969914152949516,0.0
2018-10-05,-1.0177927574854992,-2.3317134347076345,1.0,-0.1363066311334065,-1.7543502116319172,-1.5979777394575951,0.0
2018-10-08,-1.0116342625126886,-2.321855235418131,1.0,-0.1302412743031155,-1.7524791129850865,-1.5920199890684783,0.0
2018-10-09,-1.025691389063482,-2.336659333752357,1.0,-0.1453488372093023,-1.7575424261470773,-1.5913733500942804,0.0
2018-10-10,-1.033008013964929,-2.3663413472982624,1.0,-0.1385384432278029,-1.7765611362374036,-1.6200904546536539,0.0
2018-10-11,-0.894325441563322,-2.3105599398722285,1.0,-0.0,-1.7043216835776023,-1.6067643742953777,0.0
2018-10-12,-0.9185207232681002,-2.3091003794925213,1.0,-0.0,-1.6614331423469006,-1.5520500037205147,0.0
2018-10-15,-0.8512797552421462,-2.391612566226401,1.0,-0.0,-1.6563689276919633,-1.5628684426535333,0.0
2018-10-16,-0.8430011198208286,-2.4070175438596486,1.0,-0.0,-1.654423292273236,-1.561030235162374,0.0
2018-10-17,-0.7797126686983021,-2.293498766507038,1.0,-0.0,-1.6226962704977508,-1.5599332462632418,0.0
2018-10-18,-0.7819932876112652,-2.2981905734714725,1.0,-0.0,-1.6432949073398515,-1.5725959433824606,0.0
2018-10-19,-0.7400364298724953,-2.285537340619308,1.0,-0.0,-1.6698724954462658,-1.5906010928961747,0.0
2018-10-22,-0.7481508604906627,-2.3079458073965577,1.0,-0.0,-1.672793848407177,-1.59436103991212,0.0
2018-10-23,-0.7451415059484223,-2.328086898692086,1.0,-0.0,-1.6994014630902237,-1.61671469740634,0.0
2018-10-24,-0.7387520283227614,-2.322687712051925,1.0,-0.0,-1.6980380587107242,-1.616241333530019,0.0
