Date,IWF,IWM,MTUM,RLMD,SPY,VLUE,VXX
2018-09-24,-4.783464566929134,-10.54757217847769,-0.0,1.0,-8.448162729658792,-8.029199475065617,0.0
2018-09-25,-4.805500982318271,-10.51637197118533,-0.0,1.0,-8.42534381139489,-7.996725605762934,0.0
2018-09-26,-4.871760797342192,-10.72857142857143,-0.0,1.0,-8.560132890365448,-8.062126245847177,0.0
2018-09-27,-4.830906684315023,-10.690271343481138,-0.0,1.0,-8.536399735274651,-8.032759761747187,0.0
2018-09-28,-4.835058430717862,-10.829048414023372,-0.0,1.0,-8.618363939899833,-8.106844741235392,0.0
2018-10-01,-4.829415715245131,-10.924445936870383,-0.0,1.0,-8.671927468099394,-8.153794492948288,0.0
2018-10-02,-4.821080899630749,-10.918429003021147,-0.0,1.0,-8.67438737831487,-8.154414232964081,0.0
2018-10-03,-4.797658862876254,-10.81036789297659,-0.0,1.0,-8.666889632107022,-8.169565217391304,0.0
2018-10-04,-4.833611760775142,-10.742733043768794,-0.0,1.0,-8.70564650851988,-8.129635816906115,0.0
2018-10-05,-4.638962765957447,-10.600066489361703,-0.0,1.0,-8.769946808510637,-8.236037234042554,0.0
2018-10-08,-4.609302325581396,-10.562126245847177,-0.0,1.0,-8.817275747508306,-8.233554817275747,0.0
2018-10-09,-4.596479574892062,-10.555297243440716,-0.0,1.0,-8.818332779807372,-8.241448023912321,0.0
2018-10-10,-4.730310262529834,-10.851346743948177,-0.0,1.0,-9.108421411524038,-8.40436413228776,0.0
2018-10-11,-3.719763092269327,-10.059538653366584,-0.0,1.0,-8.29208229426434,-8.100374064837906,0.0
2018-10-12,-4.035510462904249,-10.2996195307546,-0.0,1.0,-8.310716550412176,-8.059606848446418,0.0
2018-10-15,-3.7959834236531718,-10.649027733503347,-0.0,1.0,-8.306343640420785,-8.125916480714059,0.0
2018-10-16,-3.7634854771784236,-10.725183530162784,-0.0,1.0,-8.30545802744973,-8.124481327800831,0.0
2018-10-17,-3.5842948717948717,-10.454166666666667,-0.0,1.0,-8.50128205128205,-8.511858974358974,0.0
2018-10-18,-3.5842696629213484,-10.455537720706259,-0.0,1.0,-8.5338683788122,-8.529052969502409,0.0
2018-10-19,-3.3841790104002523,-10.190671289000946,-0.0,1.0,-8.483769303498265,-8.457295934446895,0.0
2018-10-22,-3.383380547686497,-10.10701920050362,-0.0,1.0,-8.507082152974505,-8.478753541076488,0.0
2018-10-23,-3.409562755583517,-10.100975149418057,-0.0,1.0,-8.482856244101919,-8.463038691412395,0.0
2018-10-24,-3.4471492632927605,-10.241511851377323,-0.0,1.0,-8.673286354900705,-8.669122357463165,0.0
2018-10-25,-3.0334365325077397,-9.695665634674922,-0.0,1.0,-8.881733746130031,-8.34891640866873,0.0
2018-10-26,-2.8271910808299783,-9.672963765871787,-0.0,1.0,-9.108392691235677,-8.361102508516568,0.0
