Date,IWF,IWM,MTUM,RPAI,SPY,VLUE,VXX
2018-09-24,-0.3268976699495556,-0.7252582272399711,-0.0,1.0,-0.5092781647850109,-0.44120826327167906,0.0
2018-09-25,-0.3241210583544763,-0.732632596351335,-0.0,1.0,-0.5150114775884983,-0.4486528935604688,0.0
2018-09-26,-0.3243830982512308,-0.7329125011326225,-0.0,1.0,-0.5149657192908274,-0.4480654806850102,0.0
2018-09-27,-0.3240343347639485,-0.7347216345281993,-0.0,1.0,-0.5152632533397812,-0.4484374055491749,0.0
2018-09-28,-0.32298624754420435,-0.7356808221248301,-0.0,1.0,-0.5152486020855374,-0.44860208553725256,0.0
2018-10-01,-0.3228711790393013,-0.7414180009704028,-0.0,1.0,-0.5168607472100922,-0.45135856380397865,0.0
2018-10-02,-0.32500454848687,-0.7332767299411729,-0.0,1.0,-0.5196797865243495,-0.45436351507065315,0.0
2018-10-03,-0.3247953925431949,-0.7309487723552591,-0.0,1.0,-0.5200969990906336,-0.45538041830857834,0.0
2018-10-04,-0.3409328014728444,-0.7279533599263578,-0.0,1.0,-0.5443387542190856,-0.4552009818962872,0.0
2018-10-05,-0.3306449149176672,-0.7226957504658906,-0.0,1.0,-0.545290685241194,-0.4563895762685974,0.0
2018-10-08,-0.3277234062014086,-0.7190768011219855,-0.0,1.0,-0.547089850300314,-0.45495289490533247,0.0
2018-10-09,-0.3183923409281651,-0.7363774828261478,-0.0,1.0,-0.5703273134189176,-0.48329240620434555,0.0
2018-10-10,-0.31774364077368,-0.7372349026680765,-0.0,1.0,-0.570402388208222,-0.4842340941600846,0.0
2018-10-11,-0.25409021061194975,-0.7246376811594202,-0.0,1.0,-0.5467172858477206,-0.4875711832233571,0.0
2018-10-12,-0.2587574650147072,-0.7173544879222747,-0.0,1.0,-0.5288647235344802,-0.46617345574471886,0.0
2018-10-15,-0.2293114715142874,-0.7480544169191469,-0.0,1.0,-0.5247430642190934,-0.4682765995366245,0.0
2018-10-16,-0.22550359498484757,-0.7545308693326996,-0.0,1.0,-0.5237387842414879,-0.46728860894883834,0.0
2018-10-17,-0.20909037798679678,-0.7231991587310861,-0.0,1.0,-0.5177601215166209,-0.47102295963077645,0.0
2018-10-18,-0.2083661963602372,-0.7218765518651593,-0.0,1.0,-0.5195571524552332,-0.471358046329565,0.0
2018-10-19,-0.19287163141118513,-0.7114749348015068,-0.0,1.0,-0.5224282816574906,-0.47093596059113296,0.0
2018-10-22,-0.19278819675932635,-0.702745007101655,-0.0,1.0,-0.5274645641902663,-0.4756079886373518,0.0
2018-10-23,-0.1885210098715821,-0.7067645088960718,-0.0,1.0,-0.535336769459247,-0.4813197053085233,0.0
2018-10-24,-0.1867291133348848,-0.7029322783337212,-0.0,1.0,-0.5361298580404933,-0.4832150337444729,0.0
2018-10-25,-0.15582659643390329,-0.6624038759471564,-0.0,1.0,-0.5433368074138757,-0.4552547815554492,0.0
2018-10-26,-0.15994232237269926,-0.6651870281885267,-0.0,1.0,-0.5440357375102491,-0.4581413101868868,0.0
2018-10-29,-0.15217268782054894,-0.6670517950741137,-0.0,1.0,-0.5408330045651807,-0.45798343008510395,0.0
2018-10-30,-0.12990064256800748,-0.6726016927562488,-0.0,1.0,-0.546805559487078,-0.4813881733518272,0.0
2018-10-31,-0.1330522765598651,-0.656885890949972,-0.0,1.0,-0.5439853850477796,-0.47667228780213605,0.0
2018-11-01,-0.12951418140971638,-0.659056444818871,-0.0,1.0,-0.5433305251333895,-0.4762987924740241,0.0
2018-11-02,-0.14059645276442648,-0.6246732439497429,-0.0,1.0,-0.5677263400511566,-0.47780869662984515,0.0
2018-11-05,-0.14335201509561496,-0.6195961359731884,-0.0,1.0,-0.5687610893626609,-0.48463683217393755,0.0
2018-11-06,-0.1372849165178445,-0.6188451398928481,-0.0,1.0,-0.5800946792527709,-0.49848343113076515,0.0
2018-11-07,-0.13655551463297164,-0.6193444202056831,-0.0,1.0,-0.5788877241691929,-0.49831430433181284,0.0
2018-11-08,-0.11348573354302405,-0.620338126263761,-0.0,1.0,-0.571219950572905,-0.5033138620534711,0.0
2018-11-09,-0.11232953746661042,-0.6215099114297764,-0.0,1.0,-0.5739912835653029,-0.503922395613665,0.0
2018-11-12,-0.11176750566956911,-0.607245849315452,-0.0,1.0,-0.5794999580031918,-0.5012739031833581,0.0
2018-11-13,-0.08984212424738491,-0.6036735939624317,-0.0,1.0,-0.5827529757775866,-0.4983213562331789,0.0
2018-11-14,-0.09021805470787328,-0.6032569494534761,-0.0,1.0,-0.5826998834822171,-0.49805803695278256,0.0
2018-11-15,-0.08937278368794326,-0.6031693262411347,-0.0,1.0,-0.5835826684397163,-0.4942375886524823,0.0
2018-11-16,-0.08372428726091663,-0.5947589040335342,-0.0,1.0,-0.5885128945395997,-0.5090081336923632,0.0
