Date,IWF,IWM,MTUM,SPWR,SPY,VLUE,VXX
2018-09-24,-1.054628116786247,-1.9749946721602614,-0.34758826454500247,1.0,-1.422320096611494,-1.3042551680045464,0.0
2018-09-25,-1.0551018959028615,-1.9732301356245119,-0.3492153660441667,1.0,-1.4208620322374492,-1.3024213590854221,0.0
2018-09-26,-1.054900568181818,-1.973366477272727,-0.3479403409090909,1.0,-1.4216619318181816,-1.3044744318181818,0.0
2018-09-27,-1.0556225611919121,-1.9665838949982264,-0.34941468605888615,1.0,-1.4200780418588153,-1.3028733593472863,0.0
2018-09-28,-1.0514460314076601,-1.9749875648404749,-0.3511689049953812,1.0,-1.4224401335891423,-1.3057628082143111,0.0
2018-10-01,-1.0565245248095676,-1.9751548373318142,-0.3511069979355022,1.0,-1.4274934149640492,-1.3086068199615577,0.0
2018-10-02,-1.0568821726423838,-1.9883099294318913,-0.3489913750089101,1.0,-1.4264024520635827,-1.3075058806757431,0.0
2018-10-03,-1.0641642144548913,-1.9713629512667767,-0.3448647096820498,1.0,-1.4537429125098686,-1.3430704083829754,0.0
2018-10-04,-1.083056718141146,-1.9635589551161783,-0.34803001876172607,1.0,-1.480372348102179,-1.3410304517246356,0.0
2018-10-05,-1.0574795229199598,-1.951501652536284,-0.3181491593619773,1.0,-1.497126023854002,-1.3606840063227474,0.0
2018-10-08,-1.0530085959885387,-1.9441260744985671,-0.3128939828080229,1.0,-1.4967765042979941,-1.356518624641834,0.0
2018-10-09,-1.0513610315186248,-1.9449856733524353,-0.30845272206303725,1.0,-1.4989971346704871,-1.3595272206303723,0.0
2018-10-10,-1.0526994128598024,-1.9429328368895888,-0.30989546040383786,1.0,-1.499427180295002,-1.3552914220249177,0.0
2018-10-11,-0.9453310933781326,-1.9821503569928602,-0.13124737505249895,1.0,-1.5072098558028841,-1.4339213215735687,0.0
2018-10-12,-0.9524529339013329,-1.959942283908204,-0.11687508588704136,1.0,-1.4613851862031055,-1.3803078191562457,0.0
2018-10-15,-0.9216950082281954,-2.0130965441579813,-0.06959681843115743,1.0,-1.4631788261108063,-1.389262205156336,0.0
2018-10-16,-0.9186118570543277,-2.051091372305997,-0.04757970116367142,1.0,-1.471872202712938,-1.3964745575982924,0.0
2018-10-17,-0.8790566418060876,-1.9639185648054829,-0.014244439965060808,1.0,-1.4566283679365721,-1.4052274407041592,0.0
2018-10-18,-0.8783338931810547,-1.9630500503862949,-0.014309707759489417,1.0,-1.4573060127645279,-1.4051729929459187,0.0
2018-10-19,-0.8471729675476748,-1.9482101037136164,-0.0,1.0,-1.477885580461693,-1.4179324188691869,0.0
2018-10-22,-0.84830406220673,-1.9300844617240918,-0.0,1.0,-1.492961522992358,-1.4319613889261296,0.0
2018-10-23,-0.8446223178852491,-1.9369072442321922,-0.0,1.0,-1.5040021524181073,-1.4407076074527476,0.0
2018-10-24,-0.8402283411685695,-1.9309603760913363,-0.0,1.0,-1.5033579583613161,-1.441370047011417,0.0
2018-10-25,-0.75384912710172,-1.818720608129872,-0.0,1.0,-1.5071184693680344,-1.3624299426657218,0.0
2018-10-26,-0.7120249141985509,-1.7870217363671028,-0.0,1.0,-1.5159527138680564,-1.3406635312063047,0.0
2018-10-29,-0.6859018877454385,-1.789443778016289,-0.0,1.0,-1.5006629206389293,-1.337521308163394,0.0
2018-10-30,-0.7003482114593225,-1.7943019943019942,-0.0,1.0,-1.5049699271921493,-1.3315606204495094,0.0
2018-10-31,-0.7006811301715439,-1.782164480322906,-0.0,1.0,-1.498738647830474,-1.3251765893037335,0.0
