Date,BUSE,IWF,IWM,MTUM,SPY,VLUE,VXX
2018-09-24,1.0,-0.10305334028968226,-0.7006782440187822,-0.035427691237484786,-0.31050160244465974,-0.33474944721870264,0.0
2018-09-25,1.0,-0.10265715493027766,-0.7014491312669334,-0.03450075812184634,-0.3112773731699436,-0.3358106932465014,0.0
2018-09-26,1.0,-0.10298028883199523,-0.7019214038925207,-0.035345877557107705,-0.31100395217618254,-0.334418731823718,0.0
2018-09-27,1.0,-0.10288413724515166,-0.7025609149676777,-0.035231228244654404,-0.31111387369467924,-0.3345350571854799,0.0
2018-09-28,1.0,-0.10304100256110599,-0.702339806549469,-0.035432777183778005,-0.3111370813337643,-0.33456001193525126,0.0
2018-10-01,1.0,-0.10265979945759,-0.7035654748575553,-0.03577915453708542,-0.31108954741111194,-0.3350252544101913,0.0
2018-10-02,1.0,-0.10317717015400692,-0.7006195108601,-0.03689697210957132,-0.31167118652501674,-0.33565546239394917,0.0
2018-10-03,1.0,-0.1050292164011387,-0.7108075712930131,-0.038106177895420264,-0.31081755980622283,-0.33234280577336067,0.0
2018-10-04,1.0,-0.10368513411882678,-0.7184507395337177,-0.037829029832038105,-0.30917523188769114,-0.33775382301328655,0.0
2018-10-05,1.0,-0.09316847758211565,-0.7159235668789808,-0.02922442862495317,-0.31452479080804296,-0.3449981266391907,0.0
2018-10-08,1.0,-0.09274334515307396,-0.7161264545772361,-0.028791889327273636,-0.3145382809768766,-0.3449033611346951,0.0
2018-10-09,1.0,-0.09028820174121883,-0.7184529170419293,-0.02086460522365656,-0.3200740518362854,-0.3520714500150105,0.0
2018-10-10,1.0,-0.09111600220099043,-0.7176229303186434,-0.022009904457005652,-0.32054424491020955,-0.34980741333600124,0.0
2018-10-11,1.0,-0.04911620174559323,-0.7229054103610982,-0.0,-0.31039288071779575,-0.36241840451800605,0.0
2018-10-12,1.0,-0.04505160898603522,-0.7244930176077717,-0.0,-0.3033879781420765,-0.3557255616272009,0.0
2018-10-15,1.0,-0.005785589958569292,-0.7768625432080606,-0.0,-0.3035718663430659,-0.3652766541639087,0.0
2018-10-16,1.0,-0.0012757605495583905,-0.785107948969578,-0.0,-0.30269872423945043,-0.36430323846908735,0.0
2018-10-17,1.0,-0.0,-0.7620283247647687,-0.0,-0.29607624405858957,-0.36693665728974684,0.0
2018-10-18,1.0,-0.0,-0.7605927578763552,-0.0,-0.2976643787441488,-0.3671266765297955,0.0
