Date,AEIS,IWF,IWM,MTUM,SPY,VLUE,VXX
2018-09-24,1.0,-0.49649180060373665,-0.9986946234804602,-0.059068287509178426,-0.7106551358407441,-0.8144325691441625,0.0
2018-09-25,1.0,-0.4987561681823743,-0.9965743648301456,-0.06276253007626116,-0.7087394478202357,-0.8112638146894499,0.0
2018-09-26,1.0,-0.5045650730411686,-1.014442231075697,-0.04818227091633466,-0.7326527224435591,-0.8502241035856574,0.0
2018-09-27,1.0,-0.5058267324679633,-1.0098701945008917,-0.049433915315390035,-0.7323020777174137,-0.8497076265914651,0.0
2018-09-28,1.0,-0.5130018722696068,-1.009694195964219,-0.04934470563761182,-0.7360931974204284,-0.8525067609735801,0.0
2018-10-01,1.0,-0.5133763261909715,-1.0091117120865405,-0.049594341585188266,-0.7361764094029539,-0.8523403370085292,0.0
2018-10-02,1.0,-0.5167430237401083,-0.9870887130362348,-0.05801749271137026,-0.7433152852977926,-0.8597667638483965,0.0
2018-10-03,1.0,-0.5166881953414726,-0.9742072586357765,-0.05600233343055961,-0.7499062460935871,-0.8700362515104796,0.0
2018-10-04,1.0,-0.5199500208246564,-0.9679716784673053,-0.056934610578925446,-0.7540191586838817,-0.86609745939192,0.0
2018-10-05,1.0,-0.5190337359433569,-0.9718034152436484,-0.0493127863390254,-0.7558100791336942,-0.8689712619741774,0.0
2018-10-08,1.0,-0.5220336148507401,-0.9786353374027928,-0.050756752236809095,-0.7569612843883268,-0.8725645957019817,0.0
2018-10-09,1.0,-0.5230209509471835,-0.9790072345586083,-0.05248191360347928,-0.756115920210764,-0.8711997658177559,0.0
2018-10-10,1.0,-0.523391446130691,-0.9784271917722311,-0.05263597976504034,-0.7563025210084033,-0.8700196496509052,0.0
2018-10-11,1.0,-0.4614128882177692,-0.9787781088030036,-0.0,-0.7428478145533199,-0.8980941109251929,0.0
2018-10-12,1.0,-0.47526273241713823,-0.9744947453516571,-0.0,-0.7189167340339531,-0.8734033953112368,0.0
2018-10-15,1.0,-0.45803250917597704,-0.9881418142217562,-0.0,-0.7140321865042552,-0.8731900133102084,0.0
2018-10-16,1.0,-0.4511584725922338,-1.0008476628723662,-0.0,-0.7127230160652297,-0.8717203519819167,0.0
2018-10-17,1.0,-0.4319439468131693,-0.9657231577690193,-0.0,-0.7060790636569926,-0.8772244117998327,0.0
2018-10-18,1.0,-0.43110792627095024,-0.9640511166845812,-0.0,-0.7081890202635455,-0.8776623273219474,0.0
2018-10-19,1.0,-0.41786081862085345,-0.9557833900720449,-0.0,-0.706911566780144,-0.8779589897870318,0.0
2018-10-22,1.0,-0.42054479034307496,-0.9690279542566709,-0.0,-0.7051699491740787,-0.8760721092757305,0.0
2018-10-23,1.0,-0.42178815308877243,-0.9689534699063046,-0.0,-0.7040257265364459,-0.8754168651738924,0.0
2018-10-24,1.0,-0.41980009519276534,-0.9652546406473107,-0.0,-0.7039108361097889,-0.8774393146120895,0.0
2018-10-25,1.0,-0.3845322213212865,-0.9195335727248156,-0.0,-0.7088690683037955,-0.8481794663886637,0.0
2018-10-26,1.0,-0.38091940757838044,-0.9138295826120407,-0.0,-0.7082515868436238,-0.8438930563569917,0.0
