Date,AIR,IWF,IWM,MTUM,SPY,VLUE,VXX
2018-09-24,1.0,-0.3735790751572674,-0.9501526689475039,-0.13320825515947465,-0.6184379943346945,-0.6033918257734613,0.0
2018-09-25,1.0,-0.37562518387761107,-0.9481832892027067,-0.13658428949691084,-0.6166519564577817,-0.600470726684319,0.0
2018-09-26,1.0,-0.3810156971375808,-0.9565650969529086,-0.14315789473684212,-0.618910433979686,-0.5937580794090489,0.0
2018-09-27,1.0,-0.4162415289728165,-0.9605954465849386,-0.15236427320490367,-0.6542678748191578,-0.623772176958806,0.0
2018-09-28,1.0,-0.4168746101060512,-1.0032751091703056,-0.15381316281971305,-0.678337492202121,-0.6466391141609482,0.0
2018-10-01,1.0,-0.4190626230799527,-1.0214257581725088,-0.15513981882630956,-0.6862150452934226,-0.656675856636471,0.0
2018-10-02,1.0,-0.4216738197424893,-1.0637021141312988,-0.14516769988872993,-0.6872516293117152,-0.6561754887935146,0.0
2018-10-03,1.0,-0.42262094207511147,-1.0683481858688735,-0.1461250795671547,-0.6867043284532146,-0.6545591979630809,0.0
2018-10-04,1.0,-0.4220190842755192,-1.0866811001523535,-0.14605885654718948,-0.686913639643974,-0.6676689920615829,0.0
2018-10-05,1.0,-0.4080670926517572,-1.0817891373801918,-0.13206869009584665,-0.6945287539936102,-0.6771964856230032,0.0
2018-10-08,1.0,-0.4059548009087648,-1.0786001833472838,-0.1287815377256965,-0.696400813105345,-0.6760731794810474,0.0
2018-10-09,1.0,-0.40663371073194066,-1.0790942433423696,-0.13016265348429276,-0.6957423058523362,-0.674932227714878,0.0
2018-10-10,1.0,-0.40663238869624135,-1.0790386225038862,-0.130096855195504,-0.6958427996333055,-0.6741998485392005,0.0
2018-10-11,1.0,-0.35821184863523575,-1.0795983250620347,-0.06998294044665013,-0.682420905707196,-0.6869571960297768,0.0
2018-10-12,1.0,-0.367997547704805,-1.076557590619971,-0.06559889646716224,-0.6603954326001993,-0.6612000919610698,0.0
