Date,DCI,IWF,IWM,MTUM,SPY,VLUE,VXX
2018-09-24,1.0,-0.24298757012429872,-0.5121823781762183,-0.1025739742602574,-0.46702782972170276,-0.42520074799252006,0.0
2018-09-25,1.0,-0.24368384879725083,-0.511340206185567,-0.10380756013745704,-0.466254295532646,-0.4240824742268041,0.0
2018-09-26,1.0,-0.2436080716995656,-0.511326771870017,-0.10364546104360256,-0.4663495903667455,-0.4242590861604443,0.0
2018-09-27,1.0,-0.24319044736697296,-0.5136466186100258,-0.10314752655037694,-0.4666813404501183,-0.42466846420513943,0.0
2018-09-28,1.0,-0.24168294763490272,-0.5151206626124762,-0.10357447511075644,-0.466580446327839,-0.42475440961998845,0.0
2018-10-01,1.0,-0.24221910344258235,-0.5145436032912298,-0.10358017556894797,-0.46682627480117783,-0.42472274966289664,0.0
2018-10-02,1.0,-0.24253597864670756,-0.5122863982829311,-0.10456509176962658,-0.46713078891610027,-0.4251946836905974,0.0
2018-10-03,1.0,-0.2427203170584026,-0.5129630648978918,-0.10480541641437773,-0.4669180382011339,-0.4248362415368525,0.0
2018-10-04,1.0,-0.2427954088794693,-0.5129778976631527,-0.10503426825575954,-0.4667639206187553,-0.4248713220115053,0.0
2018-10-05,1.0,-0.23665797777472902,-0.5097544244752367,-0.09924543833173276,-0.46996844560296336,-0.4282343256962546,0.0
2018-10-08,1.0,-0.23566809163652305,-0.5081661734078702,-0.09777485476268771,-0.47095253754247507,-0.42773758632028935,0.0
2018-10-09,1.0,-0.23574384128462994,-0.5082344559230537,-0.09799139561011702,-0.4708574247115886,-0.42745184007891923,0.0
2018-10-10,1.0,-0.23515537149282795,-0.5098872768163243,-0.09662378980280299,-0.47124324620827734,-0.4297194262362525,0.0
2018-10-11,1.0,-0.2224513608118742,-0.5080997476460533,-0.08151303828724935,-0.4697039589721325,-0.43168805796000326,0.0
2018-10-12,1.0,-0.22095788961565493,-0.5072706632790962,-0.07797718795610574,-0.4681604411049246,-0.4284555921941727,0.0
2018-10-15,1.0,-0.20942535561013795,-0.5265459256660099,-0.06183702664039516,-0.4692704256525142,-0.4320494480282869,0.0
2018-10-16,1.0,-0.20766488413547238,-0.5350834548695511,-0.055717603845946095,-0.47002106627775075,-0.4323178307135526,0.0
2018-10-17,1.0,-0.19856376304759873,-0.5137083210977336,-0.04719827010865213,-0.47024747056782085,-0.4398675885634961,0.0
2018-10-18,1.0,-0.19927352367725218,-0.5152105980075318,-0.04639299164018055,-0.46980582783579494,-0.44018589247082074,0.0
2018-10-19,1.0,-0.19191141324552552,-0.5090551808380689,-0.04020394072972542,-0.4732062244410218,-0.4411014923787774,0.0
2018-10-22,1.0,-0.19221372424049288,-0.5086573188867644,-0.04039196940726577,-0.47317824516677287,-0.44117803271722966,0.0
2018-10-23,1.0,-0.19252316597190877,-0.508430024161644,-0.041207551177548256,-0.4723203143668852,-0.4406446645248652,0.0
2018-10-24,1.0,-0.19166401020082882,-0.5102539581340984,-0.04114865582828605,-0.4729040484539369,-0.4405217298905536,0.0
2018-10-25,1.0,-0.17591121069223353,-0.48847145871870357,-0.03913190735481854,-0.4758877628116614,-0.42589167079175677,0.0
2018-10-26,1.0,-0.168322210150551,-0.48292720782244297,-0.026824978012313108,-0.4854622587821409,-0.4232500388018004,0.0
2018-10-29,1.0,-0.15187810430463575,-0.5025610513245032,-0.009985513245033113,-0.4835730546357616,-0.4389228062913907,0.0
2018-10-30,1.0,-0.15182636589403972,-0.5025610513245032,-0.009985513245033113,-0.4835730546357616,-0.43897454470198677,0.0
2018-10-31,1.0,-0.15385803263499254,-0.4909404437123591,-0.011350182735368301,-0.4818036752972667,-0.4357595099603644,0.0
2018-11-01,1.0,-0.1471155577274247,-0.5000900182608472,-0.0037293279493840177,-0.48355237776806154,-0.4374630282142949,0.0
2018-11-02,1.0,-0.14535019002559527,-0.5116730008531761,-0.004679541870265518,-0.4827167196670027,-0.4409627963494402,0.0
2018-11-05,1.0,-0.1410608020698577,-0.5260025873221216,-0.004036222509702458,-0.4850711513583441,-0.43115135834411383,0.0
2018-11-06,1.0,-0.14393998189108784,-0.5278747898072694,-0.0028715560729530463,-0.48355969473548055,-0.42874143060406156,0.0
2018-11-07,1.0,-0.1437365820853056,-0.5277670003362561,-0.0032332324564806913,-0.4832777217350819,-0.42859729443108036,0.0
2018-11-08,1.0,-0.13387022075850358,-0.5281737251067771,-0.0,-0.4799825039880615,-0.4309164822724232,0.0
2018-11-09,1.0,-0.13321839376238387,-0.5282931473714007,-0.0,-0.48097063894392833,-0.430791796402563,0.0
2018-11-12,1.0,-0.13270725887152643,-0.5204628845611063,-0.0,-0.4836168629564057,-0.42909193544248575,0.0
2018-11-13,1.0,-0.1219561999081117,-0.5187860533973148,-0.0,-0.48465975802746436,-0.42707642044004285,0.0
2018-11-14,1.0,-0.12283343969368221,-0.5181876196553925,-0.0,-0.48485003190810466,-0.42675175494575623,0.0
2018-11-15,1.0,-0.1223735210118319,-0.5194308445532435,-0.0,-0.48798959608323134,-0.42016013871889024,0.0
2018-11-16,1.0,-0.1236434207502362,-0.5216414289727024,-0.0,-0.48864942161844693,-0.4196522049998723,0.0
2018-11-19,1.0,-0.12307495849827607,-0.5219256799897842,-0.0,-0.48908185416932703,-0.41986974843570424,0.0
