Date,IWF,IWM,MTUM,NLY,SPY,VLUE,VXX
2018-09-24,-0.1669888943842453,-0.42392428398003684,-0.0,1.0,-0.3563913493098332,-0.30077334652218873,0.0
2018-09-25,-0.1660778975316698,-0.4249038093738047,-0.0,1.0,-0.3571316067772203,-0.3019598136939451,0.0
2018-09-26,-0.16707174363128996,-0.42587091547394007,-0.0,1.0,-0.35718786569448197,-0.30029705644072374,0.0
2018-09-27,-0.1675552855953747,-0.42473735124069195,-0.0,1.0,-0.35713482261366447,-0.30024071449461204,0.0
2018-09-28,-0.16759286341035393,-0.42482057281706304,-0.0,1.0,-0.35712196548698455,-0.300312732017909,0.0
2018-10-01,-0.1672341097156772,-0.4280850488151338,-0.0,1.0,-0.35771459493585267,-0.30170683862821585,0.0
2018-10-02,-0.16895914133670065,-0.4218905023901867,-0.0,1.0,-0.3599485884369081,-0.30409488590240824,0.0
2018-10-03,-0.16840657482356655,-0.41534576446979776,-0.0,1.0,-0.3624495501792519,-0.3085387026222633,0.0
2018-10-04,-0.173699905119053,-0.4101341887679031,-0.0,1.0,-0.3697420141869607,-0.30549405864546153,0.0
2018-10-05,-0.1649169345592698,-0.4046489670211092,-0.0,1.0,-0.37115302475102846,-0.30730840995436454,0.0
2018-10-08,-0.16347232820144533,-0.40273351586695993,-0.0,1.0,-0.37162799048431255,-0.3064320660711881,0.0
2018-10-09,-0.15964687647415593,-0.40299211537165575,-0.0,1.0,-0.37374486151357905,-0.3099490082440416,0.0
2018-10-10,-0.16057394350383977,-0.40225445726860376,-0.0,1.0,-0.37429828894777023,-0.30834867741500877,0.0
2018-10-11,-0.12151572697705891,-0.3914609390347718,-0.0,1.0,-0.35991967345513287,-0.3098683779713182,0.0
2018-10-12,-0.11822467467576199,-0.3897373509156873,-0.0,1.0,-0.3580195954899959,-0.3064673806782386,0.0
2018-10-15,-0.10203727785002167,-0.40394451668833986,-0.0,1.0,-0.3548547897702644,-0.3064802774165583,0.0
2018-10-16,-0.09721317879932284,-0.4132699570256544,-0.0,1.0,-0.354191083908495,-0.3057472761210227,0.0
2018-10-17,-0.08614785325970635,-0.39253456615727067,-0.0,1.0,-0.3515902572663841,-0.310046658961517,0.0
2018-10-18,-0.08601207036767537,-0.3924153576167444,-0.0,1.0,-0.3516671660317596,-0.31002011727945894,0.0
2018-10-19,-0.07643474383744876,-0.38480647147497826,-0.0,1.0,-0.352852502176267,-0.3090723794560394,0.0
2018-10-22,-0.07646097348701947,-0.3807340423273684,-0.0,1.0,-0.3547092912182385,-0.3108323250334331,0.0
2018-10-23,-0.07490119416939356,-0.3813267604436701,-0.0,1.0,-0.3565934299434788,-0.3120564361905571,0.0
2018-10-24,-0.07372420820242846,-0.3804449350428802,-0.0,1.0,-0.356627324445954,-0.3119852254394158,0.0
2018-10-25,-0.0482457049302634,-0.3527863552525231,-0.0,1.0,-0.37556214121401776,-0.2957950800986467,0.0
2018-10-26,-0.0403041825095057,-0.3461514746685849,-0.0,1.0,-0.37761792210461415,-0.2912341999794471,0.0
2018-10-29,-0.038129068024557004,-0.3460361784694988,-0.0,1.0,-0.3783545161489025,-0.2907418434182699,0.0
2018-10-30,-0.03143285359393927,-0.34635678649886054,-0.0,1.0,-0.3788572484447821,-0.29646662697353565,0.0
2018-10-31,-0.03397751158092362,-0.33557129155357834,-0.0,1.0,-0.377487092626982,-0.2936554904801747,0.0
2018-11-01,-0.022754613110408807,-0.34460189621775916,-0.0,1.0,-0.37740850239575896,-0.2941584259353655,0.0
2018-11-02,-0.02675727761436251,-0.32682827873009435,-0.0,1.0,-0.38356831321635054,-0.2914494370625824,0.0
2018-11-05,-0.029259266790020534,-0.32189260080112236,-0.0,1.0,-0.3843557471381224,-0.29779793009495537,0.0
2018-11-06,-0.027427105391757613,-0.32087880762339144,-0.0,1.0,-0.38674865613292064,-0.30110767225932566,0.0
2018-11-07,-0.028092525673220226,-0.32208407341622264,-0.0,1.0,-0.3889467344480513,-0.3024642208203181,0.0
2018-11-08,-0.011487266759861423,-0.32332502684414194,-0.0,1.0,-0.38424603415790437,-0.30691464575862565,0.0
2018-11-09,-0.010625570313292101,-0.32399878333164356,-0.0,1.0,-0.38598803609449456,-0.3071682044002839,0.0
2018-11-12,-0.010450355756791721,-0.3122170116429495,-0.0,1.0,-0.3926867723156533,-0.3059912677878396,0.0
2018-11-13,-0.0,-0.30823359595838096,-0.0,1.0,-0.39343637858102287,-0.30308133357390593,0.0
2018-11-14,-0.0,-0.3079405809594451,-0.0,1.0,-0.39376140167993107,-0.3029889942465369,0.0
2018-11-15,-0.0,-0.307832422586521,-0.0,1.0,-0.39480373906603417,-0.2990051842510859,0.0
2018-11-16,-0.0,-0.300431423698204,-0.0,1.0,-0.39678940503662086,-0.30940102337714454,0.0
2018-11-19,-0.0,-0.30305532617671344,-0.0,1.0,-0.3998106785361825,-0.3111921210046122,0.0
2018-11-20,-0.0,-0.29233818494864766,-0.0,1.0,-0.39356143266131455,-0.3161424653146209,0.0
2018-11-21,-0.0,-0.2888407840645046,-0.0,1.0,-0.393501876750144,-0.3036164677377713,0.0
2018-11-23,-0.0,-0.2834639420692392,-0.0,1.0,-0.3960916575736534,-0.30437456601527624,0.0
2018-11-26,-0.0,-0.28469150982686475,-0.0,1.0,-0.39511730757789104,-0.3034131249628146,0.0
2018-11-27,-0.0,-0.28461143579213394,-0.0,1.0,-0.3905386194913915,-0.2992813141683778,0.0
2018-11-28,-0.0,-0.28770938685208597,-0.0,1.0,-0.38906447534766114,-0.2985540455120101,0.0
2018-11-29,-0.0,-0.28007526165183644,-0.0,1.0,-0.3827172592215123,-0.2971659284230332,0.0
2018-11-30,-0.0,-0.2811084308995705,-0.0,1.0,-0.384930674040517,-0.29511090192386896,0.0
2018-12-03,-0.0,-0.2812254978830171,-0.0,1.0,-0.3843696095342638,-0.29455464952171867,0.0
2018-12-04,-0.0,-0.28092571562830404,-0.0,1.0,-0.38330657477385754,-0.2937110858753965,0.0
2018-12-06,-0.0,-0.25279650628256206,-0.0,1.0,-0.38231688630095007,-0.2803018694452957,0.0
2018-12-07,-0.0,-0.25369415642907794,-0.0,1.0,-0.38449891714740214,-0.27836019702167625,0.0
2018-12-10,-0.0,-0.25344729344729344,-0.0,1.0,-0.38108262108262114,-0.2647863247863248,0.0
2018-12-11,-0.0,-0.253613965769428,-0.0,1.0,-0.38065839712782334,-0.26529643067454367,0.0
2018-12-12,-0.0,-0.2538289058640216,-0.0,1.0,-0.38026830844069476,-0.2661042070459469,0.0
2018-12-13,-0.0,-0.2506653486426888,-0.0,1.0,-0.3855410234963121,-0.26478974982891035,0.0
2018-12-14,-0.0,-0.24109860012172857,-0.0,1.0,-0.39453362751065124,-0.26637629336579427,0.0
2018-12-17,-0.0,-0.23963833909508792,-0.0,1.0,-0.37951601261254414,-0.280325190897694,0.0
2018-12-18,-0.0,-0.24420891817053378,-0.0,1.0,-0.3839587510741908,-0.28150482192304027,0.0
2018-12-19,-0.0,-0.24534042634620531,-0.0,1.0,-0.3851659076122316,-0.2830954112289027,0.0
