Date,COF,IWF,IWM,MTUM,SPY,VLUE,VXX
2018-09-24,1.0,-0.2559505409582689,-0.4391176057327526,-0.15860615427848812,-0.46199241253337076,-0.4945061121258957,0.0
2018-09-25,1.0,-0.25481364711181176,-0.4420673347595992,-0.15569755658146606,-0.46455917126449725,-0.49788875126674925,0.0
2018-09-26,1.0,-0.25483462350457425,-0.44208304011259675,-0.15574947220267416,-0.4645179451090781,-0.49773399014778325,0.0
2018-09-27,1.0,-0.25417042380523,-0.44541816952209196,-0.1549819657348963,-0.465002254283138,-0.4982529305680794,0.0
2018-09-28,1.0,-0.251551043429216,-0.4488437676254935,-0.15549915397631134,-0.4653694303440496,-0.49878736604624924,0.0
2018-10-01,1.0,-0.25272927304014214,-0.44793929306891583,-0.1552935202685548,-0.4661626562103303,-0.49882930407063664,0.0
2018-10-02,1.0,-0.25315920117341756,-0.4448832223851969,-0.15652149385084058,-0.46671555906577905,-0.49943585693331827,0.0
2018-10-03,1.0,-0.2530045703323365,-0.43629746656886537,-0.1550527563053659,-0.4708006545167297,-0.5060373525926762,0.0
2018-10-04,1.0,-0.25216777291343034,-0.4396271713034883,-0.15503459963282024,-0.46950995622087277,-0.5081203219884197,0.0
2018-10-05,1.0,-0.24172791529385262,-0.43307707470924506,-0.14592661428853032,-0.4771760862831235,-0.5181211455605306,0.0
2018-10-08,1.0,-0.2405579459489862,-0.43105824123288056,-0.14392980679996625,-0.4788661098456086,-0.5178435839028094,0.0
2018-10-09,1.0,-0.23887357227254824,-0.43175040792212904,-0.13948123558206268,-0.48157317279018735,-0.5215495414392618,0.0
2018-10-10,1.0,-0.23888279470086912,-0.4314403847776559,-0.13953815430484065,-0.48167524540826373,-0.5211655837763339,0.0
2018-10-11,1.0,-0.21105499903413638,-0.42793277589204404,-0.10591384496509092,-0.4785440295830229,-0.5361922896487016,0.0
2018-10-12,1.0,-0.21019405484039194,-0.4243405703620344,-0.10320314001043011,-0.4745423105426399,-0.5324842862240277,0.0
2018-10-15,1.0,-0.19584122020135514,-0.44986695196554466,-0.08257207911557347,-0.47661372177872874,-0.538391901901078,0.0
2018-10-16,1.0,-0.19496337749979423,-0.45346062052505964,-0.07988368584204318,-0.4766960195320001,-0.5382547389789591,0.0
2018-10-17,1.0,-0.1854615509849677,-0.4311065284636674,-0.07011450588809899,-0.4783469908286753,-0.5483529603299506,0.0
2018-10-18,1.0,-0.18506158771501438,-0.4305442509088936,-0.07032394595474523,-0.478783439144826,-0.5484019751478647,0.0
2018-10-19,1.0,-0.17756126524883947,-0.4236208571737018,-0.06439598402245493,-0.48224117456547555,-0.5510903594947641,0.0
2018-10-22,1.0,-0.18345917566506997,-0.4148466888582177,-0.04993098968904766,-0.4956293469730183,-0.5623934399610294,0.0
2018-10-23,1.0,-0.181912710357094,-0.42684361745792854,-0.03414967847858804,-0.5161855246955808,-0.5772882747297852,0.0
