Date,IWF,IWM,MTUM,SCWX,SPY,VLUE,VXX
2018-09-24,-1.0927827380952382,-2.082291666666667,-0.2840029761904762,1.0,-1.6173363095238096,-1.3640625,0.0
2018-09-25,-1.130968622100955,-2.115203880551766,-0.31044414127633774,1.0,-1.643095346369562,-1.3794906775807185,0.0
2018-09-26,-1.136919686953879,-2.1240787174226883,-0.31783299141402627,1.0,-1.6457715979028948,-1.3736038294962387,0.0
2018-09-27,-1.1385222272796238,-2.1127294795933853,-0.32028523744500076,1.0,-1.6434531937490517,-1.371187983614019,0.0
2018-09-28,-1.1479902557856272,-2.115864799025579,-0.3212545676004872,1.0,-1.6501979293544458,-1.3773599269183923,0.0
2018-10-01,-1.1479253901789113,-2.1158736200989723,-0.32196421773886563,1.0,-1.649942900647126,-1.377540921202893,0.0
2018-10-02,-1.1542949259230828,-2.1704152913180317,-0.3133491978199125,1.0,-1.655791816995471,-1.3825132417287174,0.0
2018-10-03,-1.154117737355131,-2.168854094711797,-0.31391511244147674,1.0,-1.6555376467879348,-1.3826847801059177,0.0
2018-10-04,-1.1550966946606056,-2.183373141228138,-0.31550966946606057,1.0,-1.6571384544263812,-1.3936358733338472,0.0
2018-10-05,-1.1299188485683662,-2.1699586587046396,-0.2862501913948859,1.0,-1.6666666666666665,-1.403001071811361,0.0
2018-10-08,-1.1299387442572741,-2.171516079632466,-0.2846860643185299,1.0,-1.6675344563552834,-1.403292496171516,0.0
2018-10-09,-1.127211457455771,-2.173240407444283,-0.2769395726430267,1.0,-1.6720533047407522,-1.409282377268898,0.0
2018-10-10,-1.128684069509301,-2.17101737732527,-0.2784965168797367,1.0,-1.672586695246115,-1.4045012631095461,0.0
2018-10-11,-1.0175822572408257,-2.123221711534253,-0.15298752462245568,1.0,-1.6124607864594733,-1.3892901437221856,0.0
2018-10-12,-1.044155844155844,-2.1202020202020204,-0.13903318903318904,1.0,-1.5744588744588743,-1.3371572871572872,0.0
2018-10-15,-1.0235784630867657,-2.1475091654086693,-0.1084034217525699,1.0,-1.5720652720868376,-1.3369994968010925,0.0
2018-10-16,-1.075234868319729,-2.4086708763283537,-0.03426767287848452,1.0,-1.710919451717234,-1.4715077776066534,0.0
2018-10-17,-1.030681733143755,-2.310708673202125,-0.007558183042729926,1.0,-1.6769438000449002,-1.4574571578238418,0.0
2018-10-18,-1.0287403637452286,-2.307536861013397,-0.009280742459396751,1.0,-1.6807873662151036,-1.4581243918868347,0.0
2018-10-19,-0.991692010978414,-2.2831392329945848,-0.0,1.0,-1.6877086269564572,-1.4552332912988648,0.0
2018-10-22,-0.9949483693633459,-2.2906916276651064,-0.0,1.0,-1.6873189213282815,-1.4559096649580268,0.0
2018-10-23,-1.0205289578182362,-2.311680527459354,-0.0027721585374990633,1.0,-1.6914662470967257,-1.465872480707275,0.0
2018-10-24,-1.017970797454137,-2.304754773493074,-0.0,1.0,-1.694421564956945,-1.470685136652939,0.0
2018-10-25,-0.9223916761687571,-2.1693985176738884,-0.0,1.0,-1.6689709236031927,-1.3658067274800456,0.0
2018-10-26,-0.8941943626419857,-2.1294348618707057,-0.0,1.0,-1.6519422240919928,-1.33606787266863,0.0
2018-10-29,-0.8581767571329159,-2.137299930410578,-0.0,1.0,-1.6306193458594294,-1.332776617954071,0.0
2018-10-30,-0.8778647288988262,-2.1454723309111237,-0.0,1.0,-1.6378563443264393,-1.325880380100615,0.0
2018-10-31,-0.8766364203089285,-2.11588280113597,-0.0,1.0,-1.6241601440742537,-1.3099674447599918,0.0
2018-11-01,-0.8911607204951666,-2.1143334028791987,-0.0,1.0,-1.6325891925725016,-1.3165032338827456,0.0
2018-11-02,-0.906693431162179,-2.045545788052883,-0.0,1.0,-1.6602062711981729,-1.3094067972589467,0.0
2018-11-05,-0.9039845047039291,-2.0506364139457665,-0.0,1.0,-1.6593801881571668,-1.3034726065301605,0.0
2018-11-06,-0.9137143647938001,-2.059022972598948,-0.0,1.0,-1.653127594796568,-1.2935925823415444,0.0
2018-11-07,-0.91209019228109,-2.0603817955457187,-0.0,1.0,-1.650712408355236,-1.293401576981602,0.0
2018-11-08,-0.917238511124974,-2.0630068621334994,-0.0,1.0,-1.6548832051015456,-1.2963194011228945,0.0
2018-11-09,-0.9181862303265617,-2.063163003536019,-0.0,1.0,-1.6548568259030716,-1.2970949178395619,0.0
2018-11-12,-0.9167822468793344,-2.0652565880721223,-0.0,1.0,-1.6558252427184468,-1.2969486823855756,0.0
2018-11-13,-0.8598098649765775,-2.066891705704051,-0.0,1.0,-1.6700192890603471,-1.2921603747588866,0.0
2018-11-14,-0.8592597697980564,-2.0685781239230825,-0.0,1.0,-1.6709628506444276,-1.2934730167482253,0.0
2018-11-15,-0.8568775790921596,-2.068156808803301,-0.0,1.0,-1.6722145804676753,-1.2803301237964235,0.0
2018-11-16,-0.8502054794520548,-2.0504109589041097,-0.0,1.0,-1.6656164383561645,-1.283082191780822,0.0
2018-11-19,-0.8606231128191052,-2.0512626955805655,-0.0,1.0,-1.6651111721108978,-1.2856162503431239,0.0
2018-11-20,-0.8091997822536744,-2.0362003266194884,-0.0,1.0,-1.6620168753402285,-1.2971556886227544,0.0
2018-11-21,-0.8124915960736856,-2.0187575635336827,-0.0,1.0,-1.6473040204383487,-1.244587871453543,0.0
2018-11-23,-0.8149359498500953,-2.0739983646770237,-0.0,1.0,-1.6603979285908967,-1.2645134914145544,0.0
2018-11-26,-0.8133105802047782,-2.0927645051194537,-0.0,1.0,-1.6582935153583618,-1.2615699658703072,0.0
2018-11-27,-0.8105155343120519,-2.095937179924889,-0.0,1.0,-1.6606350290201435,-1.2612495732331854,0.0
2018-11-28,-0.8065142065142065,-2.1737352737352738,-0.0,1.0,-1.6713790713790713,-1.2783783783783782,0.0
