Date,IWF,IWM,MTUM,SPY,VLUE,VXX,WU
2018-09-24,-0.29576920102096066,-0.4380849253615902,-0.17959625647768582,-0.3733725217211953,-0.29138628922061516,0.0,1.0
2018-09-25,-0.294625322997416,-0.4414470284237726,-0.17643410852713176,-0.37627906976744185,-0.29519379844961235,0.0,1.0
2018-09-26,-0.29466938838789697,-0.44148730006976566,-0.1765329061264567,-0.37624350791969197,-0.2950052970207488,0.0,1.0
2018-09-27,-0.30183250822943936,-0.4324149192607761,-0.17982944972914128,-0.3800316217827428,-0.29784090614551206,0.0,1.0
2018-09-28,-0.29950976577698235,-0.4352709257385936,-0.1802453764946956,-0.3803595050968796,-0.29844629471117684,0.0,1.0
2018-10-01,-0.2989773671096345,-0.4367732558139535,-0.1804921096345515,-0.3802948504983389,-0.2989773671096345,0.0,1.0
2018-10-02,-0.2990343681860658,-0.43671477520506696,-0.1806665974457481,-0.3802824213477312,-0.29908628387498704,0.0,1.0
2018-10-03,-0.2989851273133127,-0.4359280504581202,-0.18065252939496976,-0.3804604563033716,-0.2995301996002803,0.0,1.0
2018-10-04,-0.29826703733534254,-0.43841097456416117,-0.18059705370365559,-0.3795629920236951,-0.30128088544779025,0.0,1.0
2018-10-05,-0.3011816146999115,-0.44253292384571336,-0.18091197751288324,-0.37918380094737386,-0.2988652334599969,0.0,1.0
2018-10-08,-0.3031664750757655,-0.4469380290521476,-0.18228132511234194,-0.3793761103563591,-0.30086738426167836,0.0,1.0
2018-10-09,-0.3041262706770847,-0.44706927640003136,-0.18431024119998954,-0.3784200486058484,-0.2992918180155225,0.0,1.0
2018-10-10,-0.3065979758884908,-0.4459321634979994,-0.18672036402625591,-0.38024006903946234,-0.29561442506341695,0.0,1.0
2018-10-11,-0.28248963505144087,-0.44300557915749605,-0.15647233454471005,-0.37413625428673797,-0.30314275477299485,0.0,1.0
2018-10-12,-0.29011267249018863,-0.4377262944676541,-0.15703253576402074,-0.3606532472464869,-0.28646664134700595,0.0,1.0
2018-10-15,-0.28679798720509775,-0.4424861557134549,-0.15242622702101297,-0.36040660479935266,-0.2864945507876704,0.0,1.0
