Date,IWF,IWM,MTUM,RYN,SDY,SPY,USMV,VLUE,XLB,XLC,XLE,XLF,XLI,XLK,XLP,XLRE,XLU,XLV,XLY
2019-01-02,-0.0,-0.3067081417365432,-0.0,1.0,-0.014281850148769273,-0.0,-0.08314849878279687,-0.0,-0.0,-0.05285366513389234,-0.0,-0.0,-0.0,-0.0,-0.3784960779010008,-0.5222612929402218,-0.3215309710576143,-0.0,-0.02564241276710847
2019-01-03,-0.0,-0.31256916142614233,-0.0,1.0,-0.00558689374105962,-0.0,-0.05916169604059269,-0.0,-0.003778575477045154,-0.06221154624706486,-0.0,-0.0,-0.0,-0.0,-0.39286389031335184,-0.505114571806429,-0.32654989069120943,-0.0,-0.031146257860786484
2019-01-04,-0.0,-0.32961498889911733,-0.0,1.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.08398765365246115,-0.0,-0.0,-0.0,-0.0,-0.3993610223642172,-0.5582390209563004,-0.3363025938159961,-0.0,-0.0
2019-01-07,-0.0,-0.30861632707417763,-0.0,1.0,-0.0,-0.0,-0.010201092022905846,-0.0,-0.0,-0.06272473032361167,-0.0,-0.0,-0.0,-0.0,-0.38164868824077774,-0.5827939805566653,-0.30696497536289785,-0.0,-0.01054734318817419
2019-01-08,-0.0,-0.306985294117647,-0.0,1.0,-0.0,-0.0,-0.01270780051150895,-0.0,-0.0,-0.06564364876385335,-0.0,-0.0,-0.0,-0.0,-0.38440430520034097,-0.5800831202046035,-0.3085837595907928,-0.0,-0.005701193520886615
2019-01-09,-0.0,-0.28166776968894774,-0.0,1.0,-0.0,-0.0,-0.043494374586366645,-0.0,-0.0,-0.04492389146260754,-0.0,-0.0,-0.0,-0.0,-0.3968232958305758,-0.5591793514228988,-0.29289212442091334,-0.0,-0.028299139642620784
2019-01-10,-0.0,-0.2873131366582881,-0.0,1.0,-0.0,-0.0,-0.045402831062309836,-0.0,-0.0,-0.04175155443841778,-0.0,-0.0,-0.0,-0.0,-0.3896547162323059,-0.5599682497684879,-0.2931604709617674,-0.0,-0.028601666887154386
2019-01-11,-0.0,-0.29012852789187754,-0.0,1.0,-0.0,-0.0,-0.04854909235457797,-0.0,-0.0,-0.042639459387836226,-0.0,-0.0,-0.0,-0.0,-0.38791572810388236,-0.5624486550947396,-0.2945276268716046,-0.0,-0.0237975354445475
2019-01-14,-0.0,-0.2891045528067245,-0.0,1.0,-0.0,-0.0,-0.04855089756847771,-0.0,-0.0,-0.046137936520563194,-0.0,-0.0,-0.0,-0.0,-0.3853313181131175,-0.5609471535014451,-0.2988094291093257,-0.0,-0.022724259539150953
2019-01-15,-0.0,-0.28296100462656976,-0.0,1.0,-0.0,-0.0,-0.05044282881692003,-0.0,-0.0,-0.046424322538003965,-0.0,-0.0021678783873099803,-0.0,-0.0,-0.38839391936549905,-0.5684600132187707,-0.2832782551222736,-0.0,-0.02159947124917383
2019-01-16,-0.0,-0.27830982950957694,-0.0,1.0,-0.037413176173437174,-0.0,-0.047042727846769106,-0.0,-0.0,-0.015680909282256367,-0.0,-0.0,-0.0,-0.0,-0.3841296569143338,-0.5648021469164387,-0.26491791201852244,-0.0,-0.038702378446642816
2019-01-17,-0.0,-0.2857481559536354,-0.0,1.0,-0.03656480505795574,-0.0,-0.042887249736564804,-0.0,-0.0,-0.011643835616438357,-0.0,-0.0119072708113804,-0.0,-0.0,-0.37268177028451005,-0.5695468914646997,-0.2701527924130664,-0.0,-0.033245521601685986
2019-01-18,-0.0,-0.2819798022301704,-0.0,1.0,-0.031111929307805597,-0.0,-0.03810751104565537,-0.0,-0.0,-0.01485903639806438,-0.0,-0.01364927414264675,-0.0,-0.0,-0.3743951188722911,-0.5710077845571218,-0.2703029665474437,-0.0,-0.03450452345886808
2019-01-22,-0.0,-0.2846709575725732,-0.0,1.0,-0.026559831866544068,-0.0,-0.03546565086037042,-0.0,-0.0,-0.015237094443714698,-0.0,-0.0131616970970708,-0.0,-0.0,-0.37451727308551164,-0.5730198344936294,-0.27051096808091424,-0.0,-0.03396821226848812
2019-01-23,-0.0,-0.28576678742059114,-0.0,1.0,-0.023809523809523808,-0.0,-0.035254895784112984,-0.0,-0.0,-0.013834199611487375,-0.0,-0.013414185961043735,-0.0,-0.0,-0.3736546437759227,-0.5745786738068988,-0.2704362891793983,-0.0,-0.034309865070614794
2019-01-24,-0.0,-0.28619696176008386,-0.0,1.0,-0.033473022524882136,-0.0,-0.028025144054478784,-0.0,-0.0,-0.01982713462545836,-0.0,-0.0141959140911472,-0.0,-0.0,-0.3585123101100053,-0.5841278156102672,-0.2661864850707177,-0.0,-0.028627553693033006
2019-01-25,-0.0,-0.30954521417239556,-0.0,1.0,-0.0,-0.0,-0.0024325753569539926,-0.031041776837652038,-0.0,-0.0266525647805394,-0.0,-0.026890534108937072,-0.0,-0.0,-0.2916975145425701,-0.6062929666842941,-0.32496033844526706,-0.0,-0.02459016393442623
2019-01-28,-0.0,-0.3105972515856237,-0.0,1.0,-0.0,-0.0,-0.002061310782241015,-0.03200317124735729,-0.0,-0.026427061310782242,-0.0,-0.02669133192389006,-0.0,-0.0,-0.2898520084566596,-0.6105179704016913,-0.32122093023255816,-0.0,-0.023335095137420717
