Date,IWF,IWM,MTUM,SPY,THBR,VLUE,VXX
2020-06-03,-0.0705663033842624,-0.06986233508890859,-0.06352662043072431,-0.09968973249204777,1.0,-0.0,0.0
2020-06-04,-0.07068837415435952,-0.06857671702490972,-0.06525281228410913,-0.09897415175254506,1.0,-0.0,0.0
2020-06-05,-0.07022094766342958,-0.06885224532360033,-0.0649286319494232,-0.0995242129961546,1.0,-0.0,0.0
2020-06-08,-0.0698685975490643,-0.0668732988656934,-0.06710771354526156,-0.09845416541862555,1.0,-0.0,0.0
2020-06-09,-0.0700972922283437,-0.06664582763516066,-0.06725797418564972,-0.09843837507651831,1.0,-0.0,0.0
2020-06-10,-0.06901490982485839,-0.06815547887232241,-0.06577251123119994,-0.09922520997460772,1.0,-0.0,0.0
2020-06-11,-0.07056309768871981,-0.0647392969747505,-0.06929931990515152,-0.09826197983167001,1.0,-0.0,0.0
2020-06-12,-0.0712036024780051,-0.05683533760216565,-0.07650059867770316,-0.09693372898120672,1.0,-0.0,0.0
2020-06-15,-0.07144715954927525,-0.05433679444140838,-0.0785385275977828,-0.09683295599448305,1.0,-0.0,0.0
2020-06-16,-0.07193411568785615,-0.05343342614035545,-0.07804897088288101,-0.09761650750696053,1.0,-0.0,0.0
2020-06-17,-0.07202529668956902,-0.05349521132625442,-0.07807620237351655,-0.09766031646887362,1.0,-0.0,0.0
2020-06-18,-0.07230232679194211,-0.05288636718546666,-0.07847066784654624,-0.09767841340898444,1.0,-0.0,0.0
2020-06-19,-0.07252469770529357,-0.05285764489971235,-0.07845995652683231,-0.09774954769683322,1.0,-0.0,0.0
2020-06-22,-0.07147694712164626,-0.05246157853607711,-0.08317270122427715,-0.09531127897890074,1.0,-0.0,0.0
2020-06-23,-0.07113461137737029,-0.052289539487393205,-0.08316836841008544,-0.0957491143988331,1.0,-0.0,0.0
2020-06-24,-0.07146113665672342,-0.052299756412093425,-0.08298922742252733,-0.09587203167945395,1.0,-0.0,0.0
2020-06-25,-0.07072796336767614,-0.05204755957956083,-0.08281298782391508,-0.09528827141221771,1.0,-0.0,0.0
2020-06-26,-0.07079772635631691,-0.05179433149933014,-0.08271224359724769,-0.09539418061679739,1.0,-0.0,0.0
2020-06-29,-0.06965148288578403,-0.051498467771256426,-0.0828442320677297,-0.09450475250610293,1.0,-0.0,0.0
2020-06-30,-0.06971278695336035,-0.05131401267269139,-0.08291783525501195,-0.09449984418822063,1.0,-0.0,0.0
2020-07-01,-0.0690948253490424,-0.05140914517049878,-0.08135672393211191,-0.09568173561011055,1.0,-0.0,0.0
2020-07-02,-0.07007750327798622,-0.05022783626945696,-0.08196912851004168,-0.09595087564423789,1.0,-0.0,0.0
2020-07-06,-0.07026290165530673,-0.05026939305420318,-0.08181759169100943,-0.09592989289191821,1.0,-0.0,0.0
2020-07-07,-0.0739192163911792,-0.047204095189715134,-0.08448282599351334,-0.0969351204199393,1.0,-0.0,0.0
2020-07-08,-0.07411464037970061,-0.04892296458561518,-0.08279872737704062,-0.09808063422521253,1.0,-0.0,0.0
2020-07-09,-0.07357235984354628,-0.049048239895697524,-0.08268578878748371,-0.09848761408083441,1.0,-0.0,0.0
2020-07-10,-0.07402868318122555,-0.048370273794002605,-0.0831812255541069,-0.09821382007822685,1.0,-0.0,0.0
2020-07-13,-0.07059914575686725,-0.05096722788960149,-0.08363484371530454,-0.10098094280228322,1.0,-0.0,0.0
2020-07-14,-0.06881439937394027,-0.051062997260988646,-0.08235294117647059,-0.10206077996608842,1.0,-0.0,0.0
2020-07-15,-0.06811739965255555,-0.05195992633132617,-0.08330829817526353,-0.10279653600491126,1.0,-0.0,0.0
2020-07-16,-0.06641921739812322,-0.05660402017931359,-0.0819457876989832,-0.10198133674883028,1.0,-0.0,0.0
2020-07-17,-0.0650238577684816,-0.0564481338649585,-0.08227988757435126,-0.103536178835218,1.0,-0.0,0.0
2020-07-20,-0.06734977331691082,-0.05613354647658482,-0.08110799549254435,-0.10572866165255904,1.0,-0.0,0.0
2020-07-21,-0.06982295081967214,-0.054413114754098366,-0.08257049180327869,-0.1046688524590164,1.0,-0.0,0.0
2020-07-22,-0.07119804785894206,-0.05314599076406381,-0.08354324097397145,-0.10404859361880772,1.0,-0.0,0.0
2020-07-23,-0.07091574899263674,-0.05419417501214086,-0.08410662956594785,-0.10330887660948432,1.0,-0.0,0.0
2020-07-24,-0.06965578759576031,-0.05512120894112709,-0.08362629866722636,-0.10338178192884878,1.0,-0.0,0.0
2020-07-27,-0.06923611931288795,-0.055719591092214214,-0.08441924858601367,-0.10289621143524533,1.0,-0.0,0.0
2020-07-28,-0.06914516679352248,-0.05572032230125193,-0.08430224928479568,-0.1031337760163775,1.0,-0.0,0.0
