Date,IWF,IWM,MTUM,SPY,TEI,VLUE,VXX
2018-09-24,-0.1321296828368584,-0.2441284964872931,-0.0,-0.2617754462713404,1.0,-0.21561903349583852,0.0
2018-09-25,-0.13555769872769763,-0.24364776141548275,-0.0,-0.26147112281612817,1.0,-0.21401016358173525,0.0
2018-09-26,-0.1352018103576198,-0.24341519513280901,-0.0,-0.26155586882326753,1.0,-0.2147017361626354,0.0
2018-09-27,-0.1372559924364607,-0.2396418441688449,-0.0,-0.2619802383997924,1.0,-0.21491203677956364,0.0
2018-09-28,-0.1376515966324222,-0.23960612691466082,-0.0,-0.2620813707673479,1.0,-0.21505396283796316,0.0
2018-10-01,-0.1378894658753709,-0.2394473293768546,-0.0,-0.2622032640949555,1.0,-0.2150593471810089,0.0
2018-10-02,-0.13784721577941475,-0.2408847160113558,-0.0,-0.26192640973781384,1.0,-0.21485165049264282,0.0
2018-10-03,-0.13737722571900704,-0.23427839358324512,-0.0,-0.2650253439536568,1.0,-0.22000037133998032,0.0
2018-10-04,-0.13826706760218288,-0.23282102684040543,-0.0,-0.26602813973345213,1.0,-0.21908527304451125,0.0
2018-10-05,-0.13402195203074763,-0.22907350604235188,-0.0,-0.2658450053586607,1.0,-0.2188735725636572,0.0
2018-10-08,-0.13239145671179312,-0.22688037183223284,-0.0,-0.26701464458297985,1.0,-0.21811944372717548,0.0
2018-10-09,-0.13466472249395522,-0.22761586592591226,-0.0,-0.2666346739511619,1.0,-0.21679986710718174,0.0
2018-10-10,-0.13580087458715429,-0.22683912393674927,-0.0,-0.2673026182261011,1.0,-0.21515951067402259,0.0
2018-10-11,-0.11325439953935293,-0.21598229387843235,-0.0,-0.2568107388347069,1.0,-0.2133731601108432,0.0
2018-10-12,-0.11842595715223914,-0.20974813184472568,-0.0,-0.246223752640267,1.0,-0.2005715401409326,0.0
2018-10-15,-0.10908962197366559,-0.21683420642786352,-0.0,-0.2438588418519043,1.0,-0.1999858417103214,0.0
2018-10-16,-0.1062658239053841,-0.22172057860165365,-0.0,-0.24321453232060336,1.0,-0.19930596129671924,0.0
2018-10-17,-0.09844405594405595,-0.20631118881118884,-0.0,-0.24117132867132868,1.0,-0.20232517482517484,0.0
2018-10-18,-0.09818213599021149,-0.20575074287711936,-0.0,-0.24167103653207478,1.0,-0.20234224785876592,0.0
2018-10-19,-0.09401917199222005,-0.20087176993609335,-0.0,-0.24109127535426508,1.0,-0.20061128091136426,0.0
2018-10-22,-0.09389761044734649,-0.19729438732981383,-0.0,-0.24298416226729644,1.0,-0.20239997221450404,0.0
2018-10-23,-0.09621563417218082,-0.19755466402681532,-0.0,-0.2413553552510464,1.0,-0.20161864568679552,0.0
2018-10-24,-0.0954709391038979,-0.19465251768622555,-0.0,-0.2414863365237897,1.0,-0.20233388819531142,0.0
2018-10-25,-0.08320503493664033,-0.17537685891687957,-0.0,-0.24355829258801837,1.0,-0.18970680291674422,0.0
2018-10-26,-0.07652127177144394,-0.1706612472497019,-0.0,-0.24595643191857436,1.0,-0.18643242244579183,0.0
2018-10-29,-0.07652281920875505,-0.16954529432499119,-0.0,-0.24678986857344276,1.0,-0.18564211021031607,0.0
2018-10-30,-0.07398768270376398,-0.16955580540685675,-0.0,-0.24686613750398548,1.0,-0.187696128610025,0.0
2018-10-31,-0.07791860795217341,-0.1579079204448675,-0.0,-0.2477664779653658,1.0,-0.18633001018653042,0.0
