Date,ANAB,IWF,IWM,MTUM,SPY,VLUE,VXX
2018-09-24,1.0,-1.109160765406057,-2.217794184119331,-0.36522525237306014,-1.4891517251770379,-1.3521169202953143,0.0
2018-09-25,1.0,-1.186910006293266,-2.3043580868470737,-0.40866897419760856,-1.560808684707363,-1.4058370044052864,0.0
2018-09-26,1.0,-1.2061326055546637,-2.3483705249638787,-0.3942847969176433,-1.6079627548563173,-1.4702199389950232,0.0
2018-09-27,1.0,-1.2516371971185332,-2.3583824492468892,-0.41060903732809434,-1.6544695481335954,-1.510887360838245,0.0
2018-09-28,1.0,-1.2482940064128916,-2.377374003124229,-0.41322042259311026,-1.6629943270574694,-1.5198552988571898,0.0
2018-10-01,1.0,-1.248805404514747,-2.3849892898335807,-0.4149777558082056,-1.665760421815785,-1.5240566814961278,0.0
2018-10-02,1.0,-1.2499382360207527,-2.3703368195668286,-0.4205715226879684,-1.66770979164951,-1.5267232150209997,0.0
2018-10-03,1.0,-1.2572634715669233,-2.3957453853157853,-0.42421984935021934,-1.67279198741826,-1.5274397814750433,0.0
2018-10-04,1.0,-1.2572445769167082,-2.3962576585527406,-0.42531876138433516,-1.6723795330352709,-1.5283987415134954,0.0
2018-10-05,1.0,-1.228230452674897,-2.3816460905349794,-0.3927572016460905,-1.6843621399176956,-1.5434567901234568,0.0
2018-10-08,1.0,-1.2221857564817855,-2.371759107318674,-0.3835740072202166,-1.6878897276009188,-1.5393009517558254,0.0
2018-10-09,1.0,-1.2257084188911704,-2.3751129363449692,-0.3880903490759754,-1.6876386036960986,-1.5369199178644766,0.0
2018-10-10,1.0,-1.22645702996378,-2.383931511359895,-0.3841784655910438,-1.692048073756997,-1.5451926243002962,0.0
2018-10-11,1.0,-1.095332122265224,-2.3717715820235368,-0.20985704130795355,-1.6490008688097306,-1.572387647105284,0.0
2018-10-12,1.0,-1.1013314754605978,-2.345486917479486,-0.1941477008824896,-1.5926614026939157,-1.5075089023068586,0.0
2018-10-15,1.0,-1.0610598184498408,-2.4366514081775157,-0.12630925595469003,-1.6040034137636745,-1.5304523236868646,0.0
2018-10-16,1.0,-1.0655113459745105,-2.4311470313957106,-0.13327634442026734,-1.6073204849238423,-1.5339602113770596,0.0
2018-10-17,1.0,-1.0197100135931128,-2.3300860897145443,-0.10595076272466394,-1.573553843830237,-1.5225041534511403,0.0
2018-10-18,1.0,-1.0178234272335926,-2.327014575938373,-0.10754474737557586,-1.5769201721924326,-1.5229967525111396,0.0
