Date,BME,IWF,IWM,MTUM,SPY,VLUE,VXX
2018-09-24,1.0,-0.2685187498438554,-0.40227846203812423,-0.041496989532065855,-0.42461338596447395,-0.3614310340520149,0.0
2018-09-25,1.0,-0.27085571517801377,-0.40077451592754526,-0.04494690818238601,-0.4231105559025609,-0.3587507807620237,0.0
2018-09-26,1.0,-0.27187742145124605,-0.40212962731521984,-0.046916789561826676,-0.42280100982328095,-0.3557877371459994,0.0
2018-09-27,1.0,-0.28119892378485756,-0.3933465764791672,-0.05081847670295959,-0.42872589202645284,-0.3604314918655234,0.0
2018-09-28,1.0,-0.27955934505395,-0.3950300560879298,-0.05125883447772831,-0.4286828139540733,-0.3606227520812898,0.0
2018-10-01,1.0,-0.2801479096443125,-0.39445087286813907,-0.05121497207828143,-0.4290134326105549,-0.3606177994667203,0.0
2018-10-02,1.0,-0.2830388425377461,-0.3771330627882943,-0.05777228845814533,-0.435308648199027,-0.3673531116880498,0.0
2018-10-03,1.0,-0.28435766922434097,-0.36551951176276937,-0.05474942389019727,-0.44569373749651797,-0.3820557623642027,0.0
2018-10-04,1.0,-0.29540408809043817,-0.36011942736111463,-0.05506928318064664,-0.46198994564523954,-0.3792839462066502,0.0
2018-10-05,1.0,-0.2925755300465779,-0.3572501208989794,-0.050446689913207256,-0.4642775331517727,-0.3806917966860954,0.0
2018-10-08,1.0,-0.293026706231454,-0.3589481223779802,-0.0432569323646782,-0.4771564514478666,-0.3856799345134554,0.0
2018-10-09,1.0,-0.3038518250252218,-0.3676177665105931,-0.05768683550197894,-0.47704167421165633,-0.3806296401686628,0.0
2018-10-10,1.0,-0.3033950296350213,-0.3740511594052199,-0.05401892482063013,-0.47959342830404483,-0.3884787355724238,0.0
2018-10-11,1.0,-0.2836729495669893,-0.367014773306164,-0.02575140091696383,-0.4763372389200204,-0.3943453897096281,0.0
2018-10-12,1.0,-0.29871376948929823,-0.3642887827559194,-0.023879918125994996,-0.46352310919060974,-0.3765951532610618,0.0
2018-10-15,1.0,-0.2961813179879357,-0.36753236919815246,-0.019383660180207467,-0.46392064814113726,-0.3769213295979405,0.0
2018-10-16,1.0,-0.29506500063107405,-0.3723084690142623,-0.015877824056544237,-0.4641423703142749,-0.3769026883756153,0.0
2018-10-17,1.0,-0.28630901929500924,-0.35035149823004436,-0.007079822505858304,-0.4645759585182231,-0.3845789499925213,0.0
2018-10-18,1.0,-0.28592437498442136,-0.3496348363618236,-0.007353124454747127,-0.46514120491537675,-0.3845559460604701,0.0
2018-10-19,1.0,-0.28026250619118376,-0.3414561664190193,-0.0006438831104507182,-0.4689697870232789,-0.3851411589895988,0.0
2018-10-22,1.0,-0.27984935953023954,-0.3432025965659919,-0.002626297663586135,-0.4677039716558063,-0.38428185624736744,0.0
2018-10-23,1.0,-0.270907130756199,-0.37299142666461316,-0.0,-0.5070588839262796,-0.41588377226757023,0.0
2018-10-24,1.0,-0.27082636763457735,-0.3767135618939842,-0.0,-0.5085260152773848,-0.415884365114066,0.0
2018-10-25,1.0,-0.24348961603174205,-0.3432359810150423,-0.0,-0.527937520403807,-0.3965997840335501,0.0
