Date,IWF,IWM,LOPE,MTUM,SPY,VLUE,VXX
2018-09-24,-0.36406902480962905,-0.743337017931712,1.0,-0.09245271432080569,-0.48080938344387125,-0.38979980348808646,0.0
2018-09-25,-0.3650174943220183,-0.7420661715057394,1.0,-0.09428518814069119,-0.47968203302436935,-0.3881284144619728,0.0
2018-09-26,-0.3661682070807873,-0.7436669020787914,1.0,-0.09647802990757513,-0.4793809684650106,-0.3848988239629072,0.0
2018-09-27,-0.3673569565884338,-0.7394078846448842,1.0,-0.09762233471391317,-0.4790305261543181,-0.38447614664825885,0.0
2018-09-28,-0.36553332515036213,-0.741101018779919,1.0,-0.09816496870013501,-0.47907205106174056,-0.38477353627102,0.0
2018-10-01,-0.3651199310281122,-0.7469901776641932,1.0,-0.09871601441019798,-0.4806478430889552,-0.3876281676263202,0.0
2018-10-02,-0.36648908323838264,-0.7352877775382626,1.0,-0.10291626890031717,-0.48366335109167613,-0.39112493456101993,0.0
2018-10-03,-0.3661104611784989,-0.7274798349855305,1.0,-0.10181023336001478,-0.4867618988978511,-0.3964657348685426,0.0
2018-10-04,-0.36551086453999077,-0.7301587301587301,1.0,-0.10195715826783787,-0.48599167822468786,-0.3985205732778548,0.0
2018-10-05,-0.36060336087985007,-0.7285183250898589,1.0,-0.09575742680716413,-0.4876347884857608,-0.3995883382998986,0.0
2018-10-08,-0.3589963805901479,-0.7257223483221888,1.0,-0.09192687565180051,-0.49138089687749226,-0.3992393104717502,0.0
2018-10-09,-0.35706391600663107,-0.7272671455762265,1.0,-0.08589672745134157,-0.4953337017253024,-0.4043715846994536,0.0
2018-10-10,-0.3595871475087547,-0.7262087608281624,1.0,-0.08828408183326167,-0.49720464459052655,-0.40056521472015727,0.0
2018-10-11,-0.31649549360721024,-0.7344072820912058,1.0,-0.024313561098302246,-0.49402640955774474,-0.4250681198910082,0.0
2018-10-12,-0.32061136403949625,-0.728522438361024,1.0,-0.021492343167977296,-0.4789511027020635,-0.4067581150594217,0.0
2018-10-15,-0.31348831720556997,-0.7394972858154355,1.0,-0.011151758319565731,-0.4785815435449611,-0.40748170875619544,0.0
2018-10-16,-0.3115809366326109,-0.749365144983169,1.0,-0.004192995925116636,-0.4796846394614067,-0.4080198429102935,0.0
2018-10-17,-0.30537521202550155,-0.734397847575598,1.0,-0.000701877522372346,-0.4759314499619816,-0.4081125343627537,0.0
