Date,IWF,IWM,LBC,MTUM,SPY,VLUE,VXX
2018-09-24,-0.37865420560747665,-1.1321121495327102,1.0,-0.026990654205607475,-0.6236635514018691,-0.5768971962616822,0.0
2018-09-25,-0.378143060872176,-1.1386699692261504,1.0,-0.022705096449748555,-0.629512872476169,-0.5838775050664265,0.0
2018-09-26,-0.37783952239702623,-1.1387752036946646,1.0,-0.02121428303232831,-0.6304584537979199,-0.5864528967821875,0.0
2018-09-27,-0.3812042768711311,-1.1298818232976926,1.0,-0.02378540611517539,-0.6305758769461639,-0.5862314762708685,0.0
2018-09-28,-0.3810399159663865,-1.1295393157262905,1.0,-0.02427220888355342,-0.6304021608643456,-0.5862094837935174,0.0
2018-10-01,-0.3820869760984578,-1.1284379572999137,1.0,-0.024314284642227305,-0.631083261416082,-0.5862819406401261,0.0
2018-10-02,-0.3838186730711498,-1.1146427499249476,1.0,-0.029420594416091263,-0.6345316721705193,-0.5902131492044431,0.0
2018-10-03,-0.383694305769303,-1.1034495702113285,1.0,-0.027664126721969898,-0.6399159190721069,-0.5988889305956984,0.0
2018-10-04,-0.38415640948664065,-1.1018462924046832,1.0,-0.028294806364455118,-0.6401606124287,-0.5981687181026718,0.0
2018-10-05,-0.3719289074751699,-1.0974908520648197,1.0,-0.015570159062056605,-0.6448360839369726,-0.6039877529684116,0.0
2018-10-08,-0.3696032780778543,-1.0937977276960327,1.0,-0.011883032222015272,-0.6470851182715589,-0.6026820636990128,0.0
2018-10-09,-0.36717409148571006,-1.096746511454369,1.0,-0.0033206477128572497,-0.6532721438698605,-0.6105514513842252,0.0
2018-10-10,-0.36680733465287374,-1.099002875602196,1.0,-0.0017925831870635248,-0.653956753930612,-0.6129514135265339,0.0
2018-10-11,-0.28627041055401364,-1.0855350899325955,1.0,-0.0,-0.6192192625166708,-0.6134880870850304,0.0
2018-10-12,-0.284292467920236,-1.0786265240109478,1.0,-0.0,-0.599545018305904,-0.5920804748871431,0.0
2018-10-15,-0.23597401198894435,-1.146631250224344,1.0,-0.0,-0.6014573387415197,-0.6054416885028177,0.0
2018-10-16,-0.23017783366265496,-1.157607328902461,1.0,-0.0,-0.6004311119094665,-0.6043829710795761,0.0
2018-10-17,-0.20565127012648413,-1.1131663319592713,1.0,-0.0,-0.5928196455624845,-0.6115984920551033,0.0
2018-10-18,-0.2049529714305844,-1.112058336562511,1.0,-0.0,-0.5940042977419241,-0.6117236763307148,0.0
2018-10-19,-0.19172524743818417,-1.106984226908684,1.0,-0.0,-0.5910187808204805,-0.6075962648200608,0.0
2018-10-22,-0.1918478640844578,-1.099419702160386,1.0,-0.0,-0.5941061315807873,-0.610396420331399,0.0
2018-10-23,-0.18722103117421712,-1.104980142691456,1.0,-0.0,-0.6043299476329385,-0.6180367623800653,0.0
2018-10-24,-0.18629595653094347,-1.1024274927669184,1.0,-0.0,-0.6113541740173594,-0.6282548867405264,0.0
