Date,AIO,IWF,IWM,MTUM,SPY,VLUE,VXX
2020-06-26,1.0,-0.2842276343877353,-0.38812342324859306,-0.4037453910343489,-0.3496992043469824,-0.0,0.0
2020-06-29,1.0,-0.2812583246555106,-0.38735378877775895,-0.4052987189111956,-0.34778291720146265,-0.0,0.0
2020-06-30,1.0,-0.28566585135495115,-0.37737631075484945,-0.41038432664131935,-0.34829147797447507,-0.0,0.0
2020-07-01,1.0,-0.28564163417528393,-0.37737631075484945,-0.4105054125396556,-0.3482188264354733,-0.0,0.0
2020-07-02,1.0,-0.2853441177895094,-0.3779968034096964,-0.41013222259892484,-0.3481861771685959,-0.0,0.0
2020-07-06,1.0,-0.2855620671283964,-0.3779968034096964,-0.4099142732600378,-0.3481619605753863,-0.0,0.0
2020-07-07,1.0,-0.2833393829401089,-0.38035087719298244,-0.40813067150635207,-0.34802177858439204,-0.0,0.0
2020-07-08,1.0,-0.28305995064595735,-0.37963903808003097,-0.4089853389461461,-0.34763148981468045,-0.0,0.0
2020-07-09,1.0,-0.2836160379412974,-0.37953396084883967,-0.40910300771892466,-0.3474725966075447,-0.0,0.0
2020-07-10,1.0,-0.2851922658083876,-0.37715073929772763,-0.4108849793093435,-0.3467318442513854,-0.0,0.0
2020-07-13,1.0,-0.2871385359951603,-0.3757531760435572,-0.4110102843315184,-0.34594071385359954,-0.0,0.0
2020-07-14,1.0,-0.2831689391741611,-0.37648680011604296,-0.40897882216420073,-0.3489507784546949,-0.0,0.0
2020-07-15,1.0,-0.2856624933533137,-0.3741721854304636,-0.4081790496447044,-0.3489631169333398,-0.0,0.0
2020-07-16,1.0,-0.28941642895131264,-0.36563844703379583,-0.4113523183290625,-0.3510370835952231,-0.0,0.0
2020-07-17,1.0,-0.28939225450853356,-0.3656142725910168,-0.4112797950007252,-0.35115795580911857,-0.0,0.0
2020-07-20,1.0,-0.2893203414009043,-0.3656277956430281,-0.41178461761648005,-0.3511448535989748,-0.0,0.0
2020-07-21,1.0,-0.28464419475655434,-0.369385042889936,-0.40874713060287543,-0.3535338890902501,-0.0,0.0
2020-07-22,1.0,-0.2841782245203692,-0.36998018653650994,-0.408302324457546,-0.3538394626202097,-0.0,0.0
2020-07-23,1.0,-0.28405054727329837,-0.37033367965786357,-0.4083649455142919,-0.3534684804407181,-0.0,0.0
2020-07-24,1.0,-0.28064710853555475,-0.3731739707835325,-0.4070505855366413,-0.35371242303513223,-0.0,0.0
2020-07-27,1.0,-0.2823137463183816,-0.3712278499348172,-0.4048814639563517,-0.3557288397469944,-0.0,0.0
2020-07-28,1.0,-0.2805290085915629,-0.3710300222029153,-0.402524374939666,-0.3592769572352544,-0.0,0.0
2020-07-29,1.0,-0.2792925393301805,-0.37064472541260496,-0.4019158382395522,-0.36104140526976164,-0.0,0.0
2020-07-30,1.0,-0.2793447052862692,-0.3703524983714141,-0.401910874128405,-0.36111178131107197,-0.0,0.0
2020-07-31,1.0,-0.2813465250965251,-0.3699083011583012,-0.40205115830115834,-0.35982142857142857,-0.0,0.0
2020-08-03,1.0,-0.2811534749034749,-0.3701254826254826,-0.40212355212355216,-0.3597249034749035,-0.0,0.0
2020-08-04,1.0,-0.2815456651863294,-0.3705831241552423,-0.40234601274377285,-0.35914269163931256,-0.0,0.0
2020-08-05,1.0,-0.28151098237991795,-0.3706975621530292,-0.40234129857591117,-0.35916002896451843,-0.0,0.0
2020-08-06,1.0,-0.28199000651748857,-0.3680932725034397,-0.40389118207932023,-0.35988606464383127,-0.0,0.0
2020-08-07,1.0,-0.28291363866824404,-0.367488350756899,-0.4034138921750887,-0.36051087665081244,-0.0,0.0
2020-08-10,1.0,-0.2878128926258819,-0.3626413453174833,-0.40574562675171544,-0.3599594085242099,-0.0,0.0
2020-08-11,1.0,-0.28829982601971776,-0.36226560989754497,-0.40609897544944906,-0.3597283974482892,-0.0,0.0
2020-08-12,1.0,-0.28741545893719805,-0.3628260869565218,-0.4049033816425121,-0.36031400966183574,-0.0,0.0
2020-08-13,1.0,-0.2856487849610271,-0.36665942710972754,-0.3993580926180651,-0.3614952098264919,-0.0,0.0
2020-08-14,1.0,-0.2874800830476559,-0.3660615132055429,-0.40092221524793586,-0.3597122302158273,-0.0,0.0
2020-08-17,1.0,-0.2881323192080164,-0.36595436436073886,-0.40096583363515637,-0.3595315706869492,-0.0,0.0
2020-08-18,1.0,-0.28821171584488336,-0.36593905442603947,-0.4009996619500652,-0.35949195924083643,-0.0,0.0
2020-08-19,1.0,-0.28829807785183037,-0.36595672751859365,-0.40097073312083453,-0.3595334685598377,-0.0,0.0
2020-08-20,1.0,-0.28905155336522204,-0.3650045900372035,-0.40155578103106737,-0.36017297192829884,-0.0,0.0
2020-08-21,1.0,-0.2881781728585922,-0.36598386395478044,-0.40067153002560507,-0.36074206483404997,-0.0,0.0
2020-08-24,1.0,-0.28788134979105773,-0.3669653856373342,-0.40042030000724654,-0.3602502475905215,-0.0,0.0
2020-08-25,1.0,-0.2879538153095485,-0.3667721442546921,-0.4011449551921544,-0.3596463682697649,-0.0,0.0
2020-08-26,1.0,-0.287512077294686,-0.36710144927536237,-0.40091787439613524,-0.35992753623188406,-0.0,0.0
2020-08-27,1.0,-0.28315187214832344,-0.3717982763199189,-0.39910194819303285,-0.3600656640030901,-0.0,0.0
2020-08-28,1.0,-0.28209214720370906,-0.37240413406742007,-0.39865256447406544,-0.3616101613059017,-0.0,0.0
2020-08-31,1.0,-0.28223703274413214,-0.372259248526997,-0.39874915483434753,-0.3615377185356901,-0.0,0.0
