Date,AIN,IWF,IWM,MTUM,SPY,VLUE,VXX
2018-09-24,1.0,-0.4379891631547261,-0.910746538229982,-0.11773780854906682,-0.6748946417820589,-0.6214629741119807,0.0
2018-09-25,1.0,-0.4387647634093132,-0.9095012412547958,-0.11931091551944632,-0.6738508989693824,-0.6199503498081698,0.0
2018-09-26,1.0,-0.44306090106407064,-0.9161950041506303,-0.12504716625160367,-0.6752697909591729,-0.6137272658667271,0.0
2018-09-27,1.0,-0.4442559288164989,-0.9117746861214794,-0.12623006447234475,-0.6748482449195038,-0.6132036345813068,0.0
2018-09-28,1.0,-0.4422112447679023,-0.913609110449112,-0.12689015422904334,-0.6747614917606245,-0.6133715449300502,0.0
2018-10-01,1.0,-0.4419762398642278,-0.9140863662078069,-0.12724872713558363,-0.6745992834244767,-0.6135395059400339,0.0
2018-10-02,1.0,-0.4419509615021346,-0.9266311534247611,-0.12422078658052817,-0.6732403944236655,-0.6119611621141714,0.0
2018-10-03,1.0,-0.4416040478797719,-0.9222897707963599,-0.1238907978703319,-0.6742060944757013,-0.614054298984254,0.0
2018-10-04,1.0,-0.4456148299165628,-0.915581228527202,-0.12470268433571186,-0.679427643749764,-0.6101106203043002,0.0
2018-10-05,1.0,-0.4340353516359533,-0.910154193305754,-0.11210981572019554,-0.6864610755923278,-0.6180518992102294,0.0
2018-10-08,1.0,-0.43249230307126224,-0.9077494931290832,-0.10985957798302921,-0.6874671472553878,-0.6170308628069385,0.0
2018-10-09,1.0,-0.4332494648691276,-0.9080701490855833,-0.11126966840662435,-0.6868451688009313,-0.6158323632130384,0.0
2018-10-10,1.0,-0.4327830632121235,-0.9111044259767608,-0.10927687737374496,-0.6878125822584891,-0.6194111232279171,0.0
2018-10-11,1.0,-0.3926151141067438,-0.9079453459833693,-0.05655884830946189,-0.6770211363053592,-0.6290340305505696,0.0
2018-10-12,1.0,-0.39705296694544007,-0.9019586546468267,-0.051627384960718295,-0.660656746678252,-0.6091017703920929,0.0
2018-10-15,1.0,-0.37458278914526194,-0.9504063270933101,-0.015164707589609635,-0.6667755042809462,-0.6210274270787984,0.0
