Date,IWF,IWM,MTUM,SPY,TBBK,VLUE,VXX
2018-09-24,-0.31289235680085126,-1.0624578826032984,-0.1176449725128569,-0.563326830998404,1.0,-0.49044156765383934,0.0
2018-09-25,-0.31666903207493613,-1.0604243542435425,-0.12280017030939541,-0.5614533068407608,1.0,-0.4867300596082884,0.0
2018-09-26,-0.3172592434887517,-1.061209282520758,-0.1241572635015258,-0.5611028315946348,1.0,-0.4846355829962387,0.0
2018-09-27,-0.3171216585608293,-1.0624800312400156,-0.12400156200078101,-0.5613972806986404,1.0,-0.4850012425006212,0.0
2018-09-28,-0.31467140319715814,-1.0654706927175843,-0.1246536412078153,-0.5618472468916519,1.0,-0.48575488454706933,0.0
2018-10-01,-0.3152397868561279,-1.0646181172291298,-0.12472468916518652,-0.5620959147424512,1.0,-0.48571936056838366,0.0
2018-10-02,-0.3154711073156846,-1.0748292058070026,-0.1221890122402505,-0.5610945061201252,1.0,-0.4846285226302305,0.0
2018-10-03,-0.31517911137988686,-1.0656326704848635,-0.1208423748710469,-0.564796698801181,1.0,-0.4909110312688983,0.0
2018-10-04,-0.31450747549896274,-1.0774733528864726,-0.12075255740753987,-0.5643822877172903,1.0,-0.49967808856141355,0.0
2018-10-05,-0.29714653507830935,-1.074840878209254,-0.10251734248730601,-0.581849388543231,1.0,-0.5194521919473647,0.0
2018-10-08,-0.2966365228580619,-1.0748471959109267,-0.10186939271544483,-0.5819065661078743,1.0,-0.5191049790899667,0.0
2018-10-09,-0.2961864255334358,-1.075270738768362,-0.10093284248900962,-0.5822223810715179,1.0,-0.5194967654312164,0.0
2018-10-10,-0.29724514953371206,-1.0741772966019938,-0.10233322614070818,-0.5828063029263587,1.0,-0.5165255297102226,0.0
2018-10-11,-0.24004320708038607,-1.0928603784103974,-0.02379873863200808,-0.5798459876650754,1.0,-0.547928499250845,0.0
2018-10-12,-0.24348005360272137,-1.0893035082293923,-0.02020410266982785,-0.5592894203346733,1.0,-0.523829158505996,0.0
2018-10-15,-0.20634920634920634,-1.154744576141956,-0.0,-0.5653982116864212,1.0,-0.5391973383239759,0.0
2018-10-16,-0.19729739142548672,-1.1784209243199943,-0.0,-0.5667467697558598,1.0,-0.5403127503221538,0.0
2018-10-17,-0.1792843691148776,-1.1453518233179252,-0.0,-0.5580551275466531,1.0,-0.5414141414141415,0.0
2018-10-18,-0.17841084606143812,-1.1441565127853097,-0.0,-0.5652308220353527,1.0,-0.5444997425776558,0.0
2018-10-19,-0.15934383827383183,-1.135826838648198,-0.0,-0.5659394888200661,1.0,-0.5422182894871184,0.0
