Date,BATRK,IWF,IWM,MTUM,SPY,VLUE,VXX
2018-09-24,1.0,-0.25337714494341,-0.7478304827702419,-0.0,-0.41797961075069506,-0.3892773892773893,0.0
2018-09-25,1.0,-0.25339137761550345,-0.7478163179328746,-0.0,-0.41803117539671397,-0.38935542760848196,0.0
2018-09-26,1.0,-0.25497302764666213,-0.7494380759721285,-0.0,-0.4182119577433131,-0.38699707799505506,0.0
2018-09-27,1.0,-0.2736818078064369,-0.7449783154530929,-0.0,-0.4343471810089021,-0.4001940196302214,0.0
2018-09-28,1.0,-0.27062261826308703,-0.7535314174378958,-0.0,-0.437580585083522,-0.4035127933297041,0.0
2018-10-01,1.0,-0.2707121883815994,-0.7608094881685762,-0.0,-0.4399792734181588,-0.4071621855029075,0.0
2018-10-02,1.0,-0.27106005642885933,-0.7604652501871365,-0.0,-0.4401163125467842,-0.4073530258536305,0.0
2018-10-03,1.0,-0.2733339110841494,-0.7700840627437386,-0.0,-0.4401594592252362,-0.405205534852818,0.0
2018-10-04,1.0,-0.27255356108859297,-0.7747539085118703,-0.0,-0.43922987840185296,-0.4086276780544296,0.0
2018-10-05,1.0,-0.2699762772666782,-0.7775849100271943,-0.0,-0.43834982352600815,-0.4071052479314934,0.0
2018-10-08,1.0,-0.26748852383289545,-0.7745763201201027,-0.0,-0.4393567572249329,-0.40569333371827815,0.0
2018-10-09,1.0,-0.26647614098900146,-0.7746023498166913,-0.0,-0.43953696486821975,-0.4061661037498917,0.0
2018-10-10,1.0,-0.26494312906220985,-0.7812209842154131,-0.0,-0.4416782729805014,-0.4137360724233983,0.0
2018-10-11,1.0,-0.23075396262795247,-0.7736694360166728,-0.0,-0.423086738310602,-0.40800181472764907,0.0
2018-10-12,1.0,-0.23753673897830652,-0.7700209937018894,-0.0,-0.4046745976207138,-0.3869279216235129,0.0
2018-10-15,1.0,-0.2169966766274751,-0.7892590834194431,-0.0,-0.3999218029994135,-0.38660038539950287,0.0
2018-10-16,1.0,-0.21013437849944008,-0.8036954087346024,-0.0,-0.3996080627099664,-0.38611422172452403,0.0
2018-10-17,1.0,-0.1988895334383028,-0.782077843153504,-0.0,-0.394160382309881,-0.3872268721858512,0.0
2018-10-18,1.0,-0.19793974302171025,-0.7808761630482942,-0.0,-0.40050398759415157,-0.389842711564023,0.0
