Date,IWF,IWM,MTUM,REDU,SPY,VLUE,VXX
2018-09-24,-1.3174474959612277,-2.311703464369054,-0.502513013821576,1.0,-2.008885298869144,-1.8344103392568658,0.0
2018-09-25,-1.3180595408895266,-2.3078371592539453,-0.5052008608321378,1.0,-2.005649210903874,-1.8302546628407463,0.0
2018-09-26,-1.3221651805818249,-2.3176618931820228,-0.5004052958659821,1.0,-2.017652886607223,-1.8485994776186614,0.0
2018-09-27,-1.324343761236965,-2.3021395181589352,-0.5032362459546925,1.0,-2.014742898238044,-1.8451995685005393,0.0
2018-09-28,-1.3264975715056664,-2.3019427954668106,-0.5044972117287282,1.0,-2.015470408346825,-1.8461054146429212,0.0
2018-10-01,-1.3264975715056664,-2.301672962763087,-0.5052167656053247,1.0,-2.0151106314085268,-1.8459255261737721,0.0
2018-10-02,-1.3420242621763534,-2.2760275212746697,-0.5240811153358681,1.0,-2.0399239543726235,-1.8709940249864203,0.0
2018-10-03,-1.3403870500994755,-2.268764695243263,-0.5235123892204738,1.0,-2.0390667390124797,-1.8715861819497197,0.0
2018-10-04,-1.3453510436432636,-2.2565284178187404,-0.5250745459474112,1.0,-2.044727568446733,-1.8641908376253726,0.0
2018-10-05,-1.3123823186586567,-2.2338384291222093,-0.4894647180130906,1.0,-2.0542454944857886,-1.8763561373621447,0.0
2018-10-08,-1.305012061109622,-2.221924417046368,-0.4790494058786742,1.0,-2.056821227552935,-1.871348164031091,0.0
2018-10-09,-1.3024150268336314,-2.226386404293381,-0.46869409660107336,1.0,-2.0651162790697675,-1.882021466905188,0.0
2018-10-10,-1.302163418558913,-2.2248346146969427,-0.46826390130520296,1.0,-2.0649919542285,-1.8794922224208834,0.0
2018-10-11,-1.1464303883330507,-2.172969306426997,-0.27268102424961843,1.0,-2.0052569102933693,-1.8816347295234865,0.0
2018-10-12,-1.1673650687227624,-2.163426081126383,-0.2528494803888703,1.0,-1.9669795507877976,-1.8302044921220249,0.0
2018-10-15,-1.1483026107264993,-2.1765785303194596,-0.22687463508215863,1.0,-1.962131954291434,-1.8270915005421637,0.0
2018-10-16,-1.1498915039225506,-2.1750125187781673,-0.22917709898180605,1.0,-1.9633617092305125,-1.828325822066433,0.0
2018-10-17,-1.108572367880332,-2.0890112599654804,-0.17309114818772087,1.0,-1.9755075203419084,-1.8727706090244103,0.0
2018-10-18,-1.1090191564581107,-2.090684863931596,-0.17199704020389708,1.0,-1.9762394146181042,-1.8737153662747676,0.0
2018-10-19,-1.0771735591012699,-2.0623575382611525,-0.13440247476392053,1.0,-1.989010094431781,-1.8777271247150764,0.0
2018-10-22,-1.079707198047987,-2.0504270028466856,-0.12598617324115494,1.0,-1.9945506303375355,-1.8826352175681171,0.0
2018-10-23,-1.082872478854912,-2.0494469746258948,-0.133295380611581,1.0,-1.9884515289525049,-1.8787410540013012,0.0
2018-10-24,-1.0830017055144967,-2.0430439373020386,-0.11841143506862664,1.0,-1.9929342970843822,-1.884187444164704,0.0
2018-10-25,-0.9889399485941273,-1.9147908715632058,-0.07625204455175637,1.0,-2.007321442479944,-1.8015421761819457,0.0
2018-10-26,-0.950940809019578,-1.864096899520073,-0.04479317437342881,1.0,-1.9942865849013485,-1.7636931515197685,0.0
2018-10-29,-0.9176603773584906,-1.8717735849056603,-0.01350943396226415,1.0,-1.9768301886792452,-1.7673962264150942,0.0
2018-10-30,-0.9071030010556478,-1.8718142060021115,-0.006333886291660384,1.0,-1.9776805911627209,-1.7774845423013121,0.0
2018-10-31,-0.9417717577456018,-1.952203020395454,-0.033006383309979764,1.0,-2.0238206445586173,-1.833644714307956,0.0
2018-11-01,-0.9041019955654102,-2.060500475134621,-0.0,1.0,-2.0711910041178334,-1.8830376940133038,0.0
2018-11-02,-0.9111808552373479,-1.9880737544134954,-0.0,1.0,-2.0816790898391524,-1.8652805021577088,0.0
2018-11-05,-0.9036106750392464,-2.013108320251177,-0.0,1.0,-2.0839089481946624,-1.848744113029827,0.0
2018-11-06,-0.9023124115148655,-2.0140003146138117,-0.0,1.0,-2.0912380053484347,-1.8578732106339468,0.0
2018-11-07,-0.9055603891481453,-2.031558965435419,-0.0,1.0,-2.1015581744839045,-1.870758522502571,0.0
2018-11-08,-0.8340646190666136,-2.088392500997208,-0.0,1.0,-2.121340247307539,-1.9338651775029916,0.0
2018-11-09,-0.8333997926469415,-2.0874870404338464,-0.0,1.0,-2.1213015391977033,-1.9328495095302656,0.0
2018-11-12,-0.8280123583934088,-2.0438881406955556,-0.0,1.0,-2.1288917056167316,-1.9211756317832527,0.0
2018-11-13,-0.7603429290545856,-2.03979864716061,-0.0,1.0,-2.144643699858424,-1.9205600125845526,0.0
