Date,GE,IWF,IWM,MTUM,SPY,VLUE,VXX
2018-09-24,1.0,-0.3651510308454531,-0.9944861754834585,-0.0,-0.8403787757711363,-0.795509029886527,0.0
2018-09-25,1.0,-0.36252365422555055,-1.0067238394331037,-0.0,-0.8498208318234891,-0.8072230945766397,0.0
2018-09-26,1.0,-0.3627434998777407,-1.016871790691988,-0.0,-0.8633547966419431,-0.832382427255685,0.0
2018-09-27,1.0,-0.37245856128031357,-1.0061647750469502,-0.0,-0.8681309708500041,-0.8358781742467544,0.0
2018-09-28,1.0,-0.375817527795945,-1.0056000654022237,-0.0,-0.8693590582079791,-0.8368623283191629,0.0
2018-10-01,1.0,-0.3810969356360504,-1.0064815194650696,-0.0,-0.8748410386840055,-0.8398080157525537,0.0
2018-10-02,1.0,-0.4298671710441474,-0.9826333662898163,-0.015561191591798133,-0.9547349868890512,-0.9158749946266603,0.0
2018-10-03,1.0,-0.4322399654725939,-0.9676305567544239,-0.012300388433318947,-0.9684937419076391,-0.9352611135088477,0.0
2018-10-04,1.0,-0.4325234128867982,-0.9672003797850762,-0.013033533295930258,-0.9681066850804885,-0.9348754909153684,0.0
2018-10-05,1.0,-0.4081068233870619,-0.9591633896547254,-0.0,-0.9916598245538222,-0.9623611771314983,0.0
2018-10-08,1.0,-0.4136305564121768,-0.9786334199744482,-0.0,-1.0295607736023613,-0.9836556676505573,0.0
2018-10-09,1.0,-0.4048032021347565,-0.9902156993551257,-0.0,-1.0466533244385146,-1.0057371581054038,0.0
2018-10-10,1.0,-0.40569015336741493,-0.9889753278506335,-0.0,-1.04734385418982,-1.0034674372082684,0.0
2018-10-11,1.0,-0.2997595741026962,-0.9632491842692771,-0.0,-1.0149836853855403,-1.015370084149064,0.0
2018-10-12,1.0,-0.29286682480515075,-0.9487461877329719,-0.0,-0.9980091494408675,-0.9962724500169433,0.0
2018-10-15,1.0,-0.23819512821610517,-1.0280405839291065,-0.0,-1.0015411618648058,-1.0132711160580505,0.0
2018-10-16,1.0,-0.24009593558610645,-1.0261681442460062,-0.0,-1.0024412180393163,-1.0141333675960427,0.0
