Date,FCNCA,IWF,IWM,MTUM,SPY,VLUE,VXX
2018-09-24,1.0,-0.17423703745840324,-0.7075286555362781,-0.09343269148724365,-0.4107340936886715,-0.4582894849114025,0.0
2018-09-25,1.0,-0.17550892755601047,-0.7061867394518367,-0.09550210394632094,-0.4095587399067441,-0.4564141931081543,0.0
2018-09-26,1.0,-0.17531987489337503,-0.7061131646289451,-0.09508103497298834,-0.40972419675860106,-0.45709411430196184,0.0
2018-09-27,1.0,-0.17462125526825378,-0.7104738580703952,-0.09414511903405853,-0.41052511675589476,-0.4579394008429206,0.0
2018-09-28,1.0,-0.17183668814506473,-0.7144323430461311,-0.09474254433483494,-0.4113018190112334,-0.4588299024918743,0.0
2018-10-01,1.0,-0.17241674270072996,-0.7137887773722629,-0.09474794708029198,-0.41155337591240876,-0.4587705291970803,0.0
2018-10-02,1.0,-0.17310488354192205,-0.7087550246600336,-0.09658750748353621,-0.4125495338826011,-0.4598739915044046,0.0
2018-10-03,1.0,-0.17285991109084692,-0.7036931494357688,-0.09597629089251111,-0.41425396101675593,-0.4628690299783426,0.0
2018-10-04,1.0,-0.17129656201572635,-0.7178442288928427,-0.09527635883602135,-0.41275899672846245,-0.47259369798542156,0.0
2018-10-05,1.0,-0.15766268716539267,-0.7133327607432219,-0.08325460219302014,-0.4229436857625469,-0.4857568209797017,0.0
2018-10-08,1.0,-0.15616156418832006,-0.7112025841122831,-0.08069633822142185,-0.42506360232112744,-0.4854071977817797,0.0
2018-10-09,1.0,-0.15350249155163526,-0.7137865857151039,-0.07199725070164385,-0.4312102640471963,-0.493355862305974,0.0
2018-10-10,1.0,-0.1527498996386993,-0.7162355909846877,-0.0702529104777198,-0.4317256408785915,-0.4964730171474451,0.0
2018-10-11,1.0,-0.10891979210563281,-0.7292316336564125,-0.011743222362691388,-0.431858407079646,-0.5276583789858126,0.0
2018-10-12,1.0,-0.10332675500422893,-0.7378629828023682,-0.005243868057513392,-0.43791936848040597,-0.5349027347053849,0.0
2018-10-15,1.0,-0.06269726179305639,-0.795245813074014,-0.0,-0.4393073445363815,-0.5461628138417356,0.0
2018-10-16,1.0,-0.06010804663065112,-0.7994313335228889,-0.0,-0.43847028717657094,-0.545294284901905,0.0
2018-10-17,1.0,-0.04451055231252806,-0.7730972159856309,-0.0,-0.43595644364616076,-0.5529299506061967,0.0
2018-10-18,1.0,-0.04367351521275401,-0.7716122151117099,-0.0,-0.43808240709554286,-0.5533849781071069,0.0
2018-10-19,1.0,-0.030063864796274088,-0.7661265582731406,-0.0,-0.43857545249184265,-0.554061968374376,0.0
2018-10-22,1.0,-0.03197853189467211,-0.7737462961927657,-0.0,-0.43702130038575504,-0.5525521328339017,0.0
