Date,CLCT,IWF,IWM,MTUM,SPY,VLUE,VXX
2018-09-24,1.0,-1.140016802016242,-1.4962895547465698,-0.7573508821058528,-1.329879585550266,-1.277233267992159,0.0
2018-09-25,1.0,-1.140067198656027,-1.4960100797984042,-0.757314853702926,-1.3296234075318496,-1.2768444631107378,0.0
2018-09-26,1.0,-1.140137197256055,-1.4962200755984882,-0.757454850902982,-1.3295534089318215,-1.2764944701105978,0.0
2018-09-27,1.0,-1.1439876742068773,-1.490160375376427,-0.7604173961762027,-1.3311156243434414,-1.2775404440086842,0.0
2018-09-28,1.0,-1.1426569506726456,-1.4928531390134527,-0.7611406950672646,-1.3316984304932735,-1.2783772421524662,0.0
2018-10-01,1.0,-1.143537987104009,-1.4925707877768433,-0.761354079058032,-1.332492290440146,-1.278735632183908,0.0
2018-10-02,1.0,-1.143728100911002,-1.489698668535389,-0.7624386825508058,-1.3327259985984583,-1.2790469516468115,0.0
2018-10-03,1.0,-1.1430972893465015,-1.4828745534776213,-0.7614344750297681,-1.3344540169503396,-1.282482314211669,0.0
2018-10-04,1.0,-1.1430171508575429,-1.480574028701435,-0.7615680784039202,-1.3341967098354919,-1.2809940497024852,0.0
2018-10-05,1.0,-1.1286252091466815,-1.4725320691578359,-0.7430284439486893,-1.3393056330172894,-1.288064696040156,0.0
2018-10-08,1.0,-1.1253043901760245,-1.4679607597578794,-0.7374243372991025,-1.3406386975579212,-1.2862311278090865,0.0
2018-10-09,1.0,-1.123816815144766,-1.46923719376392,-0.7330178173719376,-1.3434716035634744,-1.2902978841870825,0.0
2018-10-10,1.0,-1.1240606735318677,-1.4684803785137768,-0.7330921235736154,-1.3435151683829671,-1.2888254940161428,0.0
2018-10-11,1.0,-1.0598699965788574,-1.4931919261033186,-0.6148477591515565,-1.3471091344509065,-1.3272665070133425,0.0
2018-10-12,1.0,-1.067604294061693,-1.4910993341486614,-0.6012365810572088,-1.3298681886125832,-1.304593015355347,0.0
2018-10-15,1.0,-1.0456949152542372,-1.5272542372881357,-0.5656271186440679,-1.3301694915254239,-1.3109830508474576,0.0
