Date,IWF,IWM,MTUM,PRO,SPY,VLUE,VXX
2018-09-24,-0.6394534833196543,-1.4631390913918794,-0.17684545937334042,1.0,-0.8407280451890117,-0.7077197895041761,0.0
2018-09-25,-0.6426778646587508,-1.460324355632783,-0.18196737136789265,1.0,-0.8382083212665316,-0.703542813012839,0.0
2018-09-26,-0.6424640339866757,-1.460364970551318,-0.1810369798204113,1.0,-0.8387563966399537,-0.7050786907405621,0.0
2018-09-27,-0.6426640926640926,-1.4587355212355213,-0.18166023166023165,1.0,-0.8384169884169885,-0.7048262548262548,0.0
2018-09-28,-0.6391199226305609,-1.465667311411992,-0.1827852998065764,1.0,-0.8405705996131528,-0.7074468085106383,0.0
2018-10-01,-0.6429125084778606,-1.4653134386202888,-0.1824920065885089,1.0,-0.8443464780544522,-0.7094758259858541,0.0
2018-10-02,-0.6431754334980141,-1.461445316284026,-0.18424876489392616,1.0,-0.8445703768284413,-0.7101133391455972,0.0
2018-10-03,-0.6537839030849969,-1.4977193584776105,-0.18887635489724855,1.0,-0.8524204227769877,-0.7118053852567562,0.0
2018-10-04,-0.6541442464333316,-1.5142913560744435,-0.18941600434417732,1.0,-0.8542232314755394,-0.7244902996495038,0.0
2018-10-05,-0.6379437325084696,-1.5081749889527176,-0.17209210978543724,1.0,-0.86026415279619,-0.73142829086267,0.0
2018-10-08,-0.6347255545218626,-1.5029133819713067,-0.16736032904078738,1.0,-0.8624100279097097,-0.7290799588699016,0.0
2018-10-09,-0.6454442418567979,-1.5119006553984133,-0.18099837382348594,1.0,-0.8636475631991327,-0.7258167841127483,0.0
2018-10-10,-0.6466357994286277,-1.5104423209536004,-0.18244507930253176,1.0,-0.8640035464486258,-0.7221948576494926,0.0
2018-10-11,-0.5779125408632207,-1.5027715923627234,-0.09840337328848249,1.0,-0.8334675700004737,-0.7252096460889752,0.0
2018-10-12,-0.5963770829432691,-1.5027616551207639,-0.09211758097734507,1.0,-0.802986332147538,-0.6865755476502527,0.0
2018-10-15,-0.5953573267187718,-1.5076519867084757,-0.08765853886834839,1.0,-0.803482004960921,-0.6859175363878879,0.0
2018-10-16,-0.5941038839494618,-1.5117454375292467,-0.08446420215255031,1.0,-0.8034160037435658,-0.6857276555919514,0.0
2018-10-17,-0.5709315632867933,-1.4581368734264133,-0.06866559853513389,1.0,-0.7916227969787136,-0.6883039597161822,0.0
2018-10-18,-0.5721746300792523,-1.4608548261487013,-0.06747904164185257,1.0,-0.7914242521416464,-0.6891291401346832,0.0
2018-10-19,-0.5647857175388259,-1.4585781299813272,-0.05806804208225167,1.0,-0.7893154802568657,-0.683608871885959,0.0
2018-10-22,-0.5659398188191378,-1.453407383802977,-0.055355760914098426,1.0,-0.7916875312969455,-0.6859379979059499,0.0
2018-10-23,-0.5709206927985415,-1.4543299908842295,-0.06422060164083865,1.0,-0.7854603463992708,-0.6829535095715588,0.0
2018-10-24,-0.5806333180357962,-1.4584212941716383,-0.04346030289123451,1.0,-0.8034878384580083,-0.7032583754015602,0.0
2018-10-25,-0.536620835536753,-1.3899612198131501,-0.039397144368059224,1.0,-0.7921293848052177,-0.6487308302485457,0.0
2018-10-26,-0.5226491449458248,-1.3710891606109394,-0.0273269222401114,1.0,-0.7933510291110049,-0.6369609677559724,0.0
2018-10-29,-0.4861848859527742,-1.4563674507878408,-0.0,1.0,-0.8175690755702361,-0.7035218497522653,0.0
2018-10-30,-0.458456574347943,-1.4637447342475576,-0.0,1.0,-0.825625168055929,-0.7337097786143228,0.0
2018-10-31,-0.4664560903995017,-1.4312661268796156,-0.0,1.0,-0.8242726221194057,-0.726844025269152,0.0
2018-11-01,-0.41769983319056847,-1.4966863531851584,-0.0,1.0,-0.8448672287092557,-0.7491095983048555,0.0
2018-11-02,-0.4312702410939187,-1.4474181360201512,-0.0,1.0,-0.87180640518172,-0.7475260885210508,0.0
2018-11-05,-0.42657374100719425,-1.460341726618705,-0.0,1.0,-0.8725719424460433,-0.7369604316546763,0.0
