Date,IWF,IWM,MTEM,MTUM,SPY,VLUE,VXX
2018-09-24,-3.2886806321205437,-4.04649026093348,1.0,-2.6582138919514886,-3.705806688717383,-3.6765894891583977,0.0
2018-09-25,-3.289913650560353,-4.044093330883704,1.0,-2.660848796619511,-3.7040235164431383,-3.673525629248576,0.0
2018-09-26,-3.3027116768123963,-4.061427780852242,1.0,-2.6683268769599704,-3.7210846707249585,-3.6932300313595277,0.0
2018-09-27,-3.3166851646318904,-4.064372918978912,1.0,-2.678690344062153,-3.7336293007769146,-3.704587495375509,0.0
2018-09-28,-3.313979289940828,-4.064349112426036,1.0,-2.6771449704142007,-3.732248520710059,-3.7034023668639056,0.0
2018-10-01,-3.313979289940828,-4.064718934911242,1.0,-2.676775147928994,-3.732248520710059,-3.7034023668639056,0.0
2018-10-02,-3.343773303504847,-4.087061894108874,1.0,-2.7000372856077552,-3.7706935123042506,-3.7412378821774794,0.0
2018-10-03,-3.336558139534884,-4.070883720930233,1.0,-2.6937674418604654,-3.765395348837209,-3.7378604651162792,0.0
2018-10-04,-3.335005574136009,-4.060200668896321,1.0,-2.6908212560386473,-3.764028242289112,-3.730211817168339,0.0
2018-10-05,-3.2868973132131027,-4.016746411483253,1.0,-2.6426205373573795,-3.742730953257269,-3.7136547662863455,0.0
2018-10-08,-3.2910599078341014,-4.021751152073733,1.0,-2.640184331797235,-3.7574193548387096,-3.7227649769585254,0.0
2018-10-09,-3.290298782736998,-4.025267428992992,1.0,-2.6350055330136484,-3.762818148284766,-3.729988933972704,0.0
2018-10-10,-3.29902051376825,-4.0327111439659955,1.0,-2.642210312326742,-3.7721308445758646,-3.734614673812604,0.0
2018-10-11,-3.122785036692321,-3.9770896724539107,1.0,-2.4059423662072668,-3.6869518525147664,-3.7057454805799175,0.0
2018-10-12,-3.063450445726272,-3.8926761055759487,1.0,-2.3342073064149624,-3.5881838839363747,-3.6009438909281597,0.0
2018-10-15,-3.01128276340913,-3.9244922756465894,1.0,-2.264884568651276,-3.5672626280159694,-3.5901753167852806,0.0
2018-10-16,-3.0133959638135,-3.9514613778705634,1.0,-2.2567849686847596,-3.5762004175365343,-3.5995128740431452,0.0
2018-10-17,-2.9541866849691147,-3.8677076183939603,1.0,-2.1832532601235415,-3.5542210020590255,-3.5991763898421416,0.0
2018-10-18,-2.9521522894872234,-3.864345738295318,1.0,-2.182644486365975,-3.5532498713771226,-3.5973246441433715,0.0
2018-10-19,-2.8763233070072256,-3.7837338262476896,1.0,-2.109561418249034,-3.496219122836498,-3.538060830112586,0.0
2018-10-22,-2.868967828418231,-3.76843163538874,1.0,-2.100033512064343,-3.4886058981233243,-3.5301608579088475,0.0
2018-10-23,-2.8688442211055274,-3.766499162479062,1.0,-2.101507537688442,-3.4857621440536013,-3.527805695142378,0.0
2018-10-24,-2.8571428571428568,-3.7533377837116153,1.0,-2.0839452603471296,-3.475801068090788,-3.5186915887850465,0.0
2018-10-25,-2.610646858557722,-3.456050758279171,1.0,-1.8867223769730734,-3.263695450324977,-3.2579696688331787,0.0
2018-10-26,-2.5573520439292254,-3.4087858450274564,1.0,-1.8221476510067116,-3.245576571079927,-3.219341061622941,0.0
2018-10-29,-2.511258878645912,-3.4044128759256456,1.0,-1.7760314341846757,-3.213087501889073,-3.207646969925948,0.0
2018-10-30,-2.493672793009943,-3.395450436878578,1.0,-1.7621271467309432,-3.2050316360349504,-3.2084965351009345,0.0
2018-10-31,-2.463092232288727,-3.3285311154017525,1.0,-1.7307292440219813,-3.165602257537502,-3.164265557700876,0.0
