Date,EFR,IWF,IWM,MTUM,SPY,VLUE,VXX
2018-09-24,1.0,-0.07120420579288454,-0.23072344927919586,-0.0,-0.17925869593969052,-0.1720506546753075,0.0
2018-09-25,1.0,-0.07132111032122604,-0.23069419875345115,-0.0,-0.17924512705209383,-0.1719873691867674,0.0
2018-09-26,1.0,-0.07084270406138378,-0.23040415398862282,-0.0,-0.17938880804339197,-0.17303876174097102,0.0
2018-09-27,1.0,-0.0720872583044125,-0.22789621550157,-0.0,-0.17955709800033054,-0.17307882994546359,0.0
2018-09-28,1.0,-0.07301624053186916,-0.22763205768531078,-0.0,-0.17986967882777097,-0.17330400555684186,0.0
2018-10-01,1.0,-0.07330951435754929,-0.22740505491597193,-0.0,-0.18004829958978433,-0.1733326716951171,0.0
2018-10-02,1.0,-0.0750835732962632,-0.2213120180054943,-0.0,-0.1826035150431933,-0.17593420050971437,0.0
2018-10-03,1.0,-0.07488046589348643,-0.21921479741243816,-0.0,-0.1832304816107738,-0.17714210082226228,0.0
2018-10-04,1.0,-0.07585807625506574,-0.21769911504424777,-0.0,-0.18438507981142999,-0.1761971714498387,0.0
2018-10-05,1.0,-0.0690097317201473,-0.21251972645975803,-0.0,-0.1847218569174119,-0.17760389268805893,0.0
2018-10-08,1.0,-0.07016155621496868,-0.2148203099241675,-0.0,-0.1848334981866139,-0.1787174414770854,0.0
2018-10-09,1.0,-0.07365326815734717,-0.2162367473659874,-0.0,-0.184496482478449,-0.17701555636291574,0.0
2018-10-10,1.0,-0.0732299459941535,-0.2164858214008489,-0.0,-0.18434656228839452,-0.17747609374225834,0.0
2018-10-11,1.0,-0.050318307504340555,-0.2073660857822648,-0.0,-0.17313999099736352,-0.1767892740016719,0.0
2018-10-12,1.0,-0.04902757203612558,-0.2035807011675507,-0.0,-0.16837896815915643,-0.17186728468804255,0.0
2018-10-15,1.0,-0.03694937332210767,-0.21405537640386968,-0.0,-0.16566853584534003,-0.1718638305984019,0.0
2018-10-16,1.0,-0.03304641135383685,-0.22158756423923248,-0.0,-0.16518432483174492,-0.1712621915323543,0.0
2018-10-17,1.0,-0.029891562075179415,-0.21550061648382918,-0.0,-0.16371597483481395,-0.17161961367013373,0.0
2018-10-18,1.0,-0.029696241742263808,-0.21512785662357367,-0.0,-0.16400101147390714,-0.1716028700572115,0.0
2018-10-19,1.0,-0.02377221299401385,-0.20942113015952613,-0.0,-0.16345942896543078,-0.1704171498417275,0.0
2018-10-22,1.0,-0.02448332181669703,-0.2136283686161191,-0.0,-0.162620139455996,-0.16971857528739243,0.0
2018-10-23,1.0,-0.024079542598642877,-0.21368434279969842,-0.0,-0.16302777079668257,-0.1699547625031415,0.0
