Date,ENSG,IWF,IWM,MTUM,SPY,VLUE,VXX
2018-09-24,1.0,-0.4607774943967849,-1.15901537985934,-0.18336038333719762,-0.6098230156890022,-0.4513099930442847,0.0
2018-09-25,1.0,-0.4680150335154404,-1.1585880894261693,-0.19140609864775854,-0.6091285985508931,-0.4474795613933124,0.0
2018-09-26,1.0,-0.4709832692830247,-1.1630759675478437,-0.1956445790147898,-0.6097589379294281,-0.44237413143899695,0.0
2018-09-27,1.0,-0.4737066625300551,-1.1549290312572715,-0.19789808423175367,-0.6095943535251688,-0.4419452416039712,0.0
2018-09-28,1.0,-0.4712112982074959,-1.1575230852797391,-0.19857220454721813,-0.6099169705905175,-0.4426553891518584,0.0
2018-10-01,1.0,-0.4708485366043009,-1.158644515177393,-0.19897523484201535,-0.6099293533110782,-0.44328856455244153,0.0
2018-10-02,1.0,-0.47162457125038976,-1.1803476769566572,-0.1935609603991269,-0.6095650140318054,-0.4426255067040848,0.0
2018-10-03,1.0,-0.4715143013015353,-1.1785519445093913,-0.19371054477437455,-0.6097342373938118,-0.4433013794715922,0.0
2018-10-04,1.0,-0.4708546441260297,-1.1832272674032716,-0.19388591730761723,-0.6090657088197399,-0.44723382657244365,0.0
2018-10-05,1.0,-0.45318117867750507,-1.181725808972956,-0.1732061904017508,-0.6302172893543848,-0.46979052680944194,0.0
2018-10-08,1.0,-0.4511633354153654,-1.1787945034353529,-0.16759056839475328,-0.6363600874453467,-0.4699016239850094,0.0
2018-10-09,1.0,-0.45079439434750357,-1.1792559628371786,-0.1665690752234844,-0.6367646484756215,-0.470273646406683,0.0
2018-10-10,1.0,-0.4739828950523539,-1.201582607305571,-0.17484613540084726,-0.6680121493086084,-0.47801934297817916,0.0
2018-10-11,1.0,-0.41260344224717355,-1.2186176619138271,-0.08764909281634874,-0.6611756478495667,-0.505147830141031,0.0
2018-10-12,1.0,-0.41159063833057913,-1.215748818262173,-0.08297144613965644,-0.6467468583067523,-0.4859536528188771,0.0
2018-10-15,1.0,-0.393961482390854,-1.2474487838563646,-0.05735440804112637,-0.6477019872631014,-0.4899869561881378,0.0
2018-10-16,1.0,-0.39866086889598645,-1.2397352522415055,-0.06549428560434063,-0.6507099703698003,-0.4935159887636126,0.0
2018-10-17,1.0,-0.3815888838544026,-1.2001585863162665,-0.0540703821175049,-0.6431807884005436,-0.4968660323214016,0.0
2018-10-18,1.0,-0.3820963172804533,-1.201473087818697,-0.05340887629839471,-0.6429839471199245,-0.49714825306893295,0.0
2018-10-19,1.0,-0.3692054220025462,-1.193589455553059,-0.04205047554856586,-0.6456601512768666,-0.49397139219651015,0.0
2018-10-22,1.0,-0.369180057684384,-1.194104206465146,-0.04427463759973031,-0.6446042626512343,-0.49357605723489534,0.0
