Date,EPAY,IWF,IWM,MTUM,SPY,VLUE,VXX
2018-09-24,1.0,-0.4246472718192034,-0.7469409414408791,-0.19037957298039707,-0.4497752528405544,-0.30977650143588464,0.0
2018-09-25,1.0,-0.4261108337493759,-0.745381927109336,-0.19283574638042936,-0.448389915127309,-0.3076323015476785,0.0
2018-09-26,1.0,-0.4263471559175014,-0.7456706917532528,-0.1934537739087023,-0.4481575088146276,-0.3065618272020968,0.0
2018-09-27,1.0,-0.42731978049388875,-0.7421426789723123,-0.19437515589922674,-0.447867298578199,-0.3062484410077326,0.0
2018-09-28,1.0,-0.42436161578323034,-0.7462383717300368,-0.1949491165636511,-0.4487107448336143,-0.30745457950927135,0.0
2018-10-01,1.0,-0.42408935462617264,-0.7546512722366893,-0.1954946192702287,-0.45138518495278135,-0.3117999560756753,0.0
2018-10-02,1.0,-0.42385228914149337,-0.7606606795201909,-0.1939333040256233,-0.45060604157508,-0.31109087483514414,0.0
2018-10-03,1.0,-0.427708557333502,-0.7797419518057049,-0.1957814180001265,-0.45126810448421983,-0.30785529062045414,0.0
2018-10-04,1.0,-0.4269477949789471,-0.7825054611074177,-0.19584006078449995,-0.4504384715230949,-0.31009592553898757,0.0
2018-10-05,1.0,-0.4372706092618006,-0.7981361503845786,-0.19790636070596496,-0.45150480324258774,-0.30673730571601826,0.0
2018-10-08,1.0,-0.43590724970497247,-0.7958728032405193,-0.193123465059165,-0.45730871049022426,-0.3072433259975122,0.0
2018-10-09,1.0,-0.4422522580231888,-0.7997245531996668,-0.20296585740823778,-0.4555441675741464,-0.3023509064121453,0.0
2018-10-10,1.0,-0.4425410649675003,-0.7993980340046749,-0.20325958182575005,-0.4555409689090968,-0.301207133937434,0.0
2018-10-11,1.0,-0.434147114774889,-0.8011097019657577,-0.19013950538998098,-0.4496829422954978,-0.29549778059606846,0.0
2018-10-12,1.0,-0.4386730274307953,-0.7979725064339965,-0.18872010545477372,-0.4360366580880045,-0.27713263448622183,0.0
2018-10-15,1.0,-0.45090920570779147,-0.7885149640106074,-0.19967798964515723,-0.44045965399671677,-0.27740244980426826,0.0
2018-10-16,1.0,-0.4513592876764232,-0.7871238672602697,-0.20084619999368508,-0.4405607653689495,-0.27760411733131257,0.0
2018-10-17,1.0,-0.4431055474042394,-0.7668654200355883,-0.1947991134142915,-0.43720538194986425,-0.2798052008865857,0.0
2018-10-18,1.0,-0.4450523682976395,-0.7708300765984054,-0.19302798186649991,-0.43661091136470215,-0.28091292793496947,0.0
2018-10-19,1.0,-0.4383093692742461,-0.7644172541225428,-0.18629856215645477,-0.43846464395515666,-0.2780037887022142,0.0
2018-10-22,1.0,-0.4383889199428607,-0.7633376808893858,-0.18610645301534068,-0.4388547295199056,-0.2787093969318676,0.0
2018-10-23,1.0,-0.4427993779160186,-0.7643234836702955,-0.19390357698289268,-0.4332192846034214,-0.27617418351477446,0.0
2018-10-24,1.0,-0.44372280919825985,-0.7630515848353014,-0.19042883778744563,-0.4338098197638285,-0.2765071472964575,0.0
2018-10-25,1.0,-0.4392448406700188,-0.7561773143720887,-0.18962272881512784,-0.43162538174414655,-0.26810007095042726,0.0
2018-10-26,1.0,-0.43275534587341463,-0.7488511733349672,-0.18274002818454751,-0.43489982231480917,-0.264322039090742,0.0
2018-10-29,1.0,-0.4214606158635212,-0.760093997009186,-0.17212439344462416,-0.4288766136661885,-0.2693258461256752,0.0
2018-10-30,1.0,-0.4292178805112212,-0.7606861126398826,-0.17645080413379807,-0.42882039992661897,-0.262337185837461,0.0
2018-10-31,1.0,-0.4322139492478347,-0.7444765233247227,-0.17824038899863243,-0.42640936027959275,-0.25774198450083574,0.0
2018-11-01,1.0,-0.45225867954119137,-0.732740859190012,-0.1930563670469572,-0.4334081613825764,-0.26369199544881455,0.0
