Date,IWF,IWM,MTUM,RE,SPY,VLUE,VXX
2018-09-24,-0.2161100196463654,-0.6081443114841936,-0.0,1.0,-0.5481335952848723,-0.6043341072810621,0.0
2018-09-25,-0.21385884180959777,-0.6130699814737345,-0.0,1.0,-0.5518735432976752,-0.609275085161059,0.0
2018-09-26,-0.21470192738682203,-0.6138652323322875,-0.0,1.0,-0.5518601523980278,-0.6077693112206782,0.0
2018-09-27,-0.2158853389071365,-0.6108689160943566,-0.0,1.0,-0.5517169304269931,-0.60749477455957,0.0
2018-09-28,-0.21564002269266372,-0.6112089815174226,-0.0,1.0,-0.5516407393030963,-0.607387059209937,0.0
2018-10-01,-0.21594505822633622,-0.6110480740519558,-0.0,1.0,-0.5516572111077934,-0.6073156166019708,0.0
2018-10-02,-0.21470994060831483,-0.6310216569680245,-0.0,1.0,-0.5494030835683004,-0.6044453776471294,0.0
2018-10-03,-0.21457124823419793,-0.6194884433891377,-0.0,1.0,-0.5564004688767996,-0.615190406059331,0.0
2018-10-04,-0.2190788286934039,-0.6137033251157477,-0.0,1.0,-0.5620828573146532,-0.6115687571402801,0.0
2018-10-05,-0.2003893381251872,-0.6040431266846362,-0.0,1.0,-0.5686732554657083,-0.6218328840970351,0.0
2018-10-08,-0.1972319373449317,-0.6003049053896512,-0.0,1.0,-0.5709502884644128,-0.6208112874779542,0.0
2018-10-09,-0.19574964131994263,-0.6001614060258249,-0.0,1.0,-0.571377331420373,-0.6217120994739358,0.0
2018-10-10,-0.20019162824121206,-0.6001856398586741,-0.0,1.0,-0.5753039104137972,-0.6185100904245764,0.0
2018-10-11,-0.18059586566368535,-0.5937333412308239,-0.0,1.0,-0.5690339394657348,-0.6181958182787419,0.0
2018-10-12,-0.18234950321449445,-0.5847457627118644,-0.0,1.0,-0.5534774985388662,-0.6016949152542372,0.0
2018-10-15,-0.15281227173119064,-0.6147552958363769,-0.0,1.0,-0.549627465303141,-0.604645726807889,0.0
2018-10-16,-0.14757406486707805,-0.6246892638844208,-0.0,1.0,-0.5486795542947387,-0.6036323224051706,0.0
2018-10-17,-0.12804720103612033,-0.5900992948625702,-0.0,1.0,-0.5461217441358469,-0.6138437185206504,0.0
