Date,IWF,IWM,MOFG,MTUM,SPY,VLUE,VXX
2018-09-24,-0.14993068452303107,-0.6901990531244279,1.0,-0.05032565195783527,-0.36057126415735924,-0.36465172242421073,0.0
2018-09-25,-0.15089554190090207,-0.6890835403320695,1.0,-0.051980651065498755,-0.359602562426461,-0.3631585828212838,0.0
2018-09-26,-0.15049281744783477,-0.6898395721925135,1.0,-0.048233197022124356,-0.3625353884869456,-0.3702684282269057,0.0
2018-09-27,-0.15103238654229117,-0.6880568074625302,1.0,-0.04876323236558013,-0.3623833979666702,-0.37006079027355626,0.0
2018-09-28,-0.14850186283255498,-0.6917405677703731,1.0,-0.04929947001101958,-0.36314739990554656,-0.3709922862989978,0.0
2018-10-01,-0.14806061083536856,-0.6935056067648835,1.0,-0.04968617873368523,-0.36321857191627926,-0.37167467633078594,0.0
2018-10-02,-0.14828338017809767,-0.6944495521290289,1.0,-0.049620426068454654,-0.3629987653996691,-0.3714570910714755,0.0
2018-10-03,-0.1480790945615924,-0.6883747800740526,1.0,-0.0487644757228014,-0.365326540794622,-0.37546282923242563,0.0
2018-10-04,-0.14710761210142448,-0.6938834619131625,1.0,-0.04868479949445746,-0.36401695673925066,-0.37936754522235977,0.0
2018-10-05,-0.1340181808628028,-0.6901108717355893,1.0,-0.03659818191371972,-0.37441542746045925,-0.3921496505701224,0.0
2018-10-08,-0.13254971926326287,-0.6880149026604399,1.0,-0.03339980059820539,-0.3777089783281734,-0.39208689720312745,0.0
2018-10-09,-0.13089925980366424,-0.6889338022993333,1.0,-0.029030395296341018,-0.3803086776208725,-0.395637566276445,0.0
2018-10-10,-0.13281865448243266,-0.687936557953889,1.0,-0.031038285804317004,-0.3817551599180716,-0.39236384643663674,0.0
2018-10-11,-0.10324468631276311,-0.6898808912619365,1.0,-0.0,-0.3740117055139131,-0.3998613820720813,0.0
2018-10-12,-0.1012181785814196,-0.6883853411662978,1.0,-0.0,-0.36415655756466014,-0.3894102388036927,0.0
2018-10-15,-0.09231198761389883,-0.6953222162999061,1.0,-0.0,-0.36176045077286223,-0.388740830985558,0.0
2018-10-16,-0.09113519275182093,-0.697129660178159,1.0,-0.0,-0.3613176661675507,-0.3882953074638987,0.0
2018-10-17,-0.08246231155778895,-0.6819095477386934,1.0,-0.0,-0.35809045226130654,-0.39010050251256284,0.0
2018-10-18,-0.08355564503951275,-0.6853576282277143,1.0,-0.0,-0.35697387627724364,-0.3908491468263955,0.0
2018-10-19,-0.07921539041870992,-0.6887966804979252,1.0,-0.0,-0.3563686659122344,-0.39039356217779453,0.0
2018-10-22,-0.08067442915469529,-0.695297141993044,1.0,-0.0,-0.3550582186602147,-0.38925853117596654,0.0
2018-10-23,-0.07552908376631605,-0.699531111392726,1.0,-0.0,-0.363908249904955,-0.3955392218983652,0.0
2018-10-24,-0.07379933669206815,-0.6981442568166283,1.0,-0.0,-0.36368009316691563,-0.3960606597635383,0.0
2018-10-25,-0.08441743917322322,-0.7259224637116667,1.0,-0.0,-0.3712965126846875,-0.41502427877749215,0.0
2018-10-26,-0.1066280876600761,-0.7522370465627176,1.0,-0.0,-0.38308417724910254,-0.43712157745271396,0.0
2018-10-29,-0.15075334108901056,-0.7795590613738898,1.0,-0.0,-0.44596090003688676,-0.4611412195329569,0.0
