Date,BMI,IWF,IWM,MTUM,SPY,VLUE,VXX
2018-09-24,1.0,-0.38282672643227345,-0.9925759910351591,-0.01817481439977588,-0.5973175514777981,-0.511030956716627,0.0
2018-09-25,1.0,-0.3836244617915777,-0.9913886652431129,-0.01974306017432702,-0.5962824237756852,-0.509538978541674,0.0
2018-09-26,1.0,-0.3833520494104436,-0.9925603593486805,-0.015475856260527793,-0.5999087591240876,-0.5179323413812466,0.0
2018-09-27,1.0,-0.38458571478663345,-0.9881131876994285,-0.016725691644167047,-0.5995301378028682,-0.517479575020162,0.0
2018-09-28,1.0,-0.3843618513323983,-0.9879032258064516,-0.017180925666199158,-0.5993688639551192,-0.517461430575035,0.0
2018-10-01,1.0,-0.3853545626709687,-0.9868485656168898,-0.017219611418952094,-0.600021042295013,-0.517570316335835,0.0
2018-10-02,1.0,-0.3853845074375526,-0.989545326971653,-0.016944990176817287,-0.5993895593600898,-0.5170502385630087,0.0
2018-10-03,1.0,-0.38538229305623817,-0.9782700273818717,-0.015060029488169629,-0.6053148915256618,-0.5264340377729412,0.0
2018-10-04,1.0,-0.39891116060381093,-0.9715770495280518,-0.015979071658358962,-0.6250220949552798,-0.5237388199526284,0.0
2018-10-05,1.0,-0.39232477006026,-0.9708566797053952,-0.0066603235014272115,-0.6281143179335377,-0.5260245973852063,0.0
2018-10-08,1.0,-0.3904892546867855,-0.9679223382927086,-0.003200731595793324,-0.6305792972459638,-0.5250958460835005,0.0
2018-10-09,1.0,-0.3825310806503028,-0.9748521234016929,-0.0,-0.6429709913930506,-0.5415648354762158,0.0
2018-10-10,1.0,-0.3819173811379579,-0.9756961666548571,-0.0,-0.6429887337915398,-0.5422659958903139,0.0
2018-10-11,1.0,-0.3388750346356332,-0.9667844278193406,-0.0,-0.6226447769465226,-0.5352937101690219,0.0
2018-10-12,1.0,-0.3444406431748204,-0.9623332192952445,-0.0,-0.6031816626753336,-0.5111871365035922,0.0
2018-10-15,1.0,-0.3116469984607491,-0.9972977595348042,-0.0,-0.5983239268000684,-0.5132888660851719,0.0
2018-10-16,1.0,-0.3038872891814069,-1.0136089400795285,-0.0,-0.5977649801179213,-0.5126833950363362,0.0
2018-10-17,1.0,-0.2931443683461043,-0.9930833389842002,-0.0,-0.5919170000678105,-0.5124093035871703,0.0
2018-10-18,1.0,-0.2933595604693753,-0.9941328087906125,-0.0,-0.5914671369463474,-0.5124804992199687,0.0
2018-10-19,1.0,-0.2785146781578238,-0.9864328036628063,-0.0,-0.5920414758955022,-0.5095610018852679,0.0
2018-10-22,1.0,-0.279830119994607,-0.9909666981259269,-0.0,-0.5909397330457058,-0.5088984764729675,0.0
2018-10-23,1.0,-0.2859456177046083,-0.9924431549827946,-0.0,-0.5876121719182241,-0.5075905809324607,0.0
2018-10-24,1.0,-0.284297520661157,-0.9882610895597909,-0.0,-0.5895091921065947,-0.5111823241693372,0.0
2018-10-25,1.0,-0.2513022113022113,-0.947944307944308,-0.0,-0.5961343161343161,-0.48062244062244064,0.0
2018-10-26,1.0,-0.23348260643821392,-0.9354231568016615,-0.0,-0.6032580477673937,-0.47290368639667707,0.0
2018-10-29,1.0,-0.21092436974789916,-0.9482870071105365,-0.0,-0.5937621202327085,-0.47908855850032317,0.0
2018-10-30,1.0,-0.20622920099512132,-0.9481438402636425,-0.0,-0.5937772608316371,-0.48276307712190236,0.0
2018-10-31,1.0,-0.20957180458368108,-0.9314373756178982,-0.0,-0.5910316492264236,-0.477787764011042,0.0
2018-11-01,1.0,-0.20083346690174705,-0.9373938131110755,-0.0,-0.5900304535983331,-0.4773841961852861,0.0
2018-11-02,1.0,-0.2031220072782992,-0.9234182468237249,-0.0,-0.5919044882844922,-0.47382366085679634,0.0
2018-11-05,1.0,-0.2001531784528976,-0.9315483788613734,-0.0,-0.5924814909369415,-0.4670347204493234,0.0
2018-11-06,1.0,-0.2058476172236586,-0.9361933033291838,-0.0,-0.588719716556545,-0.46113824252290203,0.0
2018-11-07,1.0,-0.20944181097030085,-0.9445035632517493,-0.0,-0.6008190642030248,-0.4698977782077327,0.0
2018-11-08,1.0,-0.19382004482869036,-0.9441242395132884,-0.0,-0.5936919628562279,-0.47038104386807555,0.0
2018-11-09,1.0,-0.19542072857875833,-0.9453245253976398,-0.0,-0.5939584402257567,-0.4720369420215495,0.0
2018-11-12,1.0,-0.19458734063967792,-0.9349138895101767,-0.0,-0.5966386554621849,-0.46902259002460295,0.0
2018-11-13,1.0,-0.1693141824407876,-0.9356352452519103,-0.0,-0.6008116934588922,-0.4649481594216684,0.0
