Date,IWF,IWM,MTUM,NPK,SPY,VLUE,VXX
2018-09-24,-0.24332645278662143,-1.0588811531329811,-0.0,1.0,-0.5844383024874926,-0.6119371654479937,0.0
2018-09-25,-0.24723660277039317,-1.0575416258570027,-0.0,1.0,-0.5836015111235483,-0.6095564572547921,0.0
2018-09-26,-0.2500175057769064,-1.0606400112036973,-0.0,1.0,-0.5843078215811218,-0.6061550311602829,0.0
2018-09-27,-0.2536117815790394,-1.053380907405464,-0.0,1.0,-0.58484625878896,-0.6062545912477699,0.0
2018-09-28,-0.2591240875912409,-1.0534460976979225,-0.0,1.0,-0.5879421673217293,-0.608752105558675,0.0
2018-10-01,-0.25910973811696975,-1.0542722740995576,-0.0,1.0,-0.5879730393877695,-0.6091413325844275,0.0
2018-10-02,-0.25963766589424897,-1.05435011586265,-0.0,1.0,-0.5879151744961729,-0.6090513306649814,0.0
2018-10-03,-0.2597676132972935,-1.0529715308737317,-0.0,1.0,-0.5880928142661566,-0.6095411942289465,0.0
2018-10-04,-0.260790230893396,-1.0508807635623554,-0.0,1.0,-0.5888483402344024,-0.6084637518422346,0.0
2018-10-05,-0.2354241212376342,-1.0442363011295868,-0.0,1.0,-0.6021890128394023,-0.6262190416052761,0.0
2018-10-08,-0.23178158907945398,-1.0401470073503674,-0.0,1.0,-0.6037801890094504,-0.624501225061253,0.0
2018-10-09,-0.22830234919301196,-1.0402968875818368,-0.0,1.0,-0.6052235409445786,-0.6272100269579526,0.0
2018-10-10,-0.23100357167868898,-1.039533580782968,-0.0,1.0,-0.6072203935849849,-0.6239232439246446,0.0
2018-10-11,-0.16214019641043007,-1.0261429055198104,-0.0,1.0,-0.5762952929224517,-0.6218083305113444,0.0
2018-10-12,-0.1542052912916977,-1.0318357128357805,-0.0,1.0,-0.5757155423235671,-0.6214222883821638,0.0
2018-10-15,-0.13017072676968758,-1.0527363519805657,-0.0,1.0,-0.5701126931641812,-0.6210270598555908,0.0
2018-10-16,-0.12972334682860998,-1.0534075573549257,-0.0,1.0,-0.5699055330634277,-0.6208164642375169,0.0
2018-10-17,-0.1103560299675131,-1.0180335477027116,-0.0,1.0,-0.562189219651263,-0.6244115892063913,0.0
2018-10-18,-0.10930394662595015,-1.0163640588176721,-0.0,1.0,-0.5673316294353902,-0.6262820725594981,0.0
2018-10-19,-0.09438313292703014,-1.0104430901004777,-0.0,1.0,-0.5656399275242958,-0.6238840388733322,0.0
2018-10-22,-0.09473476242220685,-1.0046428924231945,-0.0,1.0,-0.5677170799170207,-0.6257367710494254,0.0
2018-10-23,-0.11632107023411371,-1.0229765886287625,-0.0,1.0,-0.5711705685618729,-0.6340133779264214,0.0
2018-10-24,-0.11356804061727573,-1.0201750283920104,-0.0,1.0,-0.571113634845347,-0.6353797848887701,0.0
2018-10-25,-0.0827213613276827,-0.9797483096632267,-0.0,1.0,-0.5675325935751028,-0.6050920384329204,0.0
2018-10-26,-0.06723415149284778,-0.9658869083810682,-0.0,1.0,-0.571154276936862,-0.5958270664661269,0.0
