Date,GMS,IWF,IWM,MTUM,SPY,VLUE,VXX
2018-09-24,1.0,-0.646804447938897,-1.6651128832977646,-0.0,-1.1864540042682243,-1.1177131304054813,0.0
2018-09-25,1.0,-0.6462293417564443,-1.6740368887134074,-0.0,-1.1936939477691917,-1.126515877940098,0.0
2018-09-26,1.0,-0.6451958902562945,-1.674325392345038,-0.0,-1.1950999209664672,-1.1306311392119228,0.0
2018-09-27,1.0,-0.6470322980666253,-1.666647877797193,-0.0,-1.193844766360408,-1.1291922665013245,0.0
2018-09-28,1.0,-0.6442611839132399,-1.6749887031179396,-0.0,-1.1967916854948035,-1.132399457749661,0.0
2018-10-01,1.0,-0.6445235270858046,-1.6750268316104617,-0.0,-1.1966898265830652,-1.1325199118793425,0.0
2018-10-02,1.0,-0.6468010018214936,-1.7137408925318762,-0.0,-1.1983151183970857,-1.1332536429872495,0.0
2018-10-03,1.0,-0.645647353158583,-1.7052936828339116,-0.0,-1.199067493034628,-1.136009552510377,0.0
2018-10-04,1.0,-0.6531111363894893,-1.6956546467978615,-0.0,-1.208281196678421,-1.130644977818223,0.0
2018-10-05,1.0,-0.622747047855811,-1.6807729250240127,-0.0,-1.210463868015142,-1.136052884343748,0.0
2018-10-08,1.0,-0.616421361303784,-1.6737720633846502,-0.0,-1.215192014887498,-1.1338183048553545,0.0
2018-10-09,1.0,-0.6099090446867409,-1.6762329811875034,-0.0,-1.2208914750579063,-1.1423083441613469,0.0
2018-10-10,1.0,-0.6095113932660696,-1.6839927445867817,-0.0,-1.2244643464459812,-1.1503230926198844,0.0
2018-10-11,1.0,-0.4591825613079019,-1.6614713896457765,-0.0,-1.1704632152588557,-1.1584196185286104,0.0
2018-10-12,1.0,-0.4524698602368506,-1.6383761869198765,-0.0,-1.1296809986130376,-1.1138909634055265,0.0
2018-10-15,1.0,-0.40234791889007465,-1.6921024546424759,-0.0,-1.123212379935966,-1.1185165421558163,0.0
2018-10-16,1.0,-0.4031061535998292,-1.6914660831509845,-0.0,-1.1235523296152,-1.1188557399797192,0.0
2018-10-17,1.0,-0.3587240263130417,-1.6156416414325991,-0.0,-1.1128223869687794,-1.1336013365354496,0.0
2018-10-18,1.0,-0.3650076207494613,-1.632259420823041,-0.0,-1.1166237452041836,-1.1418510537657014,0.0
2018-10-19,1.0,-0.33566905429253613,-1.6117512716703002,-0.0,-1.1101422194539603,-1.1329803799439426,0.0
2018-10-22,1.0,-0.33637636806888327,-1.6060480315369057,-0.0,-1.1108978681466881,-1.1336687587530474,0.0
