Date,CG,IWF,IWM,MTUM,SPY,VLUE,VXX
2018-09-24,1.0,-0.33025797731680084,-0.5742492801316331,-0.12296527002409356,-0.4846036316624552,-0.4261620732208968,0.0
2018-09-25,1.0,-0.3302676813680839,-0.5742661534393089,-0.12296888314283194,-0.48461787089001845,-0.4262039784914642,0.0
2018-09-26,1.0,-0.33000264495841536,-0.574102918270785,-0.12205013665618478,-0.48505598495312546,-0.4276603873394657,0.0
2018-09-27,1.0,-0.3289717973653965,-0.5815577756166563,-0.12047269619544396,-0.48666489847640937,-0.42931659446556447,0.0
2018-09-28,1.0,-0.32530369757337513,-0.5888925014039547,-0.12115390299411816,-0.4887240268377028,-0.43162001596074834,0.0
2018-10-01,1.0,-0.3289668662201411,-0.5886432339517516,-0.12038409104380299,-0.4923537431094778,-0.4333471637721534,0.0
2018-10-02,1.0,-0.3348525469168901,-0.5628537384569556,-0.13065236818588025,-0.5045278522490318,-0.4459636580280012,0.0
2018-10-03,1.0,-0.3349222427456355,-0.5632783173449323,-0.13087648215456116,-0.5043794315676577,-0.4457486742537091,0.0
2018-10-04,1.0,-0.33510099505451946,-0.562950604778645,-0.13114461061788713,-0.5044092236191383,-0.44559971399630577,0.0
2018-10-05,1.0,-0.3374015278109334,-0.5675280496538554,-0.12962520888040105,-0.5051026497970876,-0.44437813320601577,0.0
2018-10-08,1.0,-0.3371017778308078,-0.5672652428111205,-0.1290418804438611,-0.5053394582985324,-0.4442190669371197,0.0
2018-10-09,1.0,-0.33919455473624505,-0.5678717497089292,-0.13308654506373707,-0.5037764575932173,-0.44141266382064065,0.0
2018-10-10,1.0,-0.3390356769667114,-0.5682340647857889,-0.13258695327660844,-0.5038662486938349,-0.4418271383788625,0.0
2018-10-11,1.0,-0.3430834308343083,-0.5745057450574506,-0.1306513065130651,-0.5099750997509975,-0.44181441814418143,0.0
2018-10-12,1.0,-0.3595462124821343,-0.57336827060505,-0.1295855169128156,-0.49413411148165787,-0.42100404954740345,0.0
2018-10-15,1.0,-0.3475856327307326,-0.5941068030447193,-0.11212535680304472,-0.4950344909609895,-0.42450642245480497,0.0
2018-10-16,1.0,-0.3446849331494694,-0.6279153426464417,-0.09134240661910187,-0.5031476707236645,-0.4307212662629654,0.0
2018-10-17,1.0,-0.3331261285261818,-0.6001243228842909,-0.07847142053695645,-0.5053133232690998,-0.4430334783766983,0.0
2018-10-18,1.0,-0.33164489469474806,-0.5980331170947006,-0.07983056370153145,-0.5087532213631921,-0.4439112532954175,0.0
2018-10-19,1.0,-0.3336403065771493,-0.6044501217990613,-0.0761095597409542,-0.5113778147465985,-0.4451607153466818,0.0
2018-10-22,1.0,-0.33446196798241706,-0.6018295761679884,-0.07407407407407408,-0.5130238498321898,-0.4467017137426119,0.0
2018-10-23,1.0,-0.33909602166215375,-0.6029993751301812,-0.08215550331776118,-0.5072455143273723,-0.4440741512184962,0.0
2018-10-24,1.0,-0.3386221294363257,-0.6082314345362363,-0.08347748285117805,-0.5083507306889353,-0.44372203996421117,0.0
2018-10-25,1.0,-0.3280694015585943,-0.592148213498015,-0.08145860902808409,-0.5077194530216145,-0.4313483311277753,0.0
2018-10-26,1.0,-0.3228776894293733,-0.5863248362956034,-0.07588868101028999,-0.5103192235734332,-0.42788236669784846,0.0
2018-10-29,1.0,-0.3156867315424509,-0.5913408309539071,-0.06890624089505273,-0.5069925994988637,-0.4306567216362682,0.0
2018-10-30,1.0,-0.3157833396462807,-0.5913289239824014,-0.0689665219544885,-0.5069782348999154,-0.4305527228227616,0.0
2018-10-31,1.0,-0.31572964938357956,-0.5919384453965201,-0.06884089650549385,-0.5072134300953046,-0.4307947888432281,0.0
2018-11-01,1.0,-0.33263727537425375,-0.580541748772095,-0.08217405370430282,-0.511484956324814,-0.4342225228669745,0.0
2018-11-02,1.0,-0.3327746412608798,-0.5798635615149377,-0.08224535403434485,-0.5115266996000941,-0.4340449306045636,0.0
2018-11-05,1.0,-0.33985517954780553,-0.5691148219299542,-0.08056745973104773,-0.5151765922860942,-0.4508053790453672,0.0
2018-11-06,1.0,-0.3458479912495935,-0.5738019924912052,-0.07763029532621869,-0.512726520235315,-0.4462116061134596,0.0
2018-11-07,1.0,-0.34778360131473746,-0.5752864884072133,-0.07462023629741495,-0.5155014657546415,-0.4479286962186491,0.0
