Date,IWF,IWM,MTUM,MYE,SPY,VLUE,VXX
2018-09-24,-0.480971196838931,-1.4999480087345325,-0.0,1.0,-1.0612977019860663,-1.1569096391806175,0.0
2018-09-25,-0.48067620286085827,-1.5008062418725618,-0.0,1.0,-1.0620546163849154,-1.1579713914174252,0.0
2018-09-26,-0.480439330543933,-1.5057531380753137,-0.0,1.0,-1.070031380753138,-1.1739539748953973,0.0
2018-09-27,-0.48268296505249964,-1.4986679203886537,-0.0,1.0,-1.0694248550383953,-1.1730658726427416,0.0
2018-09-28,-0.48330982604607436,-1.4982500130596041,-0.0,1.0,-1.0693726166222641,-1.172961395810479,0.0
2018-10-01,-0.4994450610432853,-1.5104909888483695,-0.0,1.0,-1.088631679086729,-1.1865651921145817,0.0
2018-10-02,-0.49957654033453314,-1.522019902604277,-0.0,1.0,-1.087073893711624,-1.184522549227186,0.0
2018-10-03,-0.49854520446489975,-1.5101306670898798,-0.0,1.0,-1.0904618314553245,-1.191027879172618,0.0
2018-10-04,-0.5070691024622717,-1.501032565528197,-0.0,1.0,-1.1010855176065661,-1.186020651310564,0.0
2018-10-05,-0.47974930215410544,-1.4892294727971769,-0.0,1.0,-1.1039658713856848,-1.1937641544214461,0.0
2018-10-08,-0.7931426279909103,-1.8892527736933562,-0.059216682261729714,1.0,-1.4303569041571982,-1.511629461301965,0.0
2018-10-09,-0.7904564315352698,-1.8931869896934816,-0.049056351224735645,1.0,-1.438093963324856,-1.5218176950876725,0.0
2018-10-10,-0.7901044456347082,-1.8951526513122656,-0.04733529726834494,1.0,-1.4390733797536155,-1.523567220139261,0.0
2018-10-11,-0.6557041397402265,-1.8539253950988546,-0.0,1.0,-1.374688079851558,-1.514044404632414,0.0
2018-10-12,-0.665022137887413,-1.8481973434535106,-0.0,1.0,-1.3382669196710943,-1.4736242884250474,0.0
2018-10-15,-0.6124541197316796,-1.9054550056954815,-0.0,1.0,-1.3309707631945324,-1.47936970003797,0.0
2018-10-16,-0.6127072522465511,-1.9052651563093281,-0.0,1.0,-1.3309707631945324,-1.47936970003797,0.0
2018-10-17,-0.5664939550949915,-1.8256846780162845,-0.0,1.0,-1.3036022699235135,-1.4724895139402912,0.0
2018-10-18,-0.569352544678746,-1.8340238698905449,-0.0,1.0,-1.3044338630882444,-1.4760373508131843,0.0
2018-10-19,-0.5332068311195447,-1.8120217910265044,-0.0,1.0,-1.3023198873722226,-1.473465140478668,0.0
2018-10-22,-0.5335005812886251,-1.7993024536498807,-0.0,1.0,-1.3077770299210671,-1.478247567766016,0.0
2018-10-23,-0.5415569302382557,-1.801800698229926,-0.0,1.0,-1.3044037483922337,-1.4770012862130215,0.0
2018-10-24,-0.5381929555895865,-1.7959571209800917,-0.0,1.0,-1.3075650842266462,-1.4838591117917306,0.0
2018-10-25,-0.4577340249941051,-1.7033718462626737,-0.0,1.0,-1.3121905211035132,-1.4215397311954727,0.0
2018-10-26,-0.42434974454249885,-1.6719693450998607,-0.0,1.0,-1.3109614491407338,-1.398571760334417,0.0
2018-10-29,-0.3844244313589654,-1.6878535965823809,-0.0,1.0,-1.293268675672555,-1.4074587230111995,0.0
2018-10-30,-0.35801968731905043,-1.6948465547191665,-0.0,1.0,-1.3006948465547192,-1.4367689635205558,0.0
2018-10-31,-0.35869378401604124,-1.6594672013749638,-0.0,1.0,-1.288914351188771,-1.4219421369235175,0.0
2018-11-01,-0.31570753084995967,-1.713470187982932,-0.0,1.0,-1.3008303540537425,-1.4363395225464193,0.0
2018-11-02,-0.32058537700794604,-1.6659235122620477,-0.0,1.0,-1.3062939461498884,-1.4237123420796889,0.0
